,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,Scottie Scheffler,4,4,5,3,3,3,3,3,4,4,4,4,5,4,6,3,3,3,4,4,3,4,4,4,3,5,4,4,6,4,3,4,5,3,3,4,3,3,3,4,3,4,3,3,3,4,4,4,3,4,4,3,4,3,4,3,4,3,5,3,4,5,4,3,4,4,4,3,4,3,3,4
1,Patrick Cantlay,4,4,4,3,4,4,3,4,3,4,5,3,4,5,3,3,3,4,4,4,3,5,3,5,2,4,4,4,4,4,3,4,3,2,4,4,4,5,4,3,4,5,3,3,3,3,3,3,4,4,5,3,4,5,4,4,5,2,4,3,3,4,3,4,4,3,5,4,4,3,4,4
2,Xander Schauffele,4,4,3,5,4,3,3,3,4,4,4,4,3,5,4,3,3,4,4,3,4,3,4,4,2,3,4,4,4,3,4,4,4,3,4,4,4,4,4,2,4,3,3,3,4,4,6,3,4,4,6,3,4,4,4,4,5,3,4,4,3,4,3,4,4,3,4,4,5,3,3,4
3,Sahith Theegala,3,4,3,4,3,4,2,4,4,4,4,4,2,4,4,3,5,5,3,3,4,3,3,4,3,5,4,4,4,3,4,3,5,3,3,3,4,6,5,3,4,3,2,4,3,4,5,3,4,4,5,3,3,4,4,4,5,2,3,4,4,4,4,4,5,2,5,4,4,3,5,4
4,Brooks Koepka,3,4,4,4,4,4,3,3,4,4,4,4,3,4,4,3,4,3,4,4,4,2,4,4,3,5,3,3,4,3,4,4,4,3,4,4,4,4,4,3,3,3,4,3,5,4,4,3,4,4,5,4,3,4,4,4,5,3,5,4,3,4,4,5,3,3,4,4,4,4,3,3
5,Billy Horschel,4,3,3,4,4,5,3,6,4,3,4,3,4,3,4,2,4,4,4,4,4,3,4,4,2,4,5,4,5,3,4,4,5,3,3,4,3,4,5,4,3,4,3,4,4,5,4,3,5,4,4,2,3,4,4,4,4,2,3,4,3,4,3,4,4,3,5,4,5,3,3,4
6,Alex Noren,3,3,3,5,4,5,3,4,4,4,4,5,3,3,3,2,4,5,4,4,4,4,3,4,3,4,4,5,4,3,4,3,5,3,3,4,4,4,4,3,4,3,3,4,4,4,3,3,4,4,5,3,4,4,3,5,5,3,3,4,2,5,4,4,4,2,5,3,6,3,3,4
7,Justin Thomas,4,4,4,3,4,4,3,4,4,4,4,3,4,4,4,2,4,4,4,4,3,4,5,4,3,4,4,4,4,5,3,3,4,4,4,4,5,4,5,2,4,4,3,4,4,4,4,3,5,3,4,3,3,4,4,4,5,3,4,3,3,4,3,3,4,3,5,4,5,2,3,4
8,Hideki Matsuyama,3,5,6,4,4,3,3,4,4,3,3,3,3,4,4,3,5,4,4,5,2,4,5,4,3,4,4,4,3,4,3,5,4,3,3,4,5,4,5,3,4,4,3,3,3,4,4,3,4,4,4,2,3,4,4,4,5,3,4,3,3,5,5,4,4,2,4,4,4,3,4,4
9,Jon Rahm,3,4,5,3,3,4,3,4,3,4,4,3,5,4,5,3,4,3,3,4,3,5,5,5,3,3,4,4,4,6,3,4,3,3,4,4,4,5,4,3,3,4,3,5,3,4,5,3,4,4,4,3,3,4,4,4,5,2,4,4,4,4,4,4,4,3,3,3,4,3,4,4
10,Patton Kizzire,4,4,3,4,5,4,3,5,4,4,4,4,3,4,5,2,5,4,4,4,4,3,4,4,2,4,4,4,4,3,4,3,5,3,2,4,4,4,4,3,4,4,4,3,3,3,4,3,5,5,5,3,3,4,4,4,5,3,4,3,3,4,3,4,5,3,4,4,4,4,3,4
11,Matt Fitzpatrick,4,3,4,5,4,3,3,3,4,4,4,3,4,5,4,3,5,5,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,3,3,4,4,4,4,3,5,3,4,4,3,4,5,4,3,3,4,4,4,4,4,4,4,3,5,3,4,4,3,4,4,4,2,3,4
12,Keith Mitchell,4,5,3,5,3,5,2,3,4,4,4,4,3,4,4,3,5,4,4,4,5,3,3,4,4,4,4,4,4,3,4,4,4,3,4,4,4,5,5,3,3,4,2,3,4,3,4,4,4,4,4,3,3,4,4,4,5,2,4,4,3,4,4,4,5,3,4,4,5,2,3,4
13,Martin Laird,4,3,4,4,4,5,3,3,4,5,4,4,3,4,5,3,4,4,4,3,4,3,4,4,2,4,4,4,4,3,5,4,4,2,5,4,4,4,4,2,4,5,3,3,5,4,4,3,4,4,5,2,5,4,4,4,4,2,4,4,3,4,4,4,4,3,4,4,5,3,3,4
14,Brian Harman,3,4,4,3,3,4,3,4,5,4,6,3,4,4,5,2,3,4,4,4,2,5,3,5,3,3,4,4,3,6,3,4,3,4,4,4,4,3,5,3,4,3,3,4,4,4,3,4,5,5,4,4,4,4,4,4,5,3,3,4,3,4,5,4,3,3,4,4,3,3,4,4
15,Chris Kirk,5,7,3,4,4,4,3,5,3,4,4,4,3,3,3,3,4,4,4,4,4,3,4,3,3,4,3,4,4,3,4,4,5,3,3,4,5,4,4,3,4,5,4,4,4,4,4,2,5,3,3,3,3,5,3,4,4,3,4,4,3,4,4,4,4,3,5,4,4,3,4,4
16,Bubba Watson,4,3,4,3,4,3,3,5,4,4,4,3,5,4,5,3,3,3,4,3,3,5,4,4,3,4,5,5,3,5,2,4,4,3,4,4,4,4,4,3,4,4,3,3,3,5,3,3,5,5,4,3,4,4,4,4,4,2,4,5,4,5,5,4,4,2,5,4,3,2,4,4
17,Louis Oosthuizen,4,4,5,4,4,4,2,4,3,3,4,3,4,3,5,3,4,4,4,4,3,6,5,4,3,4,3,4,5,4,3,4,3,3,4,4,4,4,6,3,5,3,4,4,4,4,4,3,3,4,3,3,3,3,5,4,5,2,4,4,4,4,3,4,4,3,4,4,5,4,3,3
18,Tom Hoge,4,4,3,6,4,5,4,3,5,4,4,3,3,4,3,3,4,3,4,3,4,3,4,3,3,4,5,4,3,3,5,4,4,3,3,4,4,4,5,2,3,4,3,4,3,4,4,3,5,3,5,2,5,4,4,4,4,3,4,4,3,3,4,4,5,4,5,4,5,2,5,4
19,Max Homa,4,4,3,4,4,5,3,4,4,4,4,4,3,4,4,3,4,4,4,3,4,3,4,4,3,4,4,3,4,3,4,4,4,3,3,4,4,5,4,3,5,4,3,4,4,4,4,3,5,3,5,2,3,3,4,5,4,3,4,3,3,3,4,5,4,4,5,3,5,4,4,4
20,Scott Stallings,4,5,4,3,4,5,2,4,4,3,3,3,4,4,4,3,3,5,4,4,3,4,4,4,3,3,4,5,4,4,3,5,5,3,4,4,4,5,5,2,3,4,3,4,3,3,4,3,4,4,5,2,5,5,4,5,6,2,5,4,3,4,3,4,4,3,4,3,5,3,3,4
21,Garrick Higgo,4,4,5,3,4,4,3,3,4,4,6,3,4,4,4,3,4,4,3,5,3,5,3,4,2,4,4,4,4,5,3,4,4,4,4,4,4,5,3,5,3,4,3,4,3,4,4,4,2,3,4,3,3,3,4,5,6,3,5,4,3,4,5,4,4,3,4,4,4,2,3,4
22,Sam Ryder,3,4,4,4,4,4,3,4,4,4,4,4,5,4,6,3,4,4,5,4,2,4,3,4,2,3,4,4,4,5,2,4,4,3,3,4,5,5,5,3,4,3,3,4,4,3,6,4,4,5,4,1,4,4,4,4,4,2,4,4,3,4,4,4,4,3,4,4,5,3,4,4
23,Sebastián Muñoz,4,4,3,3,4,5,3,5,4,3,5,4,4,4,5,2,4,4,4,6,3,5,4,4,3,3,5,4,4,4,3,3,4,2,3,3,4,5,6,3,4,4,3,3,4,5,4,3,4,4,4,2,4,4,5,5,5,3,4,4,3,4,4,4,3,4,4,3,4,2,3,4
24,J.T. Poston,4,3,3,4,4,4,3,3,4,4,4,5,3,5,4,4,4,4,4,4,4,3,4,4,3,4,3,4,4,3,4,4,5,2,3,4,4,4,4,3,5,4,4,4,4,4,5,3,3,4,4,3,4,4,4,4,5,3,4,4,3,5,4,3,4,3,4,4,6,3,3,4
25,Si Woo Kim,4,5,4,3,3,4,2,4,4,4,5,3,5,4,6,2,5,3,4,4,2,4,3,5,3,4,4,4,4,5,4,3,4,3,4,4,3,4,4,5,4,6,4,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,3,4,3,4,4,3,4,4,3,4,4
26,Cameron Young,4,4,5,3,4,4,2,4,4,4,3,4,5,3,4,3,4,4,4,5,2,5,5,5,3,3,4,4,3,6,2,4,4,3,4,3,5,3,5,3,3,4,3,4,4,3,5,4,4,4,6,3,5,4,4,4,3,3,4,4,3,6,3,4,4,4,3,4,4,2,4,4
27,Keegan Bradley,3,4,3,4,4,5,3,4,4,5,4,5,4,4,3,2,4,3,4,4,5,3,4,4,3,4,4,4,3,3,4,3,4,3,5,4,4,4,5,5,5,4,4,4,5,4,4,3,5,4,5,2,4,3,4,4,3,4,4,5,5,3,4,4,4,4,2,3,3,3,4,3
28,Brendon Todd,3,4,3,5,3,5,3,4,4,3,4,5,3,5,4,3,4,3,4,4,5,4,3,4,3,4,4,3,4,3,4,4,4,3,4,5,4,5,4,3,3,4,2,3,4,4,4,3,5,4,5,2,4,4,4,5,5,3,5,4,4,5,3,4,4,3,5,3,5,3,4,3
29,Sung Kang,3,5,3,4,4,5,3,5,5,3,4,5,3,4,4,2,4,4,5,3,4,3,4,4,4,3,4,5,4,3,4,4,6,3,3,4,5,5,3,4,4,6,2,4,4,3,4,5,3,4,4,4,4,3,4,4,2,4,3,5,4,3,4,3,4,5,3,4,3,3,4,3
30,Adam Hadwin,4,4,5,4,4,4,2,4,4,4,4,2,4,4,4,2,3,4,4,4,2,4,4,5,3,4,4,4,4,4,3,4,4,3,4,4,3,3,4,3,4,4,3,4,4,4,4,3,5,5,6,2,3,4,4,5,6,3,3,4,4,4,4,5,4,3,4,5,5,3,4,4
31,Talor Gooch,4,4,3,4,4,5,3,4,4,4,4,4,3,4,5,3,4,4,4,3,4,3,4,4,2,4,3,3,4,3,5,4,4,2,4,4,4,4,4,3,4,4,3,4,4,4,4,3,5,4,5,2,3,3,4,6,4,4,4,5,3,5,4,4,4,2,4,4,5,4,5,4
32,Russell Knox,4,4,4,3,4,4,3,4,4,4,4,3,4,4,5,3,5,6,4,4,2,5,4,4,3,4,4,5,3,5,3,3,3,3,4,5,4,4,3,5,4,5,3,4,4,3,3,4,3,4,4,2,4,4,4,4,4,2,3,4,3,4,6,4,4,3,5,4,4,3,4,5
33,Russell Henley,4,3,4,3,4,5,4,5,4,5,5,3,4,4,4,2,4,4,4,3,3,4,4,4,3,3,4,4,4,6,3,4,4,3,5,4,4,5,3,4,5,4,3,3,4,3,4,5,3,3,4,4,4,3,3,4,3,4,4,5,2,4,4,4,6,4,2,5,4,3,5,3
34,Carlos Ortiz,4,3,6,3,3,4,3,4,4,3,4,3,5,4,5,3,4,4,4,4,3,5,4,4,2,4,4,3,4,5,4,4,3,2,4,4,4,4,4,3,4,4,3,5,5,4,5,3,4,5,5,3,4,5,3,3,3,5,4,5,1,2,5,4,4,5,2,6,4,3,4,4
35,Rory Sabbatini,3,4,4,3,4,4,3,4,4,4,4,2,4,5,5,3,5,4,4,4,3,5,4,3,3,5,4,3,3,4,4,5,4,2,4,4,5,3,4,3,4,4,3,4,4,4,4,3,4,4,4,3,3,4,5,5,5,4,4,5,4,5,3,4,4,2,4,4,4,3,4,4
36,Lucas Glover,4,6,4,6,4,5,3,5,4,5,4,5,2,4,4,2,3,3,4,2,5,3,3,3,3,4,4,3,4,4,4,4,4,2,4,5,5,4,3,4,4,5,4,4,4,3,4,4,4,4,3,3,4,4,4,4,3,5,4,4,3,5,4,4,4,5,3,4,4,3,4,3
37,Corey Conners,4,4,5,5,5,4,2,4,4,5,4,4,4,5,4,3,3,3,4,4,2,4,4,4,3,4,4,4,3,4,3,3,5,3,3,5,4,4,4,4,4,4,3,3,4,5,4,5,3,3,4,3,4,4,3,4,4,3,5,3,3,4,4,3,4,4,5,5,6,3,5,4
38,Troy Merritt,4,4,5,3,4,4,4,4,4,4,5,3,4,4,5,3,4,4,4,4,3,5,6,4,2,4,4,3,4,4,3,4,3,2,4,4,4,4,3,5,4,4,3,4,3,4,4,5,2,4,4,3,4,4,4,4,5,3,3,5,4,4,4,4,5,4,4,4,4,4,3,4
39,Adam Scott,4,4,4,2,4,4,3,4,4,4,3,3,5,4,5,3,4,4,4,5,3,5,4,5,2,4,4,4,3,5,2,4,4,3,5,4,3,4,3,4,4,5,5,4,3,4,4,4,3,4,4,3,4,4,4,4,5,3,4,4,4,4,5,3,6,4,5,4,4,2,3,4
40,K.H. Lee,4,3,3,5,4,4,3,5,4,4,3,3,2,4,4,3,4,3,4,4,7,3,4,4,3,4,3,4,3,3,5,4,4,3,4,4,5,4,5,3,4,4,3,4,3,4,4,3,5,5,4,4,4,6,4,4,3,5,4,5,3,2,3,4,4,5,4,4,4,4,4,4
41,Kevin Kisner,3,4,3,4,4,5,2,3,5,3,5,4,2,5,4,3,4,4,4,4,4,3,4,4,3,3,3,4,5,3,5,4,5,3,4,4,5,4,5,2,3,4,4,6,3,4,5,4,4,3,5,3,5,5,5,5,3,3,4,5,3,3,4,4,4,4,3,4,4,3,4,4
42,Stewart Cink,3,3,5,4,4,4,3,3,3,3,4,3,4,4,5,3,4,5,4,4,4,4,4,5,3,4,4,4,3,5,3,4,4,3,5,4,4,4,3,4,4,4,3,4,5,4,4,4,3,4,4,4,4,4,4,5,5,3,4,4,4,5,4,4,4,3,4,4,5,3,3,4
43,Zach Johnson,3,4,3,5,3,5,4,4,4,4,4,4,2,4,4,3,4,5,4,5,5,3,4,5,4,4,3,4,4,3,4,4,4,3,3,4,4,5,3,3,4,5,4,3,5,4,3,5,3,4,5,2,3,4,3,6,3,4,5,5,3,4,4,4,3,5,3,4,4,3,4,5
