,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,Sepp Straka,4,4,4,4,3,6,3,4,4,4,4,3,4,4,4,4,3,5,4,4,4,3,4,3,4,3,4,4,4,4,3,2,4,4,3,3,4,4,4,4,3,5,3,4,4,4,5,3,3,4,3,4,3,5,5,3,4,4,3,4,3,5,3,4,4,4,4,3,3,3,3,4
1,Shane Lowry,4,4,4,4,4,3,4,4,4,4,4,6,4,3,4,3,3,4,4,3,5,4,3,4,3,3,4,4,4,4,3,4,4,3,3,5,4,4,4,3,3,4,4,4,4,4,3,3,4,4,3,4,3,5,3,4,5,3,3,4,3,4,4,4,3,4,4,4,3,4,3,5
2,Kurt Kitayama,3,3,3,4,5,3,4,3,5,4,4,4,3,2,3,3,4,4,3,4,5,4,3,5,3,4,4,3,4,5,5,4,3,4,3,3,4,6,4,4,3,4,3,4,4,4,5,4,4,4,2,4,4,4,4,4,4,4,4,5,2,4,4,4,4,4,4,4,2,4,3,4
3,Daniel Berger,3,4,4,3,3,4,3,4,3,4,3,4,4,4,3,4,3,5,4,4,4,3,4,4,3,3,4,4,4,4,3,3,4,2,4,4,4,4,5,4,2,4,3,4,4,4,4,4,4,4,2,4,3,6,4,4,7,4,4,5,2,4,4,4,4,5,4,3,3,4,3,6
4,Gary Woodland,4,4,5,3,5,4,3,3,4,6,4,4,3,3,2,4,2,6,5,4,4,4,4,3,4,3,5,4,4,4,4,2,4,3,4,4,4,4,7,4,3,3,2,6,4,4,4,3,4,4,3,5,3,4,3,4,4,4,3,4,3,4,4,4,4,4,3,4,3,4,2,6
5,Alex Noren,4,4,5,5,3,4,3,4,3,4,4,4,3,4,3,4,3,5,4,3,4,4,4,3,5,3,5,5,4,4,3,3,4,3,5,3,3,4,5,4,3,5,3,4,4,4,4,4,4,4,3,4,3,5,4,4,6,3,3,4,3,4,4,4,3,4,4,4,3,4,3,4
6,Matthias Schwab,4,4,4,4,3,3,3,4,3,5,4,4,5,4,3,3,2,5,5,4,4,4,4,5,4,3,4,4,4,4,5,3,4,3,4,4,4,4,4,4,3,4,3,4,4,5,5,4,4,3,3,4,3,5,4,3,5,4,3,4,3,4,3,4,4,4,4,4,3,4,3,5
7,Chris Kirk,3,5,4,3,2,4,2,4,5,5,4,3,4,4,3,4,2,4,4,4,4,4,4,3,4,2,6,3,3,4,4,3,5,3,4,4,4,3,5,4,3,4,3,5,4,3,4,4,4,6,3,4,3,5,4,5,5,3,4,3,3,4,4,5,4,4,4,4,6,4,3,4
8,Keith Mitchell,4,4,4,3,2,5,3,5,4,3,4,4,4,4,5,5,4,4,4,4,5,4,4,2,4,3,5,4,5,3,5,3,4,3,4,4,4,4,4,5,3,4,2,3,4,4,4,4,4,4,3,5,4,4,4,4,4,4,3,3,3,4,4,3,4,3,4,5,4,5,3,4
9,Brian Stuard,3,4,5,3,3,4,3,5,2,4,4,5,5,4,4,4,3,5,5,3,4,4,4,3,4,3,4,3,4,5,5,3,4,3,4,5,3,3,5,4,3,5,3,4,4,4,4,5,4,4,3,3,3,5,4,3,5,4,3,4,3,5,4,4,4,4,4,4,3,3,3,5
10,John Huh,4,3,5,3,4,4,4,5,4,4,4,5,5,4,3,4,3,4,4,4,4,3,4,3,5,3,4,3,3,4,3,4,4,3,3,4,3,3,5,3,3,4,4,4,4,5,4,4,4,4,4,4,3,6,4,4,4,4,4,4,4,3,3,3,4,5,4,4,3,3,5,5
11,Lee Hodges,4,5,5,4,3,5,3,4,4,5,5,4,5,3,2,4,2,4,4,4,4,4,4,3,3,4,4,4,4,4,4,2,3,3,4,4,3,4,3,3,3,4,3,4,4,5,4,4,4,4,3,7,4,5,4,4,5,4,2,3,3,4,4,4,4,4,4,4,5,4,3,5
12,Sam Ryder,5,4,4,4,5,3,4,7,4,3,5,4,4,3,3,3,3,3,4,3,4,3,3,3,3,4,4,5,4,5,4,4,3,4,3,5,4,4,4,4,3,4,3,3,5,4,6,4,4,3,3,4,3,4,4,4,4,5,3,4,3,3,5,4,5,4,5,4,2,3,3,5
13,Adam Svensson,4,3,4,3,4,4,3,3,4,5,3,4,4,4,3,6,4,4,3,4,4,4,4,3,4,2,4,4,4,4,4,2,4,4,3,4,5,4,4,4,2,3,3,5,4,4,6,4,4,5,3,4,3,4,4,3,4,4,3,5,3,4,4,3,5,5,4,4,5,5,3,5
14,Mark Hubbard,4,4,4,4,2,4,3,5,4,4,4,4,4,3,3,4,3,7,4,4,4,3,3,2,4,3,5,4,4,3,3,2,4,3,5,4,4,5,5,6,3,4,4,4,5,5,4,4,3,3,3,4,4,5,3,4,4,4,3,4,3,4,4,4,4,5,4,4,4,5,3,4
15,Cameron Young,3,4,5,4,3,4,6,3,3,3,5,4,4,3,4,3,4,3,5,5,5,5,4,4,3,4,3,4,4,4,3,4,4,4,3,5,4,4,5,5,3,5,3,4,4,4,5,4,5,4,3,4,3,5,3,3,5,4,3,4,3,3,4,4,4,4,3,4,3,3,4,4
16,Nick Taylor,4,5,5,4,3,4,4,6,4,4,3,5,4,5,3,4,5,5,4,3,4,2,4,3,3,2,5,5,4,5,4,3,4,3,4,3,4,4,5,4,3,4,3,4,4,4,4,5,4,4,3,5,3,4,4,3,4,4,4,4,2,3,4,4,4,4,5,3,2,5,3,5
17,C.T. Pan,4,4,4,4,4,3,4,3,4,4,4,6,4,3,4,3,4,4,4,4,4,5,3,4,3,4,3,5,5,4,5,4,3,3,3,4,5,4,4,4,3,5,3,4,6,5,4,4,4,3,3,4,2,4,4,3,5,4,3,6,3,5,4,3,4,4,4,4,2,3,4,4
