,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,Hudson Swafford (SC),4,4,3,5,4,2,3,4,4,3,5,4,4,4,5,3,4,5,4,4,3,5,3,4,4,3,4,3,4,4,3,3,4,3,3,4,4,5,3,3,4,4,5,3,4,3,3,5,3,4,2,4,4,3,5,3,4,3,4,2,4,4,4,3,4,3,4,3,5,3,2,4
1,Tom Hoge (SC),3,4,3,5,4,4,4,3,4,3,4,3,4,4,4,3,3,3,4,5,3,3,4,3,4,3,4,4,3,4,2,4,3,4,5,4,5,4,3,3,4,4,2,4,4,4,4,3,5,4,3,4,4,4,4,4,4,2,5,3,4,5,4,5,4,3,3,4,4,4,2,4
2,Brian Harman (SC),4,5,3,4,3,5,3,2,6,3,4,4,4,4,4,4,2,3,4,4,4,2,4,4,3,4,4,3,5,4,4,4,5,5,3,4,4,4,3,4,4,3,4,4,5,4,4,3,4,4,3,2,4,4,4,4,4,3,4,3,4,4,3,3,4,4,2,4,4,4,3,3
3,Lanto Griffin (SC),4,4,3,4,3,4,4,3,4,3,4,4,5,4,4,4,3,3,4,3,4,3,5,2,3,4,3,4,5,4,3,4,3,4,3,4,4,4,3,4,5,3,3,4,4,3,4,3,4,5,4,3,5,4,5,4,5,3,4,3,4,4,3,4,4,2,3,4,4,5,2,4
4,Lee Hodges (SC),4,4,2,4,4,3,4,4,4,4,3,3,3,3,4,2,4,3,4,3,3,6,3,4,4,3,5,4,5,3,4,4,6,4,3,4,4,4,4,3,4,4,5,2,4,3,3,3,3,4,3,3,4,4,4,4,4,3,5,3,3,4,4,4,5,4,4,4,4,4,3,4
5,Will Zalatoris (SC),4,4,2,4,5,5,3,4,4,4,5,4,5,4,3,4,3,4,3,4,2,4,3,6,3,3,4,4,4,2,4,3,3,4,2,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,5,3,4,4,4,4,3,5,3,3,4,4,4,5,4,3,4,3,3,3,4
6,Denny McCarthy (SC),4,4,3,4,4,4,3,3,5,4,4,2,5,3,4,4,3,4,3,3,4,3,4,2,6,4,3,4,4,4,3,4,4,4,4,4,4,5,3,4,4,3,3,4,3,3,5,3,4,5,4,3,4,4,4,3,4,3,4,4,4,4,4,4,5,3,3,4,4,3,3,4
7,Francesco Molinari (SC),4,5,2,4,4,4,4,4,4,4,3,2,4,5,4,2,4,4,4,4,3,4,3,4,4,4,3,3,4,3,4,4,5,4,3,4,4,5,3,3,3,4,4,2,4,4,5,4,3,5,3,3,4,4,4,5,5,2,5,2,3,5,4,4,4,3,3,4,3,4,3,5
8,Patrick Cantlay (SC),3,4,2,3,4,3,2,4,4,4,4,2,4,4,3,4,4,4,4,4,3,3,4,4,4,3,4,3,4,4,5,3,4,4,4,4,5,3,5,3,4,4,4,4,5,4,5,4,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,5,3,3,3,4,4,3,4
9,Paul Barjon (SC),4,4,3,4,4,3,5,4,3,4,4,3,4,3,4,3,3,4,4,4,3,4,4,4,5,3,5,4,4,3,4,3,4,3,2,4,3,4,4,2,4,4,4,4,4,4,4,4,2,4,3,3,4,4,5,4,4,3,5,3,5,4,3,4,5,5,3,4,4,5,3,4
10,Sungjae Im (SC),4,4,4,4,4,5,4,3,4,4,4,3,4,4,4,4,2,4,4,4,4,3,4,4,4,3,3,4,5,3,3,3,4,5,2,5,4,5,3,5,4,3,4,4,4,4,3,3,5,4,5,3,4,3,4,4,3,3,4,3,4,5,4,4,4,4,3,3,3,4,3,4
11,Si Woo Kim (SC),4,3,3,4,4,4,4,6,3,4,4,2,5,4,3,4,3,4,4,5,3,4,4,4,4,3,3,4,3,3,5,3,4,4,4,4,5,3,4,3,4,3,4,5,5,4,4,4,3,5,4,4,2,3,3,3,5,3,4,3,3,4,4,4,4,3,3,4,4,4,5,4
12,Wyndham Clark (SC),4,3,3,5,4,2,4,4,3,4,4,3,3,5,4,2,4,4,4,4,3,5,3,4,5,3,4,3,4,3,4,4,5,3,4,4,4,4,3,3,3,4,4,3,4,5,4,4,3,4,4,3,6,4,4,4,4,3,5,3,5,4,4,4,4,4,3,4,4,4,3,4
13,Andrew Putnam (SC),4,4,3,5,4,4,4,3,4,4,4,3,4,4,5,4,3,4,5,4,3,3,4,4,4,3,3,3,4,4,3,4,3,3,5,4,4,4,4,5,5,4,3,4,3,4,3,3,5,4,2,3,5,5,4,4,5,3,3,3,4,3,3,4,5,4,3,4,3,5,4,4
14,Russell Henley (SC),4,4,3,3,4,4,4,3,4,4,4,3,5,3,3,5,2,5,5,4,4,2,4,3,3,4,4,5,5,4,3,4,4,5,3,4,4,5,3,4,5,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,3,3,3,4,5,3,4,4,3,4,3,5,3,4,5,3
15,Zach Johnson (SC),5,5,3,5,4,3,3,4,3,4,4,2,4,4,4,2,4,4,4,5,3,4,4,3,4,3,4,3,4,3,4,3,4,4,3,4,4,5,4,3,4,5,4,3,5,5,4,5,3,4,2,4,4,4,4,4,4,2,4,3,3,4,4,4,5,4,3,4,5,5,2,5
16,Brandt Snedeker (SC),3,4,2,3,5,3,4,4,5,3,4,4,4,4,5,2,3,3,3,5,3,4,4,4,4,3,3,4,5,4,4,4,5,4,3,3,4,4,4,3,4,4,5,3,4,4,3,3,4,5,4,3,5,5,3,3,4,3,4,5,5,4,5,3,4,4,3,4,4,4,3,4
17,Roger Sloan (SC),4,3,4,3,4,3,5,4,4,4,4,4,3,3,3,5,2,4,4,4,3,6,4,2,4,4,3,4,3,3,3,5,4,3,4,4,4,4,3,8,3,4,4,3,4,4,4,3,5,4,4,4,2,4,3,3,3,3,4,4,4,4,4,4,5,4,3,5,4,4,5,4
18,David Lipsky (SC),3,5,3,5,3,4,4,3,4,4,3,3,4,4,4,4,3,4,4,3,5,2,4,4,3,5,4,5,5,3,3,3,3,5,3,4,4,6,3,5,4,4,3,3,4,4,4,3,4,5,4,3,3,3,4,3,4,3,6,3,3,5,4,4,5,3,3,3,4,4,4,5
19,Jon Rahm (SC),4,4,3,4,4,4,3,4,4,3,4,3,4,4,3,3,4,4,3,5,3,4,4,5,4,4,5,3,3,3,4,4,4,4,4,4,4,3,4,3,4,3,4,4,4,4,4,4,4,3,4,5,3,3,4,4,4,3,4,3,4,5,4,3,6,4,3,4,4,5,3,4
20,Seamus Power (SC),4,3,3,4,4,4,4,3,4,3,4,3,4,3,5,4,2,4,4,6,4,2,3,4,5,4,4,3,4,4,3,4,4,4,4,3,4,3,2,3,4,3,3,4,5,4,5,3,5,4,2,4,4,4,6,5,4,3,5,5,3,4,4,4,4,3,3,4,5,5,3,4
21,Patton Kizzire (SC),4,4,4,3,5,2,3,4,4,3,4,4,3,4,4,5,3,4,3,5,3,5,4,3,5,4,3,3,4,3,4,4,4,3,3,4,4,4,5,5,3,4,4,2,4,4,5,3,4,4,4,4,3,5,5,3,3,1,5,3,4,5,7,4,5,4,3,4,4,5,2,3
22,Luke List (SC),4,5,3,4,3,5,4,3,3,4,4,3,4,4,4,4,6,3,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,5,3,4,4,4,3,4,4,2,4,5,4,4,4,2,3,5,4,3,3,4,4,3,4,3,7,3,3,4,3,5,4,4,2,3,5,5,3,4
23,Harold Varner III (SC),3,4,3,4,4,4,3,4,4,4,4,3,4,3,3,6,4,4,4,4,3,3,4,5,4,4,3,3,4,2,4,3,5,4,3,4,4,4,5,3,5,3,3,4,4,4,5,4,2,3,3,4,3,4,4,4,4,2,4,3,4,4,5,7,5,3,3,5,4,6,3,4
24,Alex Smalley (SC),4,5,3,4,4,4,4,4,4,4,4,2,4,3,4,2,4,4,4,4,2,5,4,5,4,3,4,4,4,3,4,4,5,4,3,4,4,4,4,3,4,5,5,2,4,5,4,4,3,4,3,3,4,4,4,4,4,3,5,3,4,4,3,4,5,4,3,4,4,5,3,4
25,J.T. Poston (SC),4,4,3,4,4,5,4,4,3,3,4,3,5,4,3,5,3,4,4,4,5,3,4,3,4,4,4,4,5,4,3,3,4,5,3,3,4,4,3,5,5,3,4,4,4,3,4,3,4,4,4,3,4,4,4,5,4,3,5,4,4,2,4,4,4,3,3,4,3,4,5,4
26,Charles Howell III (SC),4,4,3,3,5,2,4,4,4,4,5,5,4,3,4,5,2,4,3,5,2,4,4,4,5,3,4,3,4,3,4,5,4,3,4,4,5,4,4,4,4,4,4,3,4,3,4,3,4,3,5,4,3,3,4,4,4,3,5,3,6,4,4,4,4,4,4,4,3,4,3,4
27,Greyson Sigg (SC),3,4,3,4,3,5,4,3,4,3,4,3,5,4,4,3,2,4,4,4,4,3,5,3,3,4,4,4,5,4,2,3,4,5,2,4,5,5,3,5,4,4,4,4,6,3,4,3,4,5,4,3,4,3,4,4,4,3,5,2,4,4,4,5,5,3,3,4,4,5,4,4
28,Adam Hadwin (SC),4,5,3,5,4,3,4,5,4,3,3,3,4,4,4,3,4,3,4,4,3,4,4,5,4,3,4,4,5,3,6,4,5,4,3,3,3,5,3,3,4,4,7,3,4,4,4,4,3,4,3,3,4,3,4,5,3,3,4,4,5,3,4,3,3,4,3,5,3,4,4,4
29,Scottie Scheffler (SC),3,4,4,3,4,4,2,4,4,4,5,4,4,4,3,4,4,5,4,4,3,4,3,5,4,3,4,4,4,3,4,3,5,4,5,4,4,4,4,2,4,5,4,3,4,6,5,4,3,4,5,3,3,3,4,4,4,3,3,4,4,3,4,4,3,4,3,4,3,5,4,4
30,J.J. Spaun (SC),4,6,2,5,5,4,4,3,4,4,5,3,5,4,5,5,3,4,4,5,4,3,4,3,6,3,3,3,4,4,3,5,3,3,4,3,3,3,3,4,4,3,3,4,5,3,5,3,5,4,3,4,4,4,4,5,4,2,4,4,4,3,4,4,4,4,2,4,3,4,4,4
31,Stephen Stallings Jr. (SC),4,4,3,3,4,4,3,4,4,4,4,4,4,3,5,4,4,4,4,5,3,3,3,4,9,2,4,3,4,4,2,4,3,3,3,4,4,4,3,4,5,4,2,4,4,4,5,5,5,5,3,4,4,4,4,5,4,4,4,3,4,2,4,4,4,4,3,4,2,3,5,4
32,Camilo Villegas (SC),4,4,3,4,3,4,4,4,3,3,4,4,5,4,4,4,3,5,4,4,4,3,4,4,3,4,3,4,4,3,3,4,5,5,3,4,4,4,3,5,5,4,4,4,4,3,3,3,4,4,5,3,4,4,4,4,4,2,3,4,6,3,4,4,5,4,4,4,3,4,5,3
33,Jared Wolfe (SC),4,5,4,4,4,4,5,3,5,4,3,4,3,4,3,3,4,4,3,4,2,4,4,4,2,5,4,3,3,3,4,4,3,3,4,6,5,4,3,4,5,5,4,2,4,6,3,3,4,4,4,4,4,4,4,4,3,2,4,4,4,3,4,4,4,5,3,6,3,4,5,4
34,Justin Rose (SC),3,4,2,4,3,5,4,3,5,5,4,3,4,4,4,5,3,3,3,4,4,3,4,3,7,4,6,4,5,4,3,3,4,5,3,4,4,4,4,4,4,2,4,3,4,4,4,4,3,4,5,3,4,3,3,5,4,3,4,4,5,3,4,5,3,5,3,4,3,3,5,3
35,Lucas Glover (SC),4,4,3,6,4,3,4,4,4,3,3,3,4,4,4,2,3,4,4,4,3,5,4,4,4,3,4,3,4,3,4,4,4,4,4,4,3,5,5,3,3,4,5,3,3,4,3,5,3,4,3,4,4,5,4,4,4,3,5,3,3,4,4,5,4,6,3,4,5,5,4,3
36,Joseph Bramlett (SC),5,3,5,3,5,2,3,5,4,4,4,3,2,3,3,4,4,3,3,4,3,4,4,2,4,3,4,4,4,3,4,4,4,3,5,5,4,3,3,5,4,4,4,3,6,4,4,3,4,4,5,4,3,5,4,4,4,3,4,3,4,4,4,4,5,5,3,4,5,5,3,5
37,Sahith Theegala (SC),4,4,3,4,5,4,3,5,4,5,4,2,5,4,3,4,4,5,3,4,3,3,4,4,4,2,4,4,4,3,3,4,3,4,2,4,4,3,4,3,4,3,4,5,4,4,4,4,4,3,4,5,2,4,4,4,4,3,5,3,4,5,5,4,4,4,4,4,6,5,3,4
38,Nick Taylor (SC),5,4,4,4,3,4,4,3,4,4,4,3,4,4,4,4,3,4,5,5,3,2,4,3,5,4,4,4,3,4,3,5,3,4,5,3,4,3,3,4,5,4,5,3,4,4,5,3,5,4,3,4,4,4,4,5,3,3,4,5,4,3,4,4,4,3,3,4,3,4,4,4
39,Christiaan Bezuidenhout (SC),3,4,2,5,4,4,4,4,3,4,4,2,5,3,4,3,4,4,4,4,3,5,4,5,4,3,4,3,3,4,5,4,5,4,4,4,5,4,4,3,3,4,4,3,5,3,3,4,3,5,3,4,5,3,5,4,4,2,5,4,4,4,4,4,5,3,4,4,4,5,3,4
40,Patrick Rodgers (SC),4,4,4,2,4,4,6,4,3,4,5,4,3,4,3,5,3,4,4,5,3,3,4,3,4,5,3,3,4,3,3,5,5,2,4,5,4,4,2,5,5,3,4,4,4,4,3,3,3,3,6,4,4,4,4,5,4,3,4,4,4,3,4,4,4,4,3,5,4,4,4,4
41,Abraham Ancer (SC),3,4,3,3,4,4,4,3,4,5,4,3,4,4,4,4,3,4,3,4,4,3,5,3,4,5,5,4,4,4,3,4,4,5,3,4,4,4,3,5,4,3,4,4,5,4,4,2,4,5,5,3,4,3,4,4,4,3,3,5,4,3,4,4,4,3,3,5,5,4,4,4
42,Graeme McDowell (SC),3,4,3,4,4,3,4,4,4,4,3,3,3,4,4,3,4,5,4,3,3,5,3,4,4,5,4,4,4,2,5,4,5,3,3,4,4,6,3,3,3,6,5,3,4,5,4,4,3,4,3,4,4,5,3,5,4,3,4,4,6,3,3,4,4,4,3,5,3,4,4,4
43,Jason Dufner (SC),3,4,4,3,4,3,4,4,4,4,5,4,3,5,4,5,3,4,4,4,4,5,4,3,4,3,4,4,3,3,4,4,4,3,4,3,4,4,2,5,5,3,5,3,4,5,4,4,4,3,4,4,3,5,5,4,4,3,4,5,6,3,4,4,3,5,2,4,3,3,4,4
44,Vince Whaley (SC),3,5,3,4,5,5,3,3,4,5,4,3,4,4,3,4,4,4,3,5,3,4,3,4,4,2,3,4,4,4,3,4,3,4,3,4,4,5,5,3,6,3,4,4,3,5,5,5,3,4,3,5,2,5,4,5,5,3,3,5,4,3,4,4,4,4,3,4,3,4,4,4
45,Tony Finau (SC),4,3,3,4,4,4,3,5,4,4,6,4,4,4,3,5,4,4,4,4,3,3,4,4,4,3,5,3,4,2,5,4,4,5,5,4,5,4,4,2,4,2,4,4,4,4,4,3,4,4,4,4,3,4,6,5,3,2,5,4,4,3,4,3,4,4,3,4,3,4,5,3
