,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,Jason Kokrak,3,3,4,5,5,3,5,3,4,4,2,5,5,4,4,3,4,2,3,3,4,4,3,4,2,4,3,3,3,5,6,4,4,5,4,7,5,3,4,3,4,2,4,5,5,4,2,4,4,4,4,2,4,3,4,3,4,3,4,5,3,5,3,4,3,4,3,3,2,4,4,4
1,Kevin Tway,4,3,4,4,4,3,5,3,4,4,2,5,4,4,4,3,4,3,4,3,3,4,3,4,2,5,2,4,3,4,2,4,3,5,5,4,5,3,4,4,4,4,4,6,3,4,3,4,4,4,3,4,5,5,4,3,4,5,3,5,3,4,3,5,3,4,3,4,3,5,4,3
2,Scottie Scheffler,4,4,6,3,5,3,5,3,4,4,2,5,4,5,4,2,5,4,4,2,5,5,3,3,3,4,2,3,2,4,4,4,2,5,3,4,4,3,5,3,4,4,4,5,3,4,4,4,4,3,2,5,4,4,5,3,4,4,3,4,3,4,3,5,4,4,4,5,3,4,4,3
3,Kramer Hickok,4,3,5,4,3,4,4,5,3,3,2,5,4,4,2,5,3,4,4,3,4,3,4,2,4,4,4,4,3,4,5,4,3,3,5,4,4,3,6,3,3,4,3,5,3,4,3,4,5,4,3,5,4,4,5,3,6,4,4,4,3,5,2,4,3,4,3,5,3,4,3,4
4,Joel Dahmen,4,3,4,5,5,3,6,3,3,4,3,5,4,4,4,2,5,3,4,3,4,4,4,4,4,4,3,4,3,3,4,4,4,5,4,4,4,3,4,4,5,3,5,4,5,4,2,4,4,4,4,3,5,3,5,3,5,4,3,5,2,4,3,4,3,3,3,4,2,5,4,3
5,Martin Trainer,3,3,5,4,3,3,3,5,3,4,3,5,3,4,2,5,3,4,4,3,3,4,4,2,5,3,4,4,3,4,4,3,4,3,5,3,4,3,5,5,4,6,3,4,3,4,3,5,3,5,4,5,4,4,5,2,5,4,3,4,3,4,3,4,2,4,4,5,3,5,5,5
6,Robert Streb,4,3,5,4,3,2,5,4,4,4,3,5,4,4,4,3,4,3,4,3,4,4,4,4,3,6,3,4,3,4,4,5,3,4,4,5,4,3,4,4,4,3,5,4,5,4,3,6,4,4,3,3,5,3,4,3,4,4,4,4,2,4,3,4,3,4,4,4,2,5,4,3
7,Sam Burns,5,2,4,4,3,3,5,4,4,4,3,5,4,4,4,4,5,3,4,2,5,4,4,4,3,4,3,4,3,4,4,4,3,5,3,4,5,3,5,5,4,4,4,5,3,4,3,4,5,4,2,5,3,3,4,3,5,4,4,4,3,4,2,4,3,4,3,4,3,4,3,6
8,Cameron Tringale,4,4,3,3,5,3,7,4,4,3,3,5,4,4,4,2,4,3,5,3,5,4,3,4,3,5,3,4,3,4,4,4,3,5,4,4,4,3,5,4,4,4,3,5,3,4,3,4,4,4,3,4,3,4,4,3,4,3,4,4,2,6,3,4,3,4,4,5,2,5,4,4
9,Russell Henley,4,3,4,4,3,4,3,4,3,4,3,4,3,5,2,5,3,4,4,4,5,4,5,2,6,5,4,4,4,5,3,4,4,2,4,3,5,2,5,4,3,4,3,5,3,4,2,4,3,4,3,5,4,5,4,3,5,3,4,4,3,4,4,4,3,5,4,4,3,5,4,4
10,Denny McCarthy,4,4,4,4,4,3,4,4,4,4,3,5,4,4,4,3,6,4,5,3,4,4,4,4,3,5,2,4,4,4,4,4,2,5,4,4,4,3,4,4,4,3,4,4,4,5,3,5,5,4,4,3,5,3,4,3,5,3,4,2,4,4,4,4,2,5,4,4,3,3,4,2
11,Adam Long,4,2,4,3,4,4,4,5,3,3,3,3,3,5,3,5,4,4,4,3,4,4,4,3,5,4,4,4,3,5,4,3,3,3,4,3,4,4,5,4,4,4,3,4,3,4,3,4,4,6,3,5,4,5,4,3,5,4,4,4,3,4,3,6,3,4,3,4,3,5,4,4
12,Luke List,4,3,4,4,4,3,3,4,3,5,3,3,4,2,3,5,4,4,4,3,5,4,4,2,5,4,4,4,4,5,4,4,3,4,5,3,4,2,5,4,3,5,3,5,4,4,3,5,3,4,3,5,3,4,5,3,4,4,4,5,3,4,3,3,3,3,4,5,3,5,4,6
13,Matthew Wolff,5,3,4,4,4,3,3,4,3,3,3,4,4,4,3,6,4,4,4,2,4,4,5,3,5,5,3,4,3,3,4,5,4,2,4,3,4,3,6,4,3,4,4,4,3,4,3,4,3,3,3,4,6,4,4,4,4,4,5,5,3,5,1,4,3,5,3,4,3,6,4,5
14,Alex Smalley,4,3,5,4,4,4,2,6,3,4,3,4,3,5,3,5,3,3,4,2,4,4,4,3,4,4,4,5,3,7,4,4,3,4,5,4,4,3,4,5,3,3,5,4,4,5,2,5,4,4,4,3,4,3,4,3,5,5,4,3,3,5,2,4,3,4,3,5,2,5,4,4
15,Hank Lebioda,4,3,4,4,4,2,5,4,4,4,3,5,4,3,5,2,4,3,5,3,5,4,4,4,4,4,3,4,4,4,4,5,3,5,4,3,4,3,4,4,4,4,3,4,2,5,3,4,4,5,3,5,4,4,5,2,5,5,3,4,3,4,4,4,3,3,4,4,4,5,4,3
16,Cameron Smith,5,3,4,3,4,2,7,5,4,4,2,5,4,4,4,4,4,3,4,5,4,4,3,4,2,4,3,4,3,4,4,5,3,4,6,3,4,3,4,5,4,3,4,3,4,4,3,5,4,4,4,2,5,3,4,4,4,5,4,4,3,5,3,4,3,4,3,5,3,5,3,3
17,Vincent Whaley,3,4,5,4,4,4,2,5,3,4,3,4,4,4,3,5,4,4,4,4,4,4,4,3,5,5,4,5,3,4,4,4,5,2,5,3,4,3,3,3,4,3,6,3,4,3,2,5,4,4,4,4,4,2,4,3,5,5,4,4,2,6,3,5,4,4,4,4,3,4,4,3
18,Aaron Rai,4,4,3,2,4,3,5,4,5,4,5,5,3,5,4,3,5,3,5,3,5,4,3,4,3,4,4,4,3,4,4,5,2,4,4,4,4,3,4,4,4,3,5,3,4,4,3,5,4,4,4,3,6,3,4,3,5,5,3,4,3,4,3,4,3,4,3,4,3,5,5,3
19,Scott Piercy,4,3,4,4,4,3,4,4,4,4,3,5,5,4,4,3,6,3,5,4,4,4,3,4,3,4,3,4,3,5,3,5,3,5,4,4,4,4,5,3,4,3,4,3,4,3,2,5,4,5,4,4,5,3,4,3,5,4,4,2,4,4,3,4,3,4,4,4,4,3,5,4
20,Dylan Frittelli,4,3,4,4,4,3,5,4,5,4,3,4,4,4,4,3,5,3,4,4,4,4,4,4,2,6,3,4,3,3,3,5,3,5,4,3,4,4,4,5,4,4,3,5,3,4,3,3,3,5,2,5,4,6,4,3,4,3,3,4,3,5,3,4,3,4,4,5,4,4,5,4
21,Sungjae Im,4,3,4,4,4,3,5,4,4,4,3,5,4,3,4,3,5,2,4,3,4,4,4,4,3,5,3,4,3,3,5,4,3,5,4,5,5,3,5,4,3,4,4,5,3,4,4,4,3,5,3,6,3,5,4,3,4,3,4,3,5,3,3,4,4,4,4,4,4,3,5,3
22,Maverick McNealy,4,3,4,5,5,3,5,4,4,5,3,5,4,3,4,2,5,3,4,4,4,3,4,5,3,4,3,4,2,4,4,4,3,5,4,4,4,3,4,4,3,5,3,5,3,4,4,5,4,4,2,5,4,4,5,3,4,4,4,4,3,4,3,5,3,4,4,5,2,4,4,4
23,Max McGreevy,5,3,4,4,4,4,2,4,3,4,3,4,4,5,3,5,4,3,4,3,4,4,4,2,5,5,3,4,3,5,4,3,4,3,4,3,4,3,5,4,4,4,3,5,3,5,4,4,4,4,3,4,4,5,4,4,4,4,3,5,2,5,3,4,3,5,4,5,3,5,4,4
24,Marc Leishman,3,3,5,4,4,3,3,4,2,4,3,4,4,3,2,5,4,5,4,3,5,4,4,4,5,4,4,3,3,5,4,3,4,3,5,3,4,3,4,4,4,4,2,5,3,4,3,5,4,5,3,5,4,5,5,3,4,4,4,5,3,4,3,5,3,5,3,4,3,7,3,4
25,Aaron Wise,4,3,5,4,4,4,2,5,3,4,4,5,4,4,3,5,4,6,4,3,4,3,3,3,4,4,4,4,3,5,4,4,3,4,4,3,4,3,6,4,4,4,3,4,3,4,2,5,5,4,3,5,4,4,5,3,3,4,4,4,2,4,3,4,3,4,4,3,5,5,5,4
26,Ryan Palmer,4,3,5,3,4,5,3,4,3,4,3,4,4,4,4,5,5,4,5,3,4,4,4,3,4,4,4,4,3,5,5,4,4,3,5,2,4,3,5,4,4,3,5,4,4,4,3,4,4,4,3,3,4,3,4,4,4,3,5,4,3,5,5,4,4,4,3,3,3,4,4,4
27,Jhonattan Vegas,4,3,5,4,3,4,3,5,3,3,3,4,3,5,2,5,4,4,4,3,5,4,4,3,5,3,4,4,3,4,4,3,4,3,5,4,3,4,4,3,4,4,3,4,3,4,3,4,4,5,3,6,3,4,5,3,6,5,4,4,3,5,3,4,4,4,4,4,3,6,4,4
