,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,Sungjae Im,4,4,4,4,3,4,3,3,3,4,4,3,4,2,3,4,3,4,3,4,4,4,3,3,5,3,4,3,3,4,4,3,4,4,3,4,4,3,4,5,3,3,4,4,4,4,4,5,5,2,3,5,4,4,3,4,4,3,3,3,3,3,4,3,3,3,4,3,4,5,3,4
1,Matthew Wolff,4,4,4,3,3,4,4,3,4,3,4,3,4,3,3,4,3,4,3,4,5,4,3,3,3,3,4,3,4,7,3,3,4,4,3,4,4,4,4,4,3,4,4,3,4,4,3,4,4,3,3,3,3,4,4,4,4,4,2,3,4,3,4,5,4,4,6,3,3,4,3,4
2,Marc Leishman,4,3,4,4,3,4,4,4,5,3,3,4,4,4,4,4,2,4,4,3,3,5,3,3,5,3,4,3,4,4,3,3,4,3,4,6,4,5,4,5,3,5,4,2,4,4,5,3,4,2,3,4,3,4,4,3,3,4,2,4,3,3,4,4,3,4,4,2,4,6,3,3
3,Rory Sabbatini,4,3,3,4,2,4,3,3,5,5,4,3,4,3,4,4,3,4,4,4,4,4,3,3,4,3,4,3,4,5,4,2,3,5,3,4,4,4,4,4,3,4,4,4,5,4,5,4,5,2,3,5,2,4,3,3,3,3,3,4,3,3,3,5,4,4,4,3,4,5,3,4
4,Adam Schenk,3,4,4,4,3,4,5,2,4,4,3,4,3,3,3,4,3,4,3,4,4,4,3,3,3,3,4,3,4,3,5,4,3,5,3,4,4,5,3,4,4,4,3,2,4,4,4,4,5,3,3,4,3,3,3,4,4,5,3,5,4,4,5,4,3,4,4,3,4,4,3,4
5,Lanto Griffin,4,4,3,5,3,4,5,3,4,4,5,4,5,3,5,3,3,5,3,3,4,4,3,4,4,3,4,3,4,4,4,2,3,5,3,4,3,4,3,4,3,3,3,3,4,4,4,4,4,4,3,4,3,4,4,4,3,3,3,4,3,3,5,4,4,4,5,3,4,5,2,3
6,Adam Hadwin,4,4,4,5,2,3,4,3,4,4,4,4,3,3,5,3,4,4,4,3,4,4,3,3,4,3,4,3,3,5,5,3,4,3,2,4,4,4,4,4,4,3,4,3,4,4,3,4,4,3,3,5,3,5,4,4,4,4,4,4,4,3,4,4,3,3,4,3,3,5,3,4
7,Hayden Buckley,4,4,4,4,3,4,5,1,4,4,4,3,4,3,4,4,3,4,4,3,4,4,4,4,4,3,5,4,5,4,5,3,4,4,2,5,3,4,4,3,3,6,4,3,4,4,4,3,5,3,3,4,3,4,3,3,4,4,3,3,3,3,3,3,4,4,5,3,4,4,3,4
8,Aaron Wise,4,4,4,4,3,3,4,2,5,4,4,4,5,3,4,5,3,3,3,4,4,4,2,3,4,3,4,3,4,4,3,3,4,3,3,4,4,4,5,4,4,4,3,3,5,5,3,4,4,2,3,6,3,5,3,4,4,4,3,4,3,3,4,3,4,4,5,3,4,4,3,4
9,Harry Hall,4,4,4,4,3,3,6,3,3,4,4,3,4,3,5,3,3,3,4,4,3,4,2,3,3,4,4,4,4,4,5,3,3,4,3,4,4,4,4,4,3,4,4,3,4,4,5,5,4,2,3,5,3,3,4,5,4,4,3,3,3,3,4,4,4,3,6,3,4,4,3,4
10,Talor Gooch,4,4,3,5,3,4,3,3,3,4,4,3,5,3,3,4,2,4,4,4,4,4,4,4,5,3,4,4,3,3,3,3,4,4,3,4,3,5,4,4,3,5,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,4,4,3,4,4,4,4,4,2,4,4,3,4
11,Martin Laird,4,4,3,4,3,4,4,3,4,5,4,4,4,3,3,4,3,4,4,5,3,5,2,4,5,4,4,4,3,4,4,3,3,4,3,4,4,4,4,4,2,4,3,3,5,3,4,4,5,4,3,4,3,4,3,4,4,4,3,3,3,4,3,4,4,4,4,3,4,5,2,5
12,Andrew Putnam,4,4,3,5,2,3,5,4,3,4,4,4,4,3,3,4,3,5,3,4,4,4,3,4,4,2,3,3,5,4,5,3,3,4,2,4,4,4,4,3,3,4,3,3,5,4,4,4,4,4,3,4,2,4,4,4,4,4,2,4,4,4,6,4,4,4,4,3,4,5,3,4
13,K.H. Lee,4,3,4,5,3,3,4,3,4,4,4,5,5,3,4,3,3,4,3,4,4,3,3,4,3,3,4,4,4,4,5,3,3,4,3,3,3,4,4,4,3,4,5,3,4,4,5,3,7,3,3,4,4,4,4,3,4,3,3,4,4,3,5,3,3,4,5,3,4,4,3,4
14,Tom Hoge,4,4,3,5,2,4,4,3,3,3,4,4,4,3,4,4,3,5,4,4,3,4,4,4,4,3,3,4,4,3,5,3,4,6,3,5,4,3,4,4,3,4,3,3,4,4,3,4,6,3,4,4,3,4,4,4,3,4,3,4,4,3,4,4,4,4,4,3,4,4,3,3
15,Matt Wallace,4,4,4,4,3,3,5,3,4,3,4,4,4,4,4,3,3,4,3,4,3,5,3,4,4,3,4,4,4,4,4,4,3,4,3,5,4,4,4,4,3,5,3,3,5,4,4,5,4,3,3,4,2,4,4,4,4,4,2,4,3,4,5,4,3,4,4,3,4,4,2,4
16,Louis Oosthuizen,4,4,4,3,3,3,3,3,5,4,3,4,4,3,3,5,3,4,4,4,4,5,3,4,4,3,4,3,4,4,4,2,4,4,3,4,3,4,5,4,4,4,4,3,4,4,5,4,4,3,4,4,3,3,4,4,5,4,3,5,4,3,4,4,3,3,4,3,3,5,3,4
17,Matthew NeSmith,4,4,4,4,4,4,4,3,4,3,5,3,4,3,5,3,3,5,4,5,4,3,3,4,4,3,3,4,3,4,4,3,4,4,3,5,3,3,4,4,2,4,4,3,4,4,3,5,5,3,3,4,4,3,3,5,4,4,3,5,3,3,5,3,4,4,4,3,4,4,3,4
18,Chad Ramey,4,3,4,4,3,3,4,4,5,3,4,3,4,2,3,4,3,3,4,3,3,5,3,3,5,2,3,5,4,4,4,3,3,4,3,4,4,4,4,4,3,4,4,3,4,4,4,4,6,3,3,4,3,4,4,4,6,3,3,4,6,4,5,4,4,4,4,3,3,4,3,4
19,Sam Burns,3,4,4,4,3,3,3,3,5,4,4,4,4,2,3,4,5,4,3,4,4,5,3,3,4,3,4,3,3,4,3,3,3,4,3,4,4,4,4,4,3,4,3,2,4,4,3,4,5,3,4,6,3,4,4,3,4,5,3,4,5,3,5,4,4,4,4,3,3,5,3,6
20,Seamus Power,4,4,4,4,3,3,4,4,4,3,3,4,3,4,4,4,3,4,4,4,3,4,3,4,3,3,4,4,4,4,5,3,4,5,3,4,3,4,5,5,3,4,4,3,4,4,3,4,5,3,3,5,3,4,3,4,5,3,3,3,4,3,3,4,4,5,4,3,3,6,3,4
21,Russell Henley,3,3,4,4,3,4,4,3,4,4,5,3,5,3,3,5,3,4,4,4,4,4,3,4,5,2,4,3,4,6,4,4,4,5,3,3,3,4,4,4,3,5,3,3,5,3,3,4,5,4,3,4,2,4,3,4,5,4,3,4,4,3,4,4,4,3,5,3,3,4,3,4
22,Danny Willett,4,4,5,4,3,3,4,3,4,4,4,4,5,3,4,4,3,4,4,4,3,4,3,4,4,4,4,4,4,3,5,3,3,4,2,5,4,5,4,3,4,3,4,3,4,4,4,4,4,2,3,4,2,5,4,4,4,4,3,4,4,3,5,3,4,4,4,3,3,4,4,4
23,Joel Dahmen,4,4,4,4,4,3,4,3,4,3,3,4,4,3,4,4,3,5,4,4,3,4,6,4,4,2,4,4,5,4,4,2,4,4,4,4,4,5,4,5,3,4,4,3,4,4,4,4,4,3,4,4,3,4,4,4,4,4,2,4,5,3,4,3,4,4,4,2,3,4,3,3
