,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,Rory McIlroy,3,3,5,4,4,4,3,4,4,3,4,3,4,3,3,3,7,4,3,3,5,4,4,4,2,4,3,4,3,4,4,5,4,3,4,4,4,3,4,3,3,4,2,4,3,4,3,3,4,4,4,3,4,3,4,2,4,5,4,4,3,3,4,4,3,3,4,3,4,3,4,5
1,Collin Morikawa,4,3,5,4,4,4,3,3,5,3,3,4,4,4,4,3,3,4,5,2,4,3,4,5,3,4,4,5,5,5,4,4,4,3,3,3,4,3,5,3,3,4,3,3,3,4,3,4,4,4,4,3,3,5,3,3,4,3,3,4,3,3,3,4,2,4,4,5,4,3,4,3
2,Keith Mitchell,4,3,4,3,3,4,2,4,3,4,3,3,4,4,3,3,4,4,3,3,3,4,3,5,3,3,3,4,4,4,3,4,4,3,4,4,4,2,4,5,4,4,3,6,6,4,3,4,5,5,3,3,4,4,4,3,4,3,4,5,3,4,5,4,2,4,4,4,3,3,4,4
3,Rickie Fowler,4,3,5,4,3,4,2,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4,3,3,4,4,3,3,4,4,4,3,4,3,3,4,3,3,4,4,3,3,4,4,4,2,4,4,3,3,5,3,4,7,3,4,3,5,3,4,4,4,4,3,4,5
4,Talor Gooch,4,3,4,3,4,4,3,4,4,4,3,3,3,4,4,3,4,6,4,4,4,4,3,3,3,4,4,4,3,3,4,4,3,4,4,6,4,4,5,5,4,4,2,4,5,4,2,4,4,4,4,3,4,4,3,2,4,4,3,4,3,4,4,4,3,3,4,5,3,2,4,3
5,Sam Burns,4,3,5,4,3,5,3,4,4,5,3,3,4,4,3,3,3,4,4,3,5,3,3,4,2,4,5,4,3,3,6,4,4,3,3,5,4,3,4,4,3,4,2,4,3,4,3,4,5,4,4,3,4,4,3,3,5,3,4,4,3,4,5,4,3,3,3,4,4,3,3,5
6,Aaron Wise,3,3,5,3,3,4,3,5,4,4,3,4,5,5,3,2,3,4,4,3,4,4,4,4,3,3,4,4,3,4,4,4,4,3,4,4,4,2,4,4,3,5,2,4,4,5,4,4,4,4,3,2,4,6,4,3,5,3,4,3,3,4,3,3,3,4,4,5,4,3,4,4
7,Adam Scott,4,3,4,4,4,5,3,4,4,4,3,3,5,5,4,2,3,4,4,3,4,4,4,4,3,4,3,5,4,3,3,3,3,3,3,3,4,3,4,3,4,6,3,4,3,3,3,4,4,5,3,3,3,5,4,3,4,4,4,5,3,4,4,4,3,4,4,5,4,3,3,4
8,Sungjae Im,4,3,5,5,3,4,2,4,4,4,2,4,4,4,4,3,4,5,4,3,7,3,4,5,2,4,4,4,2,4,5,3,4,3,4,4,4,3,3,4,4,4,3,4,4,5,3,3,4,4,4,3,4,4,2,3,5,4,4,4,2,4,4,4,4,4,3,4,3,3,3,4
9,Gary Woodland,4,5,5,3,4,4,2,5,4,4,2,3,4,4,4,4,4,3,4,3,4,4,4,4,3,4,5,4,2,3,4,6,4,3,4,4,4,3,4,4,4,4,3,4,3,4,3,3,5,3,4,3,4,4,4,2,4,3,4,4,4,3,4,4,3,3,3,4,4,3,4,5
10,Harry Higgs,4,2,5,3,3,5,2,3,4,4,4,3,4,4,4,2,4,4,4,2,5,4,3,5,2,4,4,4,3,3,4,5,4,3,4,4,4,3,5,4,5,4,3,5,4,3,3,4,4,4,4,2,4,5,4,2,5,4,3,5,2,5,4,4,3,3,4,4,3,3,4,5
11,Cameron Smith,3,3,4,4,4,4,3,4,3,4,3,3,4,4,4,3,5,4,3,3,4,4,4,4,4,4,4,5,3,3,3,5,3,3,4,4,5,2,4,4,4,5,3,4,4,4,2,4,4,4,3,3,3,5,3,3,4,5,4,5,2,4,4,4,4,3,4,4,3,3,4,5
12,Robert Streb,3,2,3,3,3,4,3,4,4,4,4,3,3,4,4,2,4,4,4,3,5,5,4,4,3,4,5,5,4,3,3,5,3,3,4,5,4,2,4,4,4,4,2,3,4,4,4,4,4,4,4,3,3,4,4,2,5,3,4,4,3,4,5,4,3,4,5,5,3,3,4,5
13,Webb Simpson,4,3,4,4,3,4,3,4,5,4,4,4,3,4,4,3,5,4,4,3,4,3,3,5,2,5,4,5,3,3,4,5,4,3,4,5,3,2,4,4,4,4,3,4,4,4,3,3,5,5,4,3,3,4,3,2,3,3,4,5,2,4,4,4,4,3,3,5,4,3,4,5
14,Jhonattan Vegas,3,3,4,4,4,5,3,3,5,4,3,4,4,4,3,3,4,3,4,3,5,3,4,5,3,3,4,4,3,4,5,4,4,3,4,4,4,3,4,5,3,4,3,4,4,4,3,4,4,4,5,2,4,4,3,3,4,4,4,5,4,4,4,4,4,3,3,4,3,3,3,4
15,Chris Kirk,4,3,4,4,3,6,3,3,4,4,4,3,4,5,4,2,4,4,4,3,4,5,4,5,3,4,4,4,3,3,4,3,4,3,3,4,3,2,5,5,3,6,2,4,5,4,3,4,4,4,4,3,4,3,4,3,5,4,3,4,3,4,3,4,3,4,4,4,3,3,4,4
16,Abraham Ancer,4,3,4,4,3,6,3,5,4,4,3,4,3,5,5,2,4,4,4,3,4,4,3,4,3,4,4,4,3,3,4,2,4,3,4,5,4,3,5,4,3,4,2,4,3,3,3,3,4,3,4,4,3,4,4,3,6,3,5,4,3,3,4,4,4,3,5,3,4,4,4,5
17,Emiliano Grillo,5,3,5,4,4,5,3,4,4,4,3,4,4,4,5,3,4,4,4,3,4,4,3,5,2,4,4,4,2,5,4,5,4,3,4,4,4,3,4,4,4,4,3,4,3,4,3,4,4,5,4,3,4,5,4,3,4,3,3,5,3,3,4,4,3,4,3,3,4,2,3,3
18,Xander Schauffele,4,3,6,4,4,5,3,5,4,4,3,3,3,4,4,2,4,4,4,3,5,3,3,4,3,4,4,4,3,4,4,5,4,3,3,6,5,3,4,3,4,5,3,4,5,4,3,3,3,5,4,3,4,4,4,2,4,4,3,4,3,3,5,3,3,4,3,4,4,3,3,4
19,Justin Thomas,4,3,5,3,4,4,3,5,7,4,3,3,4,4,4,2,3,4,3,2,5,3,4,4,2,3,4,4,4,5,4,5,3,4,4,4,4,3,4,5,3,5,2,4,5,4,4,4,4,5,3,2,4,5,3,3,5,4,3,5,2,3,5,5,4,3,3,4,3,3,3,3
