,hole,score,round,par,yards,average_score,location,date,temp,wind,rain
0,1.0,3.0,1.0,4,398,3.91,"Jackson, MS",2021-09-30,83,12,0.1
1,2.0,6.0,1.0,4,422,3.922,"Jackson, MS",2021-09-30,83,12,0.1
2,3.0,4.0,1.0,5,580,4.519,"Jackson, MS",2021-09-30,83,12,0.1
3,4.0,3.0,1.0,3,174,2.943,"Jackson, MS",2021-09-30,83,12,0.1
4,5.0,5.0,1.0,5,604,4.748,"Jackson, MS",2021-09-30,83,12,0.1
5,6.0,3.0,1.0,4,483,4.059,"Jackson, MS",2021-09-30,83,12,0.1
6,7.0,4.0,1.0,3,210,3.028,"Jackson, MS",2021-09-30,83,12,0.1
7,8.0,4.0,1.0,4,384,3.974,"Jackson, MS",2021-09-30,83,12,0.1
8,9.0,4.0,1.0,4,407,3.939,"Jackson, MS",2021-09-30,83,12,0.1
9,10.0,4.0,1.0,3,220,3.083,"Jackson, MS",2021-09-30,83,12,0.1
10,11.0,4.0,1.0,5,536,4.601,"Jackson, MS",2021-09-30,83,12,0.1
11,12.0,4.0,1.0,4,445,4.002,"Jackson, MS",2021-09-30,83,12,0.1
12,13.0,3.0,1.0,3,152,2.835,"Jackson, MS",2021-09-30,83,12,0.1
13,14.0,4.0,1.0,5,572,4.649,"Jackson, MS",2021-09-30,83,12,0.1
14,15.0,4.0,1.0,4,316,3.642,"Jackson, MS",2021-09-30,83,12,0.1
15,16.0,3.0,1.0,4,451,4.163,"Jackson, MS",2021-09-30,83,12,0.1
16,17.0,4.0,1.0,4,424,3.816,"Jackson, MS",2021-09-30,83,12,0.1
17,18.0,4.0,1.0,4,486,4.038,"Jackson, MS",2021-09-30,83,12,0.1
18,1.0,4.0,2.0,4,398,3.91,"Jackson, MS",2021-10-01,85,8,0.0
19,2.0,3.0,2.0,4,422,3.922,"Jackson, MS",2021-10-01,85,8,0.0
20,3.0,4.0,2.0,5,580,4.519,"Jackson, MS",2021-10-01,85,8,0.0
21,4.0,3.0,2.0,3,174,2.943,"Jackson, MS",2021-10-01,85,8,0.0
22,5.0,5.0,2.0,5,604,4.748,"Jackson, MS",2021-10-01,85,8,0.0
23,6.0,3.0,2.0,4,483,4.059,"Jackson, MS",2021-10-01,85,8,0.0
24,7.0,3.0,2.0,3,210,3.028,"Jackson, MS",2021-10-01,85,8,0.0
25,8.0,4.0,2.0,4,384,3.974,"Jackson, MS",2021-10-01,85,8,0.0
26,9.0,3.0,2.0,4,407,3.939,"Jackson, MS",2021-10-01,85,8,0.0
27,10.0,3.0,2.0,3,220,3.083,"Jackson, MS",2021-10-01,85,8,0.0
28,11.0,5.0,2.0,5,536,4.601,"Jackson, MS",2021-10-01,85,8,0.0
29,12.0,4.0,2.0,4,445,4.002,"Jackson, MS",2021-10-01,85,8,0.0
30,13.0,3.0,2.0,3,152,2.835,"Jackson, MS",2021-10-01,85,8,0.0
31,14.0,5.0,2.0,5,572,4.649,"Jackson, MS",2021-10-01,85,8,0.0
32,15.0,3.0,2.0,4,316,3.642,"Jackson, MS",2021-10-01,85,8,0.0
33,16.0,5.0,2.0,4,451,4.163,"Jackson, MS",2021-10-01,85,8,0.0
34,17.0,4.0,2.0,4,424,3.816,"Jackson, MS",2021-10-01,85,8,0.0
35,18.0,4.0,2.0,4,486,4.038,"Jackson, MS",2021-10-01,85,8,0.0
36,1.0,3.0,3.0,4,398,3.91,"Jackson, MS",2021-10-02,83,10,0.0
37,2.0,3.0,3.0,4,422,3.922,"Jackson, MS",2021-10-02,83,10,0.0
38,3.0,5.0,3.0,5,580,4.519,"Jackson, MS",2021-10-02,83,10,0.0
39,4.0,3.0,3.0,3,174,2.943,"Jackson, MS",2021-10-02,83,10,0.0
40,5.0,5.0,3.0,5,604,4.748,"Jackson, MS",2021-10-02,83,10,0.0
41,6.0,4.0,3.0,4,483,4.059,"Jackson, MS",2021-10-02,83,10,0.0
42,7.0,3.0,3.0,3,210,3.028,"Jackson, MS",2021-10-02,83,10,0.0
