,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,Jon Rahm,4,3,4,2,4,4,4,3,4,4,4,4,3,3,5,2,4,3,3,5,3,4,3,4,4,4,2,5,3,4,3,4,3,5,3,4,4,4,4,4,3,4,3,4,3,5,3,5,3,4,4,4,3,4,4,4,4,4,3,4,3,4,3,5,3,5,3,4,4,4,3,5
1,Brandon Wu,4,3,6,2,4,4,4,4,4,4,5,4,4,2,4,4,4,3,4,4,4,4,3,5,4,4,3,5,3,4,3,5,4,3,4,4,4,3,4,3,4,4,4,3,4,4,3,3,4,3,5,4,4,3,4,4,4,4,2,3,3,4,3,3,3,5,2,4,4,3,3,5
2,Tony Finau,4,4,4,4,3,5,4,4,3,5,3,4,2,6,4,4,4,4,4,3,5,3,5,4,4,2,5,4,3,4,5,3,5,3,3,3,4,3,5,3,5,3,4,3,4,3,4,3,5,3,4,3,4,3,4,4,3,4,3,4,3,4,3,4,3,5,2,3,3,4,3,4
3,Kurt Kitayama,3,3,4,4,2,4,4,4,4,5,2,5,2,4,4,3,3,4,5,3,6,3,4,4,4,3,4,4,5,4,4,2,5,3,4,3,4,3,4,4,3,4,2,4,2,5,2,5,3,5,3,4,4,5,3,4,4,4,3,4,3,4,3,5,3,4,3,6,4,4,3,4
4,Davis Riley,5,4,4,4,3,5,3,4,3,4,3,4,3,4,4,4,4,4,4,3,4,2,6,3,4,2,4,4,3,5,5,3,3,3,4,3,3,4,3,4,3,4,4,4,3,5,3,4,4,4,4,4,3,4,4,4,3,4,4,5,4,4,2,4,3,5,2,4,4,5,3,4
5,Aaron Wise,3,3,5,3,4,3,4,3,4,4,4,4,4,3,4,4,3,3,4,4,4,4,3,5,4,6,2,5,3,5,3,6,4,4,3,6,4,3,4,2,4,4,4,2,6,4,4,3,4,4,4,3,4,3,3,4,4,4,3,4,3,3,3,4,3,4,2,5,4,3,3,5
6,David Lipsky,4,4,5,5,3,3,3,5,3,4,3,5,3,5,3,4,3,4,4,3,5,3,5,4,5,3,4,3,4,3,4,3,4,4,4,3,4,5,4,4,3,5,3,5,3,4,2,5,3,5,4,4,3,3,4,4,3,3,3,4,3,4,3,4,3,4,3,4,4,4,3,4
7,Alex Smalley,3,4,4,4,3,5,3,4,3,5,3,4,3,4,3,4,3,4,4,3,6,3,4,5,4,3,4,4,3,2,4,3,4,3,4,3,4,3,4,5,3,5,3,4,3,4,3,4,3,5,4,5,3,5,4,4,4,4,3,4,3,3,3,4,3,5,3,5,4,5,3,4
8,Cameron Champ,4,3,4,3,5,4,4,2,5,4,3,4,5,3,4,3,4,3,4,4,4,4,2,4,3,3,3,5,3,5,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,5,5,3,5,4,3,4,4,3,4,3,7,3,4,3,4,3,5,5,4,2,5
9,Patrick Rodgers,4,4,4,4,4,4,3,4,2,4,3,4,3,4,4,4,3,4,4,3,5,3,4,4,4,4,5,4,3,4,5,2,5,3,4,3,4,4,4,4,3,4,3,4,3,4,3,4,3,5,3,4,3,4,4,4,4,4,4,4,3,4,3,4,4,4,3,6,4,4,3,4
