,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,Will Zalatoris,3,4,5,3,4,5,3,4,6,4,3,3,4,3,4,5,4,4,4,3,4,2,4,4,4,2,4,4,3,3,4,3,3,5,4,3,3,5,4,3,4,4,4,3,4,4,2,3,4,3,3,4,4,4,3,3,4,3,4,4,5,3,4,3,3,4,4,3,4,4,4,4
1,Sepp Straka,4,3,5,3,4,3,4,3,3,4,3,4,3,3,4,4,3,4,4,3,5,3,4,4,4,3,5,4,3,4,4,2,4,4,3,3,3,5,5,3,3,3,5,3,4,4,3,4,3,3,3,5,4,5,4,4,6,2,5,3,4,3,4,3,3,3,4,3,4,4,4,4
2,Lucas Glover,4,4,5,3,4,5,4,2,4,3,2,4,3,3,4,4,4,3,3,5,5,2,4,5,4,3,5,3,2,4,3,3,4,4,4,5,3,5,5,2,4,4,5,2,4,4,4,5,4,3,3,5,4,3,4,5,4,3,5,3,4,3,3,4,2,4,3,3,4,4,3,5
3,Brian Harman,4,3,5,3,4,4,5,3,3,4,3,4,4,2,4,3,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,2,3,4,4,4,3,4,5,3,4,3,4,3,6,4,3,4,4,3,4,4,4,4,4,3,5,3,4,4,4,3,4,3,2,4,3,4,4,4,5,4
4,Adam Scott,3,4,5,3,5,3,3,2,3,4,3,4,4,5,3,4,4,4,5,4,5,2,4,4,4,2,3,4,3,4,4,3,4,4,4,4,4,3,5,4,6,4,3,3,4,4,2,3,4,3,4,5,5,4,4,4,4,3,3,4,4,2,3,5,3,4,3,3,4,4,4,5
5,Jon Rahm,4,4,5,3,4,4,4,3,4,4,3,4,4,3,3,4,4,3,4,3,5,3,4,5,3,3,4,5,2,4,4,4,4,4,5,3,4,4,5,2,3,4,4,3,4,4,3,4,3,3,4,5,5,3,3,4,5,2,4,3,4,3,4,5,2,4,4,3,4,4,4,4
6,Collin Morikawa,3,5,6,2,5,4,4,2,4,3,3,3,3,3,4,4,4,5,4,3,5,5,5,4,4,2,5,5,3,4,4,2,3,4,3,4,3,3,5,2,4,3,4,3,5,4,3,4,3,3,4,5,4,4,3,4,5,3,4,4,4,3,4,3,3,3,4,3,4,4,4,5
7,Tony Finau,5,3,5,2,4,3,4,3,3,3,3,5,4,3,3,4,3,4,4,3,4,3,4,4,4,2,4,4,3,5,3,3,4,6,4,4,3,5,4,3,4,4,4,3,3,4,3,4,4,4,4,4,4,5,4,3,5,3,4,4,4,3,3,4,3,4,4,3,4,4,4,5
8,Matt Fitzpatrick,4,4,4,3,4,3,4,3,4,5,3,4,3,3,4,4,5,4,3,4,4,3,4,3,4,3,4,4,3,4,4,2,3,6,4,4,5,4,4,3,4,4,3,3,4,4,3,4,4,3,3,5,4,3,4,4,5,3,3,4,4,3,4,4,3,5,4,3,4,3,4,4
9,Andrew Putnam,4,4,4,2,4,4,4,3,4,4,3,4,4,3,4,4,3,4,3,4,5,3,4,4,4,2,3,5,3,4,4,3,4,5,4,4,4,5,5,2,4,3,5,2,4,4,3,4,3,3,4,4,4,4,4,5,5,2,4,4,4,2,4,4,2,4,4,3,5,4,4,4
10,Trey Mullinax,4,3,4,3,4,3,4,3,4,4,2,4,4,3,5,3,4,5,3,3,6,3,4,4,4,3,5,5,3,3,4,3,3,4,3,4,4,4,5,2,3,4,4,3,4,4,2,4,5,3,4,4,4,3,4,5,5,3,4,4,4,3,4,4,2,3,4,2,5,4,5,5
11,Sungjae Im,3,5,4,3,4,4,4,3,5,5,2,4,5,3,4,4,4,4,4,4,5,4,4,4,3,3,4,4,4,3,3,3,4,5,3,4,3,5,3,3,4,4,4,2,4,4,3,4,3,3,3,4,4,3,4,3,5,3,5,4,4,3,4,4,3,4,4,3,4,4,4,4
12,Lee Hodges,3,3,4,4,4,4,4,2,4,4,3,4,4,2,4,4,4,4,4,4,4,3,4,4,4,3,4,5,2,4,4,2,4,5,5,4,3,5,5,2,4,4,5,3,4,4,3,6,4,3,4,5,4,4,4,4,5,2,3,4,3,3,3,3,4,3,4,3,4,5,3,5
13,Justin Thomas,3,3,6,3,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,5,5,2,4,5,4,2,4,4,3,3,4,3,3,4,4,4,4,4,4,3,5,4,4,3,3,4,4,6,4,3,4,5,3,4,5,3,5,2,5,4,4,2,4,4,2,4,3,3,5,4,4,3
14,Cam Davis,3,3,4,3,4,5,5,2,5,4,3,4,3,3,3,4,4,5,4,4,5,2,4,5,4,3,4,4,3,4,4,3,4,6,4,4,4,3,5,2,5,5,4,2,4,4,3,4,4,2,4,5,3,4,4,4,4,3,4,4,3,3,4,5,3,3,4,3,4,4,3,4
15,Sahith Theegala,4,3,4,2,4,4,4,3,3,4,3,3,3,3,4,4,4,4,4,4,4,3,4,3,4,3,4,5,4,4,4,2,4,5,5,4,4,4,4,3,4,5,4,3,4,4,3,4,4,3,4,4,4,4,4,4,5,4,4,4,4,3,3,4,3,4,3,3,5,4,4,4
16,Joohyung Kim,4,3,4,3,4,4,4,3,4,4,2,4,3,4,4,4,4,4,4,4,5,3,4,3,5,3,4,5,2,4,4,4,4,4,4,4,3,3,5,3,5,4,5,4,3,4,3,3,4,2,3,4,4,4,4,4,4,3,4,4,4,2,6,4,3,4,4,3,4,4,4,4
17,Joaquin Niemann,4,5,4,3,5,5,4,3,4,3,2,4,4,3,3,4,7,4,4,3,5,3,3,3,5,2,4,5,2,4,4,3,4,4,4,4,4,4,5,2,4,4,4,3,3,4,3,4,3,2,4,4,4,4,4,4,5,3,3,3,4,4,4,3,3,6,4,3,4,4,4,4
18,Cameron Smith,4,4,4,2,4,3,4,3,5,5,3,4,2,4,4,4,4,4,4,4,4,3,4,3,4,2,4,4,3,4,4,2,5,3,4,4,4,4,5,6,4,3,5,3,3,3,3,4,4,3,4,4,4,3,3,4,5,3,4,4,4,3,5,5,3,4,4,3,4,4,4,4
19,J.T. Poston,3,4,5,3,4,4,4,3,3,4,2,4,4,2,3,4,5,3,4,4,5,3,4,4,4,3,4,5,3,4,4,5,4,4,4,4,4,4,6,2,4,4,4,3,3,4,3,5,3,3,4,4,4,4,4,4,5,3,4,3,4,3,4,4,3,4,4,3,5,3,4,4
20,Viktor Hovland,3,4,5,2,4,4,4,3,4,4,3,4,3,3,4,5,4,4,3,3,4,5,5,5,4,3,4,4,2,4,4,3,4,4,4,5,3,5,4,3,4,4,4,3,5,3,3,4,5,2,3,5,4,3,3,4,5,3,4,4,4,3,4,3,2,5,4,3,3,5,4,5
21,Kevin Kisner,4,3,5,4,4,3,4,2,3,3,2,7,4,3,4,5,4,5,4,4,4,2,4,3,3,3,4,4,2,4,5,3,4,4,4,3,4,4,4,3,5,3,4,3,4,4,3,4,5,3,5,5,4,3,3,4,4,3,4,4,5,3,5,3,3,4,4,4,4,4,4,4
22,Denny McCarthy,4,4,5,3,4,4,4,2,3,5,3,4,3,3,4,3,4,4,3,3,5,2,4,2,4,3,4,4,3,4,4,3,4,4,4,5,5,4,5,3,4,4,5,2,4,4,3,3,5,3,5,5,3,4,3,3,4,3,4,4,3,3,5,4,4,4,4,4,5,5,4,4
23,K.H. Lee,3,4,4,3,3,4,3,3,3,4,3,4,3,3,4,4,5,4,4,4,4,3,5,4,4,3,5,3,3,5,3,3,4,4,4,4,4,4,5,3,4,3,4,3,5,3,3,3,5,3,4,5,4,4,4,4,5,3,4,4,4,3,3,4,3,5,4,3,4,4,5,4
24,Dylan Frittelli,4,4,4,3,4,4,4,2,5,3,2,4,4,2,4,4,5,4,4,3,5,3,4,5,5,2,4,5,3,4,4,3,5,3,5,3,4,3,5,3,4,3,3,3,3,4,3,5,3,3,4,4,5,4,4,3,4,3,4,4,4,4,5,3,4,4,3,4,4,5,4,4
25,Ryan Palmer,3,4,3,4,3,4,4,3,6,4,2,4,3,3,3,4,4,4,4,4,5,2,4,4,4,3,3,4,4,4,3,4,3,4,4,4,4,4,6,3,4,3,5,3,5,4,3,3,4,3,3,4,3,5,4,4,5,3,4,4,5,3,5,4,4,4,4,2,4,4,4,4
26,Sam Burns,4,4,4,3,3,4,3,3,4,4,3,4,3,3,4,4,3,5,4,3,5,3,3,4,4,3,4,4,3,4,3,3,5,5,5,4,4,3,4,4,4,4,4,3,4,4,3,4,4,3,3,4,5,3,4,4,5,3,4,5,4,3,5,4,3,3,4,3,3,5,5,4
27,Corey Conners,3,4,5,3,4,4,4,3,4,5,3,4,3,3,4,3,4,4,4,4,4,3,4,4,4,3,5,4,3,4,5,3,3,5,5,4,3,4,4,3,3,5,5,2,4,4,3,4,4,3,4,5,4,3,4,4,6,3,5,4,4,2,3,4,3,4,3,3,4,4,4,4
28,Wyndham Clark,4,3,6,3,4,3,4,2,4,4,2,3,5,3,5,4,4,4,4,4,5,3,3,4,4,4,4,4,2,5,4,3,4,4,3,3,3,4,3,2,4,4,5,3,4,4,3,4,5,3,4,4,4,4,4,4,5,3,5,4,4,2,3,4,3,4,3,5,4,6,5,4
29,Troy Merritt,4,3,5,3,3,4,4,3,3,4,3,4,3,3,3,4,5,4,4,3,4,3,5,4,4,2,3,5,2,5,4,3,3,3,4,4,4,4,5,2,4,5,5,2,4,4,3,3,4,4,4,4,5,4,4,4,5,3,5,4,5,3,4,4,5,2,3,6,4,4,4,4
30,Maverick McNealy,4,3,4,3,4,5,4,2,4,3,3,4,4,3,4,4,3,6,4,4,4,2,4,3,4,3,4,4,3,4,4,3,4,5,4,4,3,5,5,3,5,4,4,3,5,5,3,4,4,3,4,4,5,6,5,4,4,3,4,3,4,2,4,3,2,4,3,4,4,5,3,4
31,Cameron Young,4,3,4,3,3,3,3,3,4,5,3,5,4,3,4,5,4,4,3,5,5,4,4,3,4,3,4,5,4,4,4,3,3,6,4,3,4,5,4,3,5,3,5,3,4,4,3,4,4,3,4,4,4,4,4,4,5,3,4,3,3,3,3,4,4,3,4,3,4,4,4,4
32,Aaron Wise,4,4,4,2,4,3,4,3,4,3,3,3,4,3,6,4,5,3,4,3,5,4,5,4,4,3,4,4,3,5,4,3,4,5,3,4,4,5,4,3,4,4,4,2,3,6,2,4,5,3,4,5,4,4,4,4,4,3,4,4,4,4,4,5,2,4,4,3,4,4,3,3
33,Taylor Moore,5,3,4,3,4,3,4,4,4,4,3,4,4,3,3,4,5,3,3,4,5,3,5,4,6,3,4,3,3,4,5,2,3,4,4,5,4,3,5,3,5,4,5,3,4,3,3,4,3,3,4,4,4,5,4,4,4,3,4,4,4,3,4,3,3,4,4,2,4,4,5,5
34,Emiliano Grillo,4,4,5,3,4,3,4,3,4,4,2,4,5,2,3,5,4,4,3,4,4,4,5,4,5,3,4,3,2,3,4,2,4,5,3,4,4,4,5,3,5,4,4,3,3,4,3,4,4,3,4,6,5,4,4,4,4,4,4,4,4,2,4,3,3,4,4,3,3,4,5,6
35,Michael Thompson,4,4,4,3,3,3,4,3,3,5,2,4,4,3,4,4,4,4,4,5,4,3,4,4,5,3,3,4,3,4,4,3,4,4,4,5,4,3,6,3,4,4,4,3,4,4,2,4,4,5,4,4,4,4,4,5,6,3,4,4,4,3,4,3,3,4,4,3,3,4,4,4
36,Tyrrell Hatton,3,3,4,3,4,4,4,3,4,4,3,4,4,3,3,4,4,4,4,3,5,3,5,3,4,3,4,3,3,5,4,3,6,4,4,4,3,4,5,3,5,4,3,3,3,5,2,5,4,3,3,4,5,5,4,4,6,3,4,3,4,3,3,4,3,6,4,3,3,4,4,5
37,Davis Riley,5,3,5,3,4,4,4,4,5,4,3,4,3,3,3,4,4,4,3,4,4,3,4,4,4,2,5,4,3,4,4,3,3,5,4,4,3,3,5,3,4,3,4,3,4,4,3,4,5,3,4,5,5,3,4,4,4,3,4,4,4,3,4,4,3,5,4,3,3,4,4,6
38,Keith Mitchell,4,4,7,3,3,4,4,2,4,4,3,4,4,3,3,4,4,4,4,5,5,3,4,4,4,2,5,3,2,3,4,3,4,5,4,5,3,4,5,3,4,3,5,3,4,5,2,4,4,2,4,4,4,4,4,4,4,3,4,4,4,3,5,4,3,4,3,4,5,4,4,4
39,Adam Schenk,4,4,4,3,4,5,4,3,4,5,3,4,5,4,4,4,4,3,4,4,6,3,4,3,4,3,3,4,2,4,4,3,3,4,4,4,3,4,4,2,5,4,4,3,4,4,3,3,3,3,3,4,4,6,4,4,5,3,5,4,5,3,4,4,3,4,4,3,4,5,3,4
40,Tyler Duncan,3,3,3,3,4,4,4,3,6,5,5,6,4,3,3,4,4,3,4,3,5,3,3,3,4,3,4,4,2,4,4,3,3,4,3,4,3,3,5,4,3,3,4,3,4,3,3,4,4,4,4,5,4,4,4,4,5,4,4,4,4,3,5,4,4,4,4,3,4,5,5,4
41,Si Woo Kim,4,3,4,4,4,4,4,3,4,3,3,4,3,2,3,4,4,2,5,4,5,3,4,4,5,3,4,4,3,4,5,3,4,5,4,4,4,4,5,3,4,4,5,2,3,5,3,4,5,3,5,5,4,4,4,3,4,3,4,4,4,4,5,4,3,5,4,2,3,4,4,4
42,Mito Pereira,3,5,5,3,4,3,5,3,4,4,3,4,3,3,3,4,4,4,3,4,5,2,4,4,4,3,5,5,3,5,4,4,4,5,4,3,4,4,7,2,5,3,4,3,4,3,2,3,3,4,4,5,4,4,4,4,6,3,5,3,4,3,3,4,3,3,4,3,3,5,4,5
43,Max Homa,4,4,4,3,3,4,4,2,4,4,3,4,4,2,3,4,4,6,3,4,5,2,4,4,4,3,6,3,3,5,4,3,4,5,3,4,4,4,4,3,4,4,4,3,4,4,2,4,4,3,5,5,4,4,5,4,6,3,3,4,4,4,3,4,3,4,4,3,4,4,4,5
44,J.J. Spaun,3,3,5,3,4,4,4,3,3,3,2,3,4,3,4,4,4,3,3,4,4,3,4,4,5,2,4,4,3,5,3,3,4,4,4,4,4,4,5,3,4,4,4,3,4,5,2,4,4,3,4,4,3,4,4,4,6,3,4,3,5,5,4,5,3,6,5,3,4,4,5,5
45,Mackenzie Hughes,4,3,5,3,4,4,4,3,3,5,3,4,4,3,3,4,4,4,4,4,4,3,3,4,5,3,4,3,3,4,5,2,4,6,5,4,4,4,5,2,4,4,4,2,4,5,3,6,4,3,4,5,4,4,3,3,4,3,4,5,4,3,5,4,3,3,4,3,4,5,4,4
46,Sebastián Muñoz,4,4,4,3,4,5,4,3,4,4,3,4,4,3,3,4,4,4,4,3,4,3,4,5,4,3,3,4,3,4,4,4,3,5,3,5,5,4,5,2,4,4,4,4,6,5,3,3,4,2,4,5,4,3,4,4,5,3,4,3,4,3,3,3,3,5,4,3,4,5,5,4
