,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,Rory McIlroy,7,4,3,5,3,3,4,3,4,4,3,3,5,3,2,3,4,4,4,3,4,4,4,4,4,4,3,4,3,4,4,4,3,3,4,4,4,2,3,5,4,3,4,3,3,4,3,4,3,4,3,4,3,4,5,3,3,4,3,4,3,4,3,4,3,3,4,5,2,4,4,5
1,Sungjae Im,4,3,4,4,4,4,4,3,3,4,2,4,4,4,3,4,5,4,4,2,4,5,4,3,3,4,3,3,4,3,4,4,3,4,4,4,4,3,4,4,3,3,3,3,3,4,3,4,4,5,3,4,4,5,4,3,3,3,4,4,4,5,2,4,3,3,4,6,2,4,3,5
2,Scottie Scheffler,4,3,3,4,4,3,4,4,4,4,3,4,4,4,3,3,3,4,4,2,3,4,4,4,4,4,3,4,3,3,4,4,3,4,4,5,4,3,4,4,4,5,4,3,3,4,4,4,3,4,2,4,3,4,5,3,4,5,4,6,4,3,3,4,3,4,4,4,3,5,4,5
3,Xander Schauffele,4,3,3,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,4,3,5,3,4,4,4,4,3,3,3,3,4,4,3,3,3,3,4,2,3,5,5,4,3,4,3,4,4,4,4,5,3,4,4,5,4,3,4,5,3,5,4,4,3,4,3,4,4,4,3,4,3,5
4,Max Homa,5,2,4,4,4,5,4,4,3,4,3,5,5,4,3,5,3,4,3,2,4,4,3,4,4,3,3,4,3,4,4,4,3,3,4,3,4,2,4,4,4,4,4,4,3,4,2,4,4,4,4,3,4,4,4,3,3,4,3,5,4,4,3,4,4,3,4,4,3,3,4,4
5,Justin Thomas,3,3,4,5,3,4,4,3,4,4,3,4,5,4,3,4,3,4,5,4,4,4,4,4,4,4,3,4,3,4,3,4,3,3,4,4,4,3,3,5,3,4,4,4,2,3,2,3,4,4,3,4,4,4,4,3,4,4,3,5,5,5,3,4,3,4,3,4,3,4,3,4
6,Sepp Straka,5,3,4,4,4,4,4,4,3,4,2,4,4,4,3,4,4,4,3,3,4,5,3,4,4,4,3,4,3,5,4,3,3,4,5,4,4,3,3,4,3,4,4,4,3,4,2,3,3,5,2,4,4,5,4,3,4,3,4,5,4,5,3,3,3,4,3,5,3,4,4,4
7,Patrick Cantlay,4,3,4,4,5,4,4,5,3,4,3,4,4,4,3,5,4,3,4,3,3,4,4,5,4,4,2,4,2,4,4,4,3,4,3,5,4,2,4,4,4,4,3,4,4,4,3,4,4,4,2,4,4,4,4,3,4,4,3,5,5,3,3,4,3,5,4,4,3,4,4,5
8,Tony Finau,4,3,5,4,4,5,5,4,3,4,3,4,4,4,3,4,4,5,3,3,4,4,4,4,4,4,3,4,3,4,4,4,3,3,4,4,4,3,4,4,5,4,4,4,3,3,3,4,3,4,4,4,3,4,4,3,3,4,4,5,3,5,3,3,3,4,3,4,2,4,3,4
9,Tom Hoge,4,3,4,4,4,4,3,3,3,4,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,3,5,3,4,2,4,3,4,3,2,4,4,5,4,4,4,2,3,3,4,4,5,3,4,4,4,4,3,3,5,4,4,4,5,3,4,3,4,4,4,3,4,3,5
10,Joaquin Niemann,3,4,3,4,4,5,4,4,2,4,3,4,3,3,3,4,4,3,4,3,4,4,4,5,4,4,4,3,3,4,4,5,3,3,3,3,5,3,3,4,3,4,4,3,3,5,3,4,4,5,3,4,5,4,5,3,4,4,5,4,4,5,3,3,3,4,4,3,3,4,4,4
11,Hideki Matsuyama,4,3,4,4,5,4,3,4,4,4,3,4,4,5,3,4,4,4,4,2,4,4,4,4,3,4,3,5,3,3,4,4,3,4,3,5,4,3,3,4,3,4,4,3,3,5,2,4,3,4,3,4,3,4,5,3,3,5,4,6,4,4,3,4,2,3,4,4,3,4,4,5
12,Jordan Spieth,4,3,4,4,4,5,4,3,4,4,3,4,4,4,3,3,4,4,5,3,4,4,4,4,5,3,3,5,3,4,3,4,2,4,3,5,4,2,4,4,4,4,4,6,3,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,3,4,3,3,3,5,3,4,3,3,4,4
13,Aaron Wise,4,3,4,4,4,4,3,4,2,4,3,4,4,4,2,4,4,4,4,3,4,4,3,5,4,3,3,4,3,4,3,3,5,4,3,5,4,3,5,4,4,3,4,4,3,3,3,4,4,3,2,4,5,4,5,3,4,4,5,4,4,4,3,4,2,4,3,5,4,4,4,4
14,Viktor Hovland,4,3,3,3,4,4,5,4,3,4,3,5,4,5,5,4,4,4,3,4,3,3,4,4,3,4,3,4,3,3,5,5,4,4,4,5,4,3,3,4,3,5,4,4,2,3,4,3,4,4,4,4,4,5,5,3,3,4,2,4,3,5,3,4,3,4,4,4,3,3,4,4
15,Matt Fitzpatrick,4,3,4,4,4,4,4,3,3,3,3,4,4,4,2,4,4,3,4,3,4,4,4,5,6,4,3,4,4,3,4,4,3,4,4,4,4,3,4,4,3,4,4,4,3,4,3,4,4,4,3,4,5,3,5,3,3,4,3,5,4,6,3,4,2,4,4,4,3,5,4,4
16,J.T. Poston,3,3,4,3,4,3,4,4,3,3,3,4,4,4,3,5,4,4,4,3,4,4,4,4,4,5,3,4,3,4,4,3,3,4,4,5,4,3,3,4,4,5,4,4,2,4,3,4,4,4,3,3,3,5,3,3,4,4,4,5,4,4,2,4,3,3,5,5,3,4,4,5
