,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,Viktor Hovland,3,2,5,4,4,7,3,3,5,5,4,3,4,2,4,3,3,4,3,3,4,5,3,5,3,3,5,4,4,3,4,5,4,4,3,4,4,2,5,4,2,5,3,3,4,3,6,4,4,2,5,4,3,4,4,3,5,4,3,4,3,2,5,4,4,4,4,2,3,3,4,5
1,Scottie Scheffler,4,2,4,4,3,5,4,4,5,4,4,3,5,3,5,4,3,5,4,4,3,4,2,5,3,3,5,4,6,3,4,4,4,3,3,4,4,3,5,4,3,4,3,2,5,4,5,3,3,4,4,3,3,4,4,3,4,7,3,4,4,3,4,4,4,2,4,3,4,3,2,4
2,Sam Burns,4,4,5,4,2,5,4,3,5,4,4,2,4,3,5,4,3,6,4,2,5,4,3,4,3,3,4,4,4,3,3,4,4,4,3,4,5,3,5,4,3,5,4,2,5,4,3,2,3,3,4,3,4,6,3,3,4,5,3,4,3,2,6,4,6,2,4,7,3,4,2,4
3,Patrick Reed,4,3,6,4,4,5,3,3,4,4,4,3,4,2,4,4,3,4,4,3,5,4,3,5,3,5,4,4,4,4,3,4,3,4,3,4,4,2,4,4,2,5,3,3,5,4,5,3,4,4,5,3,3,4,4,3,4,4,3,4,3,3,5,5,5,3,4,3,4,4,3,5
4,Justin Thomas,3,2,4,4,3,4,3,3,5,4,5,4,4,3,4,3,3,6,3,3,4,6,3,6,4,3,5,4,5,4,3,3,4,4,3,5,3,3,5,3,3,5,3,3,5,5,5,5,4,4,3,5,2,5,4,2,3,4,4,4,3,3,4,4,5,3,5,3,4,4,2,3
5,Collin Morikawa,4,3,5,4,2,4,4,3,5,4,4,2,5,3,4,4,3,5,3,3,5,3,3,5,4,3,4,4,4,4,3,3,3,4,3,5,4,3,3,3,3,5,4,3,4,3,4,3,4,3,4,4,3,4,4,3,5,6,3,7,4,3,6,4,4,3,4,4,4,4,3,5
6,Tony Finau,4,3,4,4,4,6,3,3,5,4,3,3,4,4,4,3,3,4,4,3,4,4,3,4,3,3,5,5,5,2,4,3,4,4,3,3,4,3,4,3,3,4,4,3,5,4,5,3,3,4,5,5,3,5,4,3,4,6,3,4,4,3,5,4,5,3,5,3,5,4,2,4
7,Daniel Berger,3,2,4,3,3,5,3,3,5,4,3,4,4,4,4,4,3,5,4,3,4,3,4,5,4,3,5,4,5,4,3,4,4,4,3,3,4,2,7,4,3,5,2,2,5,4,3,3,4,4,4,5,3,5,4,3,4,4,4,4,5,3,4,5,6,3,3,4,3,4,4,4
8,Justin Rose,3,3,5,4,3,5,4,3,8,3,4,3,4,4,4,3,3,5,3,3,5,4,3,4,4,3,5,4,5,2,4,4,5,4,3,5,4,3,5,4,3,4,3,2,5,3,5,5,5,3,5,4,3,4,4,3,5,4,3,4,3,3,4,4,4,3,4,3,3,4,3,5
9,Tyrrell Hatton,4,3,4,4,3,4,3,3,5,5,4,3,4,4,5,4,3,4,4,3,4,5,2,5,3,2,5,4,5,2,5,3,3,5,3,4,4,2,5,3,3,5,4,3,5,4,5,3,4,4,4,5,5,3,4,3,4,4,2,8,4,3,3,4,5,2,4,3,6,4,3,4
10,Brooks Koepka,4,3,5,3,3,4,3,3,4,3,4,3,5,4,5,4,3,4,4,3,4,3,3,5,3,4,5,3,5,3,4,3,4,4,3,4,3,3,4,3,3,5,4,5,5,4,4,3,4,4,4,4,3,4,5,3,4,5,3,4,6,3,6,3,5,3,4,4,5,4,3,4
11,Xander Schauffele,4,3,5,4,3,4,4,2,6,4,6,3,4,3,4,4,2,5,4,3,4,4,3,5,3,3,5,4,5,3,3,4,5,4,3,5,4,3,4,4,3,4,4,5,6,4,4,2,4,4,4,4,3,4,3,4,4,4,3,5,3,4,5,4,5,3,3,3,4,5,3,3
12,Matt Fitzpatrick,4,4,5,3,3,4,4,3,5,4,5,2,4,4,5,5,3,4,3,3,5,4,3,5,3,3,5,4,5,3,4,4,4,4,3,5,4,3,5,4,4,5,3,3,5,4,4,4,4,3,4,3,2,4,4,3,6,3,3,5,4,3,5,5,5,2,4,4,3,4,3,3
13,Abraham Ancer,4,3,4,4,3,5,3,3,6,3,4,3,3,4,4,3,3,4,4,3,5,4,3,6,3,3,4,3,6,3,5,3,5,5,3,5,4,2,4,4,3,5,3,2,5,5,6,4,3,3,5,5,4,5,4,4,5,5,3,6,3,2,4,3,4,3,3,4,5,5,3,3
14,Harris English,4,4,5,3,4,4,4,2,7,4,4,3,4,4,4,4,4,7,3,2,5,4,4,7,3,3,5,4,5,4,3,4,4,3,3,4,5,3,4,4,2,5,3,3,4,3,4,2,4,3,4,4,2,4,4,4,5,4,3,4,4,3,5,5,5,3,4,3,4,4,4,4
15,Bryson DeChambeau,3,4,5,4,2,4,4,3,5,4,4,3,4,3,4,4,3,6,3,3,5,4,3,4,3,3,4,3,4,3,3,3,4,6,2,4,5,3,5,4,3,5,4,2,4,5,6,3,4,4,4,4,4,4,4,3,4,5,3,6,3,3,5,4,5,4,3,3,5,4,3,7
16,Webb Simpson,3,3,5,5,3,4,4,3,5,4,5,2,4,3,4,3,2,5,4,3,4,3,2,5,4,3,6,5,5,2,5,4,5,4,3,5,6,2,5,3,3,4,5,3,6,4,6,4,4,2,4,4,2,4,4,3,6,4,3,5,3,4,4,4,6,3,4,4,4,3,3,4
17,Rory McIlroy,4,2,5,3,2,5,4,3,7,3,4,3,4,2,4,4,3,4,5,3,4,4,3,5,3,3,6,4,4,3,3,6,4,4,2,5,5,3,5,4,3,5,4,3,5,4,9,3,3,4,4,4,3,4,4,3,5,4,3,5,4,3,4,4,6,3,4,3,3,4,3,5
18,Henrik Stenson,4,3,5,4,3,4,4,3,6,4,5,3,4,5,4,4,3,4,4,3,6,4,3,6,3,4,5,4,5,3,4,4,4,6,3,4,4,3,4,5,4,4,4,4,5,4,4,2,4,3,3,5,4,4,4,2,4,4,4,5,3,3,7,5,4,3,4,3,5,5,3,4
19,Jordan Spieth,3,3,5,4,2,4,4,3,5,4,5,3,4,4,5,4,4,5,4,3,4,3,4,5,4,4,5,4,6,2,4,4,5,3,4,4,4,4,4,4,3,6,4,3,5,5,6,4,3,3,4,4,3,6,5,3,5,5,2,4,4,3,8,6,4,6,3,4,4,4,3,3
