,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,Cameron Smith,4,4,3,4,3,4,4,3,4,4,3,4,3,3,3,3,4,5,5,4,4,4,3,3,3,3,4,3,3,3,4,4,4,3,3,4,4,3,4,4,4,4,3,3,4,3,2,4,4,3,4,3,3,5,4,3,4,3,4,4,4,2,4,4,3,4,3,3,4,4,4,4
1,Jon Rahm,4,3,4,4,4,3,3,3,5,4,3,4,3,3,5,3,4,4,4,3,4,4,4,4,3,3,4,4,3,3,4,3,4,4,4,4,4,2,4,5,4,4,3,2,4,3,2,4,4,3,3,3,3,4,4,3,4,4,4,4,4,3,4,4,2,4,3,3,4,4,4,4
2,Matt Jones,4,3,4,4,4,4,4,5,4,4,3,3,4,3,5,4,4,4,3,3,4,3,4,4,4,3,4,4,3,4,4,3,4,4,4,5,3,3,4,4,4,4,4,2,5,4,3,3,3,2,4,4,3,3,3,3,4,4,4,3,4,2,4,3,3,4,2,4,3,4,3,4
3,Patrick Cantlay,5,3,4,4,4,4,4,3,4,4,3,4,3,3,3,3,3,5,4,3,4,4,4,4,4,2,5,4,2,3,4,4,4,3,4,5,4,3,4,3,4,4,3,3,4,3,3,4,3,3,4,5,4,5,4,3,4,4,4,4,4,2,5,4,3,3,4,4,4,3,4,4
4,Collin Morikawa,3,3,5,4,4,3,5,3,5,3,3,4,4,3,5,3,4,4,4,3,4,5,5,4,4,3,6,4,2,4,3,3,4,4,4,4,4,2,4,4,3,3,4,4,4,4,3,3,3,4,4,4,5,5,4,2,3,4,4,3,3,3,4,3,3,4,4,3,3,4,4,4
5,Justin Thomas,4,3,4,5,4,5,3,3,7,4,3,4,3,4,6,4,4,4,4,3,5,4,4,4,4,2,4,4,3,3,4,3,5,3,4,4,4,3,3,3,3,4,4,3,4,4,3,3,3,3,3,3,4,4,3,4,4,3,4,3,4,3,4,3,3,3,4,3,6,3,4,4
6,Daniel Berger,4,2,3,4,4,3,4,3,4,4,3,4,3,4,5,3,5,4,4,3,4,3,4,4,4,3,4,3,3,4,4,4,3,3,4,5,4,3,4,4,4,4,4,3,4,4,3,4,4,3,4,3,3,4,4,3,3,4,4,4,4,3,4,4,3,4,5,3,4,4,3,6
7,Kevin Kisner,4,3,5,5,4,3,4,3,5,4,3,3,3,3,4,4,4,5,4,3,4,4,4,4,4,3,5,4,3,3,4,3,4,4,4,4,4,3,3,5,4,4,4,2,4,4,2,4,4,4,4,3,4,4,4,3,3,3,4,5,4,2,4,4,2,4,3,4,4,3,4,5
8,Sungjae Im,4,3,4,3,3,4,5,3,4,4,3,3,3,3,5,4,4,5,4,3,4,4,4,4,4,2,5,4,3,4,3,4,4,3,4,4,4,3,5,3,4,4,3,3,4,4,3,4,4,3,4,4,3,3,4,3,4,3,5,5,4,3,4,4,3,4,4,3,4,4,4,4
9,Cam Davis,4,4,4,5,4,3,4,3,6,4,3,3,4,3,4,3,4,4,4,3,3,4,4,4,4,3,4,3,3,4,4,3,4,5,5,4,4,3,4,4,4,4,4,3,4,4,3,4,4,3,3,3,4,4,4,3,3,4,3,4,4,3,5,4,2,4,3,3,4,4,4,5
10,Marc Leishman,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,5,4,3,5,4,3,3,3,3,4,3,4,4,4,2,3,4,4,3,4,3,4,3,3,5,4,3,4,4,4,4,4,3,4,4,4,4,4,2,5,3,3,4,4,4,4,3,5,4
11,Xander Schauffele,4,3,3,4,4,4,4,3,5,4,3,4,5,3,4,4,4,4,5,4,3,4,4,4,4,2,5,4,2,4,3,4,5,3,4,3,3,3,4,3,4,3,4,3,5,5,2,4,5,3,4,4,5,4,4,3,4,4,4,3,4,3,5,4,3,5,3,4,4,3,3,3
12,Kevin Na,5,4,3,3,4,3,4,3,5,4,3,4,3,4,4,3,4,4,4,3,4,4,3,4,4,3,4,3,3,4,4,4,5,4,4,4,4,3,4,4,5,3,4,3,5,3,2,4,3,4,4,4,4,5,4,2,4,4,4,4,4,3,4,3,4,4,4,3,4,4,4,5
13,Hideki Matsuyama,4,3,4,4,4,4,4,3,5,4,3,4,3,3,4,3,4,6,4,3,3,4,3,4,3,4,4,4,3,4,3,3,4,3,4,5,4,3,4,4,4,4,4,3,5,4,3,4,3,3,5,3,3,5,4,3,4,5,4,3,4,3,5,4,3,4,4,3,4,4,4,4
14,Seamus Power,3,3,4,4,4,4,4,5,5,3,3,5,4,3,4,3,4,6,4,3,4,3,3,3,4,3,4,4,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,5,4,3,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,2,3,4,4,4,4,4,4
15,Talor Gooch,4,3,4,4,4,4,3,3,3,4,3,4,4,5,5,3,4,4,4,3,4,4,4,4,4,3,6,4,3,3,4,4,4,3,4,5,4,3,4,4,5,4,3,3,5,4,3,3,3,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3,3,3,3,4,4,3,4,5
16,Patrick Reed,5,3,4,5,6,4,4,2,5,6,3,4,3,4,4,3,4,5,4,2,4,4,4,4,3,3,4,4,3,3,3,4,4,3,4,4,4,3,4,4,4,4,4,3,4,3,4,4,3,3,4,4,3,4,5,3,4,4,5,4,4,3,4,3,3,4,4,3,4,3,4,4
17,Max Homa,4,3,4,4,4,4,4,3,4,4,3,3,5,4,5,4,6,4,4,3,3,4,5,4,4,2,5,4,3,3,3,4,4,4,4,4,4,3,4,4,4,3,3,3,4,3,3,4,4,3,4,4,4,4,4,3,4,4,4,4,5,2,4,4,2,4,4,3,3,5,4,5
18,Tony Finau,4,4,4,4,4,4,4,5,4,3,3,4,4,3,4,3,4,5,4,3,3,4,4,4,4,3,4,5,4,4,3,4,4,4,4,4,3,3,4,5,4,5,4,3,4,4,2,4,3,4,4,4,4,5,4,3,4,4,4,4,3,3,4,4,3,3,3,3,5,3,4,4
19,Sam Burns,4,3,4,4,5,4,4,3,5,4,3,4,4,4,5,3,4,5,4,3,4,3,4,3,3,3,4,4,3,4,3,4,4,3,4,4,4,3,4,4,4,3,4,3,5,3,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,3,4,3,3,4,3,4,4,4,6,5
20,Jordan Spieth,4,3,4,4,4,4,4,3,6,3,3,4,4,3,4,3,4,7,4,3,4,4,4,5,4,3,4,4,3,4,3,4,4,4,4,4,4,2,4,4,4,3,4,3,4,4,3,4,4,3,5,4,4,5,4,3,3,4,4,3,4,3,4,4,3,4,4,3,4,4,4,4
21,Stewart Cink,4,3,4,3,4,4,4,3,5,5,3,4,4,2,4,4,4,5,4,3,4,3,5,3,3,2,5,4,3,4,4,4,5,3,4,4,5,3,4,3,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,4,4,4,3,4,3,4,4,3,4,4,4,5,4,5,5
22,Billy Horschel,4,3,4,4,5,3,4,3,5,4,3,4,4,5,5,4,4,4,3,3,3,4,4,3,4,3,5,4,3,4,3,4,4,4,4,5,4,2,6,4,4,5,4,3,5,3,3,4,4,2,5,4,4,4,5,3,4,3,3,3,4,3,4,4,3,3,4,3,4,4,4,5
23,Si Woo Kim,4,3,4,4,4,4,4,4,5,4,3,4,4,3,4,4,4,5,3,3,4,3,4,4,3,3,5,4,3,4,4,4,4,3,3,4,4,3,5,4,4,4,4,3,4,4,2,4,5,3,4,3,4,5,6,3,4,4,4,3,4,2,5,4,3,4,4,4,4,4,4,4
24,Erik van Rooyen,4,2,4,3,4,3,4,3,4,4,3,4,4,4,4,4,4,5,5,3,3,5,4,4,4,3,4,4,3,4,4,5,4,3,4,4,4,2,4,4,4,3,4,2,4,4,5,5,4,4,4,4,4,5,3,3,4,4,5,4,3,3,4,4,3,4,4,4,4,4,4,5
25,Garrick Higgo,4,3,3,4,4,3,3,3,5,4,3,4,4,3,5,4,4,5,4,4,4,4,4,3,4,3,7,4,2,4,3,3,3,3,4,6,4,3,4,3,4,3,4,3,4,4,3,4,4,4,4,3,6,5,4,3,4,5,6,4,4,2,4,3,4,3,4,3,5,4,4,4
26,Bryson DeChambeau,4,3,5,4,4,4,4,3,4,4,3,4,4,3,3,4,4,5,4,3,4,4,4,3,5,3,5,4,4,3,4,3,4,4,3,4,4,3,5,4,4,3,3,2,4,4,3,4,3,3,5,4,5,4,4,4,4,4,5,4,5,3,5,3,4,4,4,3,4,3,5,4
27,Brooks Koepka,4,3,4,4,4,4,4,2,4,4,3,4,3,6,4,3,4,4,4,3,4,3,4,3,3,3,4,4,3,4,4,5,5,4,4,4,4,3,4,4,6,4,4,3,4,3,3,3,3,3,5,4,7,5,4,3,2,5,5,5,4,3,4,3,2,4,3,5,5,4,4,4
28,Joel Dahmen,4,3,4,3,4,4,4,3,5,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,5,4,3,3,4,4,4,3,4,5,4,4,4,4,4,4,4,4,5,4,2,4,3,3,4,3,4,5,4,3,4,3,4,7,4,2,6,3,4,3,3,3,5,4,5,4
29,Viktor Hovland,4,2,3,4,4,3,4,3,5,3,3,4,4,6,3,4,5,5,4,3,5,5,4,4,4,3,4,5,3,3,4,3,4,3,4,4,4,3,4,4,5,4,4,2,4,4,4,3,4,4,6,4,6,4,4,3,3,3,4,4,4,3,5,4,3,4,4,3,4,4,3,5
30,Phil Mickelson,4,3,5,4,4,4,4,3,5,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,3,2,5,3,3,4,4,4,5,3,5,6,4,3,4,4,4,4,4,3,5,3,3,4,4,3,4,4,6,4,4,3,3,4,5,3,4,3,4,3,3,4,3,5,4,4,5,4
31,Harris English,4,3,5,4,4,5,4,3,6,4,3,4,4,4,5,3,3,5,4,3,4,4,4,4,4,3,4,4,3,4,4,4,5,4,4,4,3,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,3,6,4,5,3,3,3,4,4,2,3,4,3,4,4,4,4
32,Branden Grace,4,3,4,4,4,4,4,3,5,3,3,3,3,4,5,4,5,4,5,3,4,4,4,3,4,4,5,3,2,3,5,4,5,3,4,4,4,3,3,4,4,4,5,5,6,4,3,4,4,4,4,4,4,5,4,3,4,3,4,5,4,3,5,3,2,3,4,4,4,4,3,5
33,K.H. Lee,4,3,4,4,4,4,4,2,6,4,4,5,4,4,4,3,3,6,4,2,4,4,4,4,3,3,5,4,3,4,4,4,5,4,4,6,4,3,4,4,4,4,4,5,5,3,3,4,4,3,4,3,4,4,4,3,3,4,4,4,4,3,4,4,2,4,4,4,4,3,4,5
34,Lucas Glover,4,3,5,4,4,4,5,3,5,4,3,4,5,4,5,3,4,5,3,3,4,6,4,5,4,3,4,3,3,4,5,3,4,3,4,4,4,3,4,5,4,4,4,3,5,3,3,4,4,4,4,4,4,4,4,4,3,3,6,4,4,3,5,3,3,3,4,3,5,4,4,4
35,Abraham Ancer,4,3,4,4,4,3,4,3,5,4,3,4,5,3,4,4,5,6,5,3,4,4,4,3,3,3,6,3,3,3,3,5,5,4,4,4,4,3,4,5,4,4,4,3,5,4,3,3,4,4,4,4,4,5,4,3,5,4,4,4,3,5,4,4,2,4,4,4,4,4,4,4
36,Lucas Herbert,4,3,5,4,4,4,4,3,4,4,2,4,4,4,4,4,4,4,5,3,4,4,4,4,4,3,5,4,3,4,5,6,4,3,4,4,3,3,3,4,4,6,4,3,4,3,3,4,4,3,4,4,4,5,7,3,3,4,4,3,4,4,7,3,3,4,4,5,4,4,4,4
37,Jason Kokrak,5,4,4,3,4,4,4,4,5,4,3,4,4,3,5,5,4,3,4,3,4,4,4,4,4,3,5,4,3,4,4,3,4,4,4,5,3,4,3,4,6,3,4,3,4,3,3,4,6,4,5,4,4,5,5,3,5,4,4,3,4,3,5,4,2,4,4,3,4,4,4,6
