,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,Chez Reavie,4,3,3,4,4,5,3,4,4,4,3,4,4,4,3,4,3,4,4,3,4,4,4,3,3,3,3,4,5,2,3,4,3,3,3,4,4,5,3,4,4,4,2,4,4,4,3,4,4,3,4,4,3,4,4,5,3,5,4,5,3,3,3,5,4,4,4,4,3,3,3,4
1,Alex Noren,4,5,4,4,4,4,5,3,3,5,5,3,4,4,4,2,4,4,4,5,3,4,3,4,3,3,4,4,4,4,4,4,2,3,3,4,4,4,3,3,3,5,4,3,4,4,3,6,4,4,3,3,2,4,3,4,4,4,4,4,2,3,3,5,4,4,4,4,3,3,3,4
2,Martin Laird,5,3,4,4,4,4,4,2,3,4,4,3,4,4,5,3,4,3,4,5,4,5,4,4,3,4,3,4,4,4,3,3,4,4,4,3,4,4,3,4,5,4,3,4,4,4,3,4,4,4,3,3,2,3,5,4,2,4,5,4,3,3,5,4,4,4,4,4,3,4,3,4
3,Mark Hubbard,3,4,3,3,4,5,3,3,4,3,4,4,4,3,3,5,3,4,4,5,4,4,4,3,3,3,5,4,4,2,4,3,4,3,3,4,6,5,3,4,4,4,3,4,3,4,4,5,4,4,3,4,3,5,5,4,3,3,4,4,2,4,4,4,3,4,4,4,2,4,3,5
4,Scott Gutschewski,4,4,4,4,4,3,4,3,4,5,4,3,5,4,4,3,3,4,4,5,2,3,5,4,3,3,4,4,4,5,4,4,3,5,3,3,4,4,3,4,5,4,2,4,4,5,3,4,3,4,2,6,3,3,4,4,3,4,4,5,2,4,4,4,4,5,4,4,3,3,2,3
5,Cam Davis,5,5,3,5,4,4,2,3,5,6,3,3,4,3,3,4,4,4,3,4,4,4,5,2,3,5,5,4,4,4,3,4,5,3,3,4,5,3,3,3,3,5,4,3,4,4,4,5,4,4,4,3,3,3,3,5,4,5,4,4,2,3,4,4,4,5,4,5,3,3,4,4
6,Hurly Long,5,3,4,4,5,3,4,3,4,4,4,2,5,4,6,3,3,4,3,3,4,4,4,6,3,5,4,4,5,4,4,4,3,4,3,4,5,4,3,4,4,4,3,3,4,5,3,4,4,4,3,4,3,3,4,4,3,4,4,4,2,4,3,4,5,4,3,4,4,3,3,4
7,Austin Smotherman,5,4,3,5,4,4,3,3,4,4,4,4,5,3,3,4,3,4,4,3,5,3,3,3,4,3,4,4,4,3,4,3,6,3,4,4,4,5,3,4,5,6,3,3,3,4,4,4,3,5,5,3,2,4,3,4,3,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4
8,Maverick McNealy,5,4,4,3,4,3,4,3,4,4,6,3,4,2,4,3,3,4,3,4,3,4,4,5,3,4,4,4,5,4,5,4,3,3,3,3,4,4,3,4,4,4,3,3,4,4,4,5,4,5,3,4,2,4,4,5,3,4,3,4,3,3,4,3,4,5,4,3,5,5,4,5
9,Michael Thompson,4,4,3,4,5,4,3,3,4,5,4,4,4,3,2,4,3,4,6,4,5,5,6,3,3,3,6,5,4,3,3,5,5,3,3,3,4,4,2,4,3,4,3,4,4,4,3,4,4,3,3,4,2,3,4,4,3,4,5,4,3,4,4,4,4,5,4,4,3,3,3,5
10,Taylor Pendrith,6,4,5,4,4,3,4,3,4,3,5,3,3,4,4,3,3,4,6,4,3,4,5,4,2,3,4,4,4,5,4,4,3,4,2,4,5,4,4,4,3,4,2,3,4,5,4,5,4,4,3,3,3,4,4,4,3,4,4,5,3,4,4,3,4,5,3,4,3,3,3,4
11,Harry Higgs,4,4,5,3,4,3,4,2,5,5,5,3,3,5,5,3,3,5,4,4,4,4,4,4,3,3,4,4,5,4,3,4,2,3,3,5,4,5,3,4,4,4,3,4,4,4,3,3,4,4,3,3,3,4,3,4,4,3,4,5,3,4,4,4,5,6,4,5,3,4,3,4
12,Sean Crocker,5,4,2,3,4,4,3,4,4,4,4,4,4,4,2,3,4,4,5,4,4,4,4,3,4,3,5,4,4,3,4,3,4,4,4,4,4,5,3,4,5,5,3,4,4,5,4,4,3,4,3,4,3,4,4,5,2,4,5,6,4,3,4,4,3,4,3,5,3,3,3,4
13,Nick Hardy,5,4,4,4,4,2,3,3,4,4,5,3,4,4,5,3,4,4,4,5,4,5,4,5,2,3,4,3,4,4,3,4,4,3,4,4,5,4,3,3,4,4,2,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,4,6,3,4,4,6,4,4,4,4,3,3,3,3
14,Marcus Helligkilde,3,4,4,4,4,3,4,3,3,4,4,3,4,4,5,3,4,4,5,4,3,3,5,5,4,3,4,4,4,4,4,5,4,3,3,3,4,5,3,5,3,4,3,3,3,5,4,4,5,4,3,3,3,4,5,5,3,5,4,5,3,3,3,4,4,4,4,6,3,3,3,4
15,Espen Kofstad,4,5,4,5,3,2,6,3,4,4,5,3,3,4,5,2,4,4,4,4,3,4,4,4,3,3,4,5,4,4,4,4,4,3,3,5,4,4,3,4,3,5,3,4,4,4,4,4,3,4,3,5,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,5,3,3,3,5
16,Justin Lower,4,3,4,4,4,3,4,4,6,4,4,3,4,4,5,3,3,3,4,4,3,4,4,4,3,3,3,4,4,4,4,4,3,6,3,3,4,3,3,4,5,4,3,4,4,4,4,4,5,4,3,4,3,5,4,4,3,4,6,5,3,3,3,5,5,4,4,4,3,4,2,4
17,Joshua Creel,4,4,3,4,4,4,3,3,4,4,4,4,4,4,3,3,3,4,3,4,4,5,4,3,4,3,4,3,4,3,5,4,5,4,4,4,4,5,3,4,5,4,3,2,3,5,4,4,4,3,4,2,4,6,5,5,4,5,5,5,3,4,4,3,3,7,4,5,3,3,3,3
18,Brice Garnett,4,3,4,4,3,4,4,2,4,5,4,2,4,3,5,3,4,4,4,4,4,5,4,5,3,3,4,5,3,4,4,4,3,4,3,4,4,3,3,5,5,4,2,4,4,5,4,4,3,4,3,4,3,4,4,5,4,4,4,5,3,4,4,4,4,5,4,5,3,3,4,4
19,Nino Bertasio,4,4,3,4,4,4,4,4,4,4,3,5,4,4,3,3,3,4,5,3,4,4,4,3,3,3,3,4,5,3,3,4,5,2,4,5,4,5,4,4,5,4,4,5,3,6,3,4,4,3,3,4,3,4,4,6,3,4,4,5,3,4,4,4,4,4,4,4,3,4,2,3
20,Yannik Paul,4,5,3,4,3,4,3,4,4,4,3,4,4,4,3,4,3,4,4,4,4,4,4,3,3,3,3,3,5,3,4,4,6,2,4,5,4,5,2,3,4,5,3,4,5,4,4,5,4,3,3,4,3,5,4,5,4,4,5,5,3,3,4,4,4,5,3,3,4,3,3,4
21,Stephan Jaeger,5,4,3,4,3,5,3,3,4,4,4,5,4,4,3,4,4,5,5,3,4,4,4,4,3,3,4,5,6,2,5,4,4,3,4,4,4,5,3,3,3,4,3,4,4,4,4,6,4,4,4,4,3,4,4,5,3,3,3,4,3,3,4,4,3,6,3,3,3,4,3,5
22,Scott Jamieson,5,7,3,4,4,4,3,3,3,3,4,4,4,4,3,3,3,4,4,5,4,3,4,3,3,2,4,4,5,3,4,4,4,4,4,5,5,4,4,3,4,6,3,4,4,4,3,5,5,4,3,5,3,3,4,4,2,5,4,4,3,4,4,4,5,5,4,4,4,3,4,3
23,Kevin Tway,4,3,5,5,5,3,4,4,4,4,4,4,4,4,4,3,3,3,3,4,2,3,3,5,3,4,3,4,4,4,4,5,4,3,4,3,4,5,4,4,3,5,4,4,5,5,4,5,4,4,3,4,3,4,4,4,4,5,4,4,3,3,4,4,3,5,4,4,3,5,3,4
24,Callum Tarren,4,5,4,4,4,3,4,3,4,3,4,3,4,4,4,2,4,3,4,7,3,5,5,4,3,4,4,4,4,6,4,4,3,4,3,4,5,4,2,4,3,4,3,4,5,4,3,4,5,5,3,3,3,3,4,5,2,4,4,5,3,4,4,4,4,4,5,3,3,4,3,4
25,Julian Suri,4,4,4,4,4,3,4,4,4,4,4,4,4,4,6,3,3,4,5,4,3,4,3,5,5,3,4,4,3,4,4,5,3,4,4,4,4,5,3,4,3,5,3,3,4,4,4,7,4,4,3,4,3,3,3,5,3,3,5,4,2,5,3,4,3,5,4,5,3,3,2,4
