,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,Cameron Smith,4,3,4,4,4,4,3,3,4,3,4,3,4,5,4,4,4,3,3,3,3,4,5,4,3,2,4,3,3,4,4,3,4,4,4,4,5,4,4,4,5,4,4,3,3,4,3,4,6,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,2,3,3,4,4,4,4,3
1,Cameron Young,4,3,3,4,4,3,4,3,3,4,2,3,4,5,4,4,4,3,4,5,4,3,4,4,4,3,3,4,3,4,4,4,5,4,4,3,4,4,4,4,4,4,5,3,3,3,3,3,5,4,4,6,4,4,5,4,3,3,4,4,3,3,5,3,3,4,3,4,4,4,4,2
2,Rory McIlroy,3,4,4,4,4,3,3,3,4,4,3,3,5,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,2,3,4,5,5,4,3,4,4,4,4,4,4,3,4,3,3,2,3,4,4,4,4,4,5,3,4,4,4,4,4,4,4,3,4,3,3,4,4,5,4,4,4,4
3,Tommy Fleetwood,4,4,4,4,4,4,4,4,4,4,3,3,6,5,4,4,4,3,4,5,4,4,4,4,4,3,3,3,3,4,4,4,4,3,5,4,3,3,4,4,4,3,4,3,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,3
4,Viktor Hovland,3,4,3,5,5,4,4,3,3,4,3,4,5,5,4,3,3,3,4,4,4,3,4,4,3,3,4,3,4,4,5,4,2,4,4,3,4,4,3,3,4,3,4,3,4,3,3,4,4,5,4,4,4,3,4,4,4,5,5,4,4,3,4,4,3,3,5,5,4,5,4,4
5,Brian Harman,3,5,4,4,7,4,3,3,4,4,3,5,4,4,4,4,4,4,4,4,4,4,5,4,4,3,3,3,3,4,4,5,4,3,4,3,3,4,4,4,4,3,4,4,4,3,3,4,4,5,4,4,4,3,4,4,3,3,5,4,3,3,3,4,3,5,4,5,3,3,4,3
6,Dustin Johnson,3,4,4,5,5,4,4,3,3,4,2,3,4,4,5,4,4,3,5,4,3,4,5,4,4,3,3,3,3,4,4,4,4,3,4,3,4,3,3,5,5,4,4,3,3,3,3,4,5,6,4,5,4,3,4,3,4,4,4,4,4,3,4,4,2,4,4,5,3,4,5,4
7,Bryson DeChambeau,4,5,4,4,4,3,3,3,4,4,3,3,4,5,4,5,4,3,4,4,4,4,6,4,4,4,4,3,3,4,4,4,4,5,5,4,4,4,3,4,5,3,4,3,2,4,3,3,3,5,4,6,4,3,4,4,4,4,5,4,3,3,4,3,3,3,5,4,4,3,3,3
8,Patrick Cantlay,4,4,5,4,5,4,3,3,4,3,3,4,4,4,5,4,4,3,4,3,3,4,4,4,3,3,3,4,3,4,4,4,4,4,5,4,4,4,3,4,4,3,4,3,3,4,3,5,4,5,4,6,4,4,4,5,3,4,3,4,5,3,5,4,2,3,5,4,4,3,4,3
9,Jordan Spieth,4,3,4,4,5,3,4,3,4,5,3,3,5,5,4,4,5,3,4,3,4,4,4,4,3,3,3,4,3,4,5,4,4,4,5,4,4,4,3,4,5,4,3,3,3,4,4,3,3,5,4,4,5,3,4,3,3,4,4,4,3,4,4,3,3,4,4,6,3,4,4,4
10,Sadom Kaewkanjana,4,4,4,4,5,6,4,3,3,4,5,3,4,4,4,4,3,3,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,3,4,3,4,5,4,4,5,4,4,3,4,4,3,6,4,5,4,4,4,3,4,3,4,4,3,4,4,3,3,4,2,4,4,4,4,3,5,3
11,Abraham Ancer,4,4,3,4,6,4,3,4,3,4,3,4,5,4,5,4,4,3,4,4,4,3,4,4,4,3,4,4,2,4,4,4,4,4,4,4,4,4,4,5,5,4,4,3,3,4,3,4,5,5,4,4,5,3,4,4,4,4,5,3,3,2,4,3,3,4,4,5,3,3,4,3
12,Dean Burmester,4,4,3,4,5,4,4,4,3,3,3,3,4,5,5,4,5,4,3,4,4,4,5,3,4,3,5,5,3,4,5,5,5,3,5,3,3,5,4,4,4,3,3,2,3,4,3,4,4,5,4,3,5,4,4,4,3,4,3,4,4,2,4,3,3,4,3,5,3,4,5,4
13,Tyrrell Hatton,4,4,4,4,5,4,5,3,3,4,3,5,3,4,4,4,4,3,4,4,4,4,5,3,3,3,3,3,3,4,4,4,4,4,4,3,4,5,4,4,4,5,3,4,3,5,4,3,4,5,4,4,4,4,4,3,3,4,4,3,4,4,4,4,3,4,4,5,4,3,5,3
14,Lucas Herbert,4,3,4,3,5,5,4,3,3,4,3,4,4,5,4,4,4,4,4,3,4,4,4,4,4,3,3,3,4,4,4,5,4,4,4,3,3,4,3,5,5,4,4,3,4,5,3,4,4,4,4,4,7,3,4,5,3,4,4,3,4,3,3,4,3,4,4,4,3,4,4,4
15,Xander Schauffele,5,4,3,4,4,4,3,3,4,4,3,3,4,4,4,4,5,4,4,4,3,4,4,4,4,3,5,3,3,5,4,4,4,4,5,3,4,4,4,4,5,3,3,3,3,4,4,6,6,4,4,4,5,2,3,3,3,4,5,5,3,3,4,4,3,3,4,3,4,4,5,4
16,Anthony Quayle,3,4,4,5,5,5,5,4,3,4,3,4,4,5,5,4,4,3,3,5,4,4,4,4,4,3,4,3,3,3,4,4,4,4,5,4,3,4,4,4,4,4,5,3,3,3,5,3,4,4,3,4,5,3,4,4,3,4,4,5,4,2,4,3,3,3,4,4,4,4,4,4
17,Francesco Molinari,4,4,4,4,5,4,4,3,3,4,3,4,5,5,4,5,4,4,4,4,4,4,4,4,3,3,5,4,3,3,4,4,4,5,4,5,3,4,3,3,5,4,4,3,3,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,3,3,3,4,4,4,4,4,5,4
18,Adam Scott,4,5,4,6,5,5,4,3,3,4,2,3,4,5,4,4,4,3,4,4,3,4,4,4,4,3,3,3,2,4,4,4,4,4,4,3,4,4,4,5,4,4,5,4,3,3,3,4,3,5,4,3,5,3,4,3,4,4,4,4,3,3,4,3,3,6,4,5,4,4,5,4
19,Si Woo Kim,3,6,3,4,4,5,4,3,4,4,2,3,4,4,4,4,4,4,3,4,4,4,5,4,4,3,4,3,3,4,4,5,3,4,5,3,4,4,4,4,4,4,3,3,4,3,3,4,4,4,3,5,4,3,4,4,4,4,5,4,3,4,5,4,3,4,5,4,5,3,4,4
20,Billy Horschel,3,4,4,4,4,4,3,3,4,5,3,5,5,5,4,5,5,3,4,4,4,4,4,4,4,3,3,3,3,4,4,5,5,4,4,3,4,4,3,4,5,4,4,3,3,4,2,4,4,6,4,4,4,4,4,3,3,4,6,5,4,3,3,3,3,3,4,5,3,3,4,4
21,Min Woo Lee,4,4,6,3,5,4,4,2,3,4,3,3,4,3,4,4,5,4,3,4,4,5,5,4,4,3,4,3,3,2,5,4,5,3,5,3,4,5,5,3,4,4,4,3,3,4,4,4,4,5,4,5,4,4,4,4,3,4,4,4,4,3,3,4,3,4,6,4,3,4,4,3
