,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,Tony Finau,5,4,3,2,4,5,3,3,3,4,4,4,3,4,4,4,3,5,4,3,5,3,4,4,4,2,5,4,4,4,3,4,5,3,3,4,4,4,4,3,3,4,3,3,4,4,4,4,3,4,4,3,3,4,4,3,4,2,4,5,4,3,5,4,3,5,3,3,3,3,3,6
1,Sungjae Im,3,4,4,4,4,4,3,3,5,4,4,4,2,4,4,3,3,3,3,6,4,3,3,4,4,3,4,4,3,4,4,4,5,4,3,5,3,5,4,3,4,5,5,2,4,3,5,4,3,3,4,3,3,4,4,4,4,3,3,5,4,3,4,4,4,5,3,4,4,3,3,4
2,Emiliano Grillo,4,4,5,3,3,4,3,3,5,4,4,3,3,4,4,4,3,4,4,4,3,3,4,3,3,3,4,4,4,4,4,4,3,4,2,5,3,4,4,2,4,3,4,3,5,3,4,5,3,4,5,4,3,4,4,4,3,3,4,4,7,4,4,3,3,5,2,4,5,4,3,5
3,James Hahn,4,4,4,3,4,5,4,3,5,4,4,3,4,3,5,3,3,4,4,5,3,3,3,5,4,3,3,3,4,4,4,5,5,4,3,5,4,4,4,3,4,4,4,3,4,4,4,4,3,3,4,3,3,5,3,4,4,3,3,5,5,3,4,4,4,3,3,3,3,3,3,5
4,Tom Hoge,3,4,4,3,4,4,4,3,6,3,3,4,3,4,4,4,3,4,4,4,4,3,4,4,4,3,5,3,4,4,4,4,3,4,2,5,4,3,4,3,5,5,3,3,4,4,4,4,3,4,4,3,2,4,4,4,3,3,4,5,4,3,5,4,4,4,3,3,4,5,3,5
5,Scott Piercy,3,4,3,3,4,4,4,3,5,3,3,5,2,3,4,4,3,5,3,3,4,2,4,4,4,3,5,4,3,4,3,4,4,3,3,4,4,4,3,2,3,4,3,3,5,3,4,4,3,4,4,4,3,6,4,3,4,3,4,4,4,4,5,4,5,4,4,7,5,3,4,5
6,Danny Willett,4,4,4,3,3,6,5,3,4,4,4,5,3,3,4,4,3,6,4,4,3,3,3,4,4,3,5,4,4,3,3,4,5,4,2,4,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,3,3,5,5,5,4,3,4,5,4,3,4,3,3,4,2,4,3,4,3,5
7,Callum Tarren,5,4,5,3,4,3,4,3,5,4,4,4,3,4,5,4,3,4,4,3,4,3,4,4,3,3,3,3,4,4,3,4,3,4,2,5,5,4,4,3,5,5,4,3,5,3,4,4,3,4,4,4,2,5,4,4,4,4,5,5,4,3,5,3,3,5,2,3,4,4,3,4
8,Greyson Sigg,4,4,4,3,4,4,4,3,4,4,4,6,4,4,3,4,3,4,4,4,5,3,3,4,4,3,5,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,2,3,3,4,4,3,3,3,4,2,5,4,5,4,3,4,6,4,3,4,4,4,4,3,5,4,4,3,4
9,Chesson Hadley,4,3,4,3,4,4,4,3,4,4,4,4,2,4,5,3,4,5,4,4,4,2,4,6,5,3,3,3,4,4,3,4,3,4,3,6,3,5,3,2,4,3,4,3,4,4,5,4,4,3,4,3,3,5,4,4,4,3,4,5,4,3,4,4,5,5,3,4,4,3,3,6
10,Kelly Kraft,3,4,4,3,4,4,4,4,5,4,3,5,3,4,5,4,2,5,3,3,4,4,5,3,5,2,5,5,4,3,3,3,7,4,3,5,3,5,4,3,4,4,3,3,5,5,4,3,3,3,5,4,3,4,4,4,4,2,4,5,3,4,4,4,4,4,3,4,3,4,3,4
11,Peter Malnati,4,5,5,2,4,5,4,3,3,3,4,4,3,3,4,4,3,5,4,4,5,3,4,3,3,4,4,4,4,5,3,4,4,4,3,4,5,4,4,3,3,4,3,3,4,3,5,5,4,3,4,4,3,5,3,5,4,3,4,5,3,2,5,4,4,5,3,4,5,3,3,5
12,Robert Streb,4,4,5,3,4,4,4,3,3,4,4,4,3,4,5,3,3,4,4,4,3,3,4,5,4,3,4,4,4,4,3,3,4,4,3,4,4,5,4,3,4,4,4,3,5,4,3,5,3,4,5,4,2,5,4,5,5,3,4,5,4,3,4,4,3,4,3,4,4,3,3,5
13,J.T. Poston,3,4,4,3,4,6,4,3,4,4,4,4,3,4,4,4,3,6,3,4,5,4,4,4,4,3,4,4,4,4,3,3,5,4,3,4,4,3,4,2,3,4,3,3,4,4,4,5,2,5,4,3,3,4,4,4,3,3,4,6,3,3,4,4,4,5,3,4,5,4,4,5
14,Andrew Putnam,5,3,5,3,3,4,4,5,5,4,4,4,3,4,6,3,3,3,4,4,4,3,4,4,3,3,4,3,4,5,3,3,4,4,4,5,3,4,4,3,3,4,4,3,4,4,3,5,4,3,4,3,3,3,4,5,4,4,3,5,5,3,4,4,4,5,3,4,4,3,3,6
15,Cameron Champ,4,7,4,3,5,6,5,3,4,4,4,5,3,4,4,4,3,3,4,4,4,3,5,5,4,4,4,4,4,4,3,3,5,3,2,3,4,4,4,2,3,4,4,3,4,5,5,4,3,4,4,4,2,4,4,3,4,3,4,4,3,2,5,4,4,4,4,5,4,3,3,4
16,Hank Lebioda,4,5,4,3,4,4,4,3,5,4,4,4,2,4,4,3,3,4,3,4,5,3,5,4,4,3,6,4,4,5,3,4,4,4,4,5,4,4,4,3,4,4,5,3,5,3,4,3,2,3,5,4,3,4,4,4,4,2,4,5,4,3,4,4,3,5,3,4,4,3,3,5
17,Cam Davis,4,6,4,3,4,5,3,3,4,4,3,5,4,4,4,3,3,4,3,6,4,4,3,4,3,3,4,3,4,5,3,4,4,4,3,4,4,4,3,2,4,5,4,4,4,4,5,4,3,4,4,2,3,7,4,4,4,3,3,4,3,3,6,3,4,4,4,4,5,3,3,5
18,Scott Brown,4,4,5,3,4,4,4,3,6,4,5,4,2,3,5,4,2,3,4,4,4,3,3,4,5,3,4,5,4,5,3,4,5,5,3,6,4,5,4,3,3,4,3,3,4,4,4,3,2,4,5,4,2,3,4,5,4,3,4,4,4,3,5,3,3,5,3,4,4,3,4,5
