,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,Billy Horschel,4,4,3,4,4,4,3,3,4,5,4,4,3,5,4,5,3,4,3,4,4,3,4,4,5,3,4,4,5,2,3,4,5,3,4,4,3,4,4,3,4,4,4,2,4,4,4,3,3,4,4,3,4,4,4,4,4,3,5,5,5,3,4,3,5,4,4,4,3,3,5,4
1,Aaron Wise,4,4,4,3,5,4,4,3,4,4,6,3,3,5,4,2,4,4,5,6,3,4,3,4,3,4,4,4,3,3,3,5,5,4,2,4,4,3,4,3,6,4,4,3,3,4,5,2,4,4,5,3,4,4,4,3,4,3,5,4,5,3,5,3,4,3,5,4,4,3,4,5
2,Patrick Cantlay,4,5,4,4,4,5,2,4,4,4,4,4,4,5,4,4,3,4,4,4,4,4,5,4,4,2,4,4,4,3,5,3,4,3,4,4,6,4,3,3,5,4,3,4,4,5,4,2,4,4,3,3,4,4,4,4,4,3,5,5,5,2,5,4,5,3,4,3,4,3,4,4
3,Joaquin Niemann,4,5,3,4,4,4,4,5,5,4,4,4,3,5,3,4,3,3,4,4,4,3,4,5,4,3,3,5,5,2,4,4,4,3,4,4,4,4,5,2,4,4,5,2,3,4,4,2,5,4,5,5,5,3,4,4,4,3,4,4,4,3,4,4,4,3,4,6,4,2,4,6
4,Max Homa,4,5,2,4,5,4,3,4,4,4,4,4,2,4,3,4,5,4,4,5,4,3,5,3,5,4,4,5,4,3,3,5,6,4,4,3,4,5,3,3,5,4,5,3,4,4,5,2,4,4,3,3,5,4,4,3,3,3,4,3,5,2,4,6,4,3,4,3,5,3,4,6
5,Will Zalatoris,5,4,3,4,3,4,2,4,3,5,3,3,3,5,5,4,4,4,4,4,6,4,4,4,4,3,5,5,4,2,3,4,6,3,4,4,4,4,4,4,5,4,4,3,4,4,4,3,4,4,4,3,5,4,4,4,4,3,5,3,4,4,4,4,4,5,4,4,4,3,4,3
6,Denny McCarthy,4,4,4,3,5,3,4,3,4,4,5,2,5,3,4,3,4,4,4,6,3,3,3,5,3,3,4,5,4,4,2,5,4,4,3,4,4,3,4,2,5,4,5,4,4,5,5,3,5,3,4,3,5,5,4,4,4,3,5,4,5,3,4,4,4,4,4,4,4,4,4,4
7,Sahith Theegala,4,5,4,2,3,4,2,4,4,4,4,4,3,4,5,4,3,5,5,4,4,3,4,4,5,4,4,4,5,4,4,4,5,3,5,4,4,5,4,3,4,4,4,3,4,4,5,2,4,3,4,3,4,4,4,5,4,2,5,4,4,3,3,4,5,4,4,4,5,3,4,4
8,Daniel Berger,4,5,2,2,5,4,4,3,4,5,5,2,4,5,5,3,4,4,5,4,3,4,4,4,3,4,4,4,4,4,4,5,5,4,3,4,3,4,3,2,6,3,4,3,4,4,4,3,4,4,5,3,4,4,4,3,5,3,5,5,5,3,4,4,6,3,4,3,5,3,3,5
9,Sungjae Im,4,5,3,5,4,5,3,4,3,4,4,4,3,5,3,4,3,4,4,4,4,3,5,3,5,3,3,4,5,3,4,3,6,3,4,4,4,4,3,4,5,4,5,4,5,4,5,2,4,5,5,3,4,5,4,4,3,2,5,4,6,3,4,3,5,3,4,4,6,2,3,4
10,Jon Rahm,4,3,5,3,5,4,4,3,4,4,7,2,4,3,4,3,5,5,5,5,3,4,4,5,2,4,3,4,5,3,3,5,4,5,2,4,3,3,4,3,5,4,5,3,4,5,5,6,4,4,4,3,4,4,5,5,4,2,4,3,4,3,4,4,5,3,4,4,4,3,4,4
11,Brendan Steele,4,4,3,3,5,4,2,4,4,4,4,4,3,5,4,5,3,4,4,4,5,3,6,3,4,4,4,5,5,4,5,3,5,4,4,4,3,4,5,2,5,3,5,3,3,4,5,3,3,4,4,3,4,5,4,3,4,3,5,4,5,3,5,4,4,3,5,4,5,2,3,5
12,Corey Conners,3,5,2,3,3,4,3,5,4,5,4,5,2,5,4,5,3,4,4,4,4,3,5,4,5,3,6,4,5,3,4,4,5,2,4,4,6,3,3,4,4,3,5,3,3,6,7,3,4,4,4,3,5,4,4,5,4,3,4,4,5,3,4,2,4,5,3,4,4,3,4,4
13,Mito Pereira,4,4,6,4,5,4,5,3,4,4,5,3,4,4,4,3,3,4,5,5,3,4,3,4,3,4,5,4,4,3,4,5,5,5,3,3,4,3,3,3,5,3,4,4,4,4,4,3,4,4,5,4,5,4,5,4,4,3,4,5,2,3,5,5,4,3,4,5,4,2,3,5
14,Si Woo Kim,4,5,2,3,5,4,3,4,5,5,4,4,3,5,4,5,3,4,4,4,4,2,4,4,4,3,5,4,5,3,5,4,5,2,5,4,4,5,3,3,5,4,4,3,5,4,5,3,3,4,4,3,5,4,5,4,4,3,5,4,5,4,4,4,4,3,3,4,4,3,4,4
15,Davis Riley,4,4,5,3,4,4,5,3,4,4,4,2,3,4,3,4,3,4,4,5,4,3,4,5,3,4,5,3,4,3,3,5,4,5,2,5,5,4,4,3,4,4,4,3,4,4,5,3,4,4,5,3,5,4,4,5,4,2,5,5,5,3,4,5,5,3,4,5,4,4,4,4
16,Cameron Smith,4,4,3,3,4,4,3,4,4,3,5,3,4,5,3,5,3,3,4,4,4,3,4,5,4,3,4,4,4,2,4,4,5,3,4,4,5,5,4,3,4,4,5,3,4,5,4,3,4,3,5,3,4,4,5,4,5,3,4,5,7,3,6,4,5,3,4,4,3,3,5,4
17,Xander Schauffele,4,4,4,2,4,5,5,3,5,3,6,2,2,4,6,3,4,4,4,5,3,5,3,4,2,4,4,5,4,5,3,5,3,5,3,6,4,4,3,3,5,5,5,2,4,4,7,4,3,4,4,3,4,5,5,4,3,2,4,4,4,2,5,3,5,3,5,5,4,3,4,5
18,Garrick Higgo,5,6,2,5,3,5,3,4,4,5,4,4,2,5,5,6,3,4,4,5,4,2,5,3,4,3,3,5,5,3,5,5,5,3,3,4,4,5,3,3,5,4,5,2,3,4,4,3,4,3,4,3,5,6,4,4,4,2,4,4,4,3,4,3,5,4,4,4,5,3,4,5
19,Keith Mitchell,4,5,3,5,3,5,2,4,4,4,3,5,3,5,4,4,3,4,4,4,5,3,4,4,4,3,3,4,4,3,3,3,5,5,4,4,5,4,5,3,4,5,6,3,4,4,4,4,4,4,5,3,5,4,5,6,4,2,4,5,4,3,4,4,5,3,3,4,4,4,3,4
20,Brian Harman,4,4,4,4,4,4,4,3,4,5,4,3,5,4,4,4,5,4,4,4,2,4,3,5,3,4,5,4,4,4,3,5,3,4,5,4,4,3,4,3,4,4,5,3,4,4,5,3,4,3,4,4,5,5,4,4,4,4,5,4,5,3,3,4,5,3,4,3,4,3,5,5
21,Adam Hadwin,3,5,3,5,4,5,3,4,4,6,4,4,4,5,3,6,3,5,4,4,3,3,4,4,3,4,5,4,5,4,3,3,5,1,5,4,4,4,4,3,5,4,4,3,4,5,5,2,3,4,4,3,4,5,3,5,5,2,4,3,5,3,4,4,5,3,4,3,5,5,5,4
22,Charles Howell III,4,3,4,4,4,4,5,3,5,4,4,3,4,4,5,3,4,4,4,6,3,3,4,6,4,4,4,4,3,4,3,5,4,4,4,3,5,4,3,2,5,3,5,3,4,3,5,3,5,4,4,3,4,5,4,4,4,3,4,4,5,4,5,5,4,3,5,4,4,3,4,4
23,Jordan Spieth,4,6,2,4,3,5,2,4,4,4,4,3,3,5,4,6,3,4,4,4,4,3,5,5,5,4,4,4,5,3,4,4,5,3,4,4,3,4,4,3,4,3,5,4,3,4,5,3,4,3,5,3,5,4,4,5,5,3,6,5,5,3,3,3,4,4,4,4,4,3,4,4
24,Rory McIlroy,5,4,4,3,5,4,5,2,3,4,4,3,3,5,4,4,4,4,4,6,2,4,5,4,2,4,4,4,4,3,3,3,4,5,4,4,4,4,4,3,5,4,5,4,4,4,4,3,3,4,5,4,5,4,4,6,5,3,5,3,6,3,6,4,5,2,4,3,4,3,4,4
25,Pat Perez,4,4,4,3,4,3,4,2,4,5,7,3,4,4,5,3,4,5,5,4,3,7,3,4,3,3,5,4,3,3,3,6,4,5,3,4,4,3,5,3,5,4,6,3,5,3,5,3,3,4,6,3,4,4,4,4,4,3,4,4,4,3,4,5,4,4,3,3,5,3,4,5
26,Aaron Rai,4,3,4,3,7,5,5,3,5,4,4,3,3,4,4,3,5,5,4,5,4,3,4,4,3,4,4,4,4,4,4,4,4,5,3,5,5,3,4,2,5,5,4,3,3,4,6,2,3,3,5,3,5,4,4,3,4,3,5,4,4,3,4,4,6,4,4,3,5,3,4,5
27,Adam Schenk,4,6,3,5,4,5,3,4,4,5,4,4,3,5,3,5,3,4,3,4,4,4,5,5,5,3,4,4,4,2,5,4,4,3,4,5,4,4,4,3,6,3,5,2,3,5,5,2,5,3,4,3,4,4,5,4,4,2,5,4,4,3,5,5,5,3,4,3,4,3,4,5
28,Luke List,3,4,4,2,5,4,5,2,4,4,5,3,4,3,4,4,4,3,4,5,3,5,3,4,3,4,4,5,5,4,3,5,3,4,2,5,4,4,4,4,5,3,4,4,4,4,4,2,4,4,4,3,7,4,5,4,6,2,6,5,5,3,4,3,5,3,4,4,6,3,5,4
29,Francesco Molinari,4,3,3,3,4,4,6,2,4,4,5,3,5,4,4,4,5,4,4,5,4,3,3,4,3,4,4,4,4,4,3,5,4,4,3,3,4,3,4,3,4,4,5,3,4,4,4,4,4,3,6,3,4,4,4,4,5,4,5,5,6,3,4,5,5,5,3,4,6,3,4,3
30,Jason Day,4,5,5,4,3,4,3,4,4,4,3,4,3,5,4,5,3,4,5,5,4,2,6,4,5,3,3,4,4,4,4,4,5,4,4,4,4,4,2,2,5,3,5,4,4,4,5,3,4,3,5,3,5,3,5,5,5,3,4,4,5,3,4,4,5,3,4,4,5,2,5,5
31,Emiliano Grillo,4,4,4,3,5,3,6,2,5,5,5,3,4,5,4,3,3,3,4,5,4,4,4,4,3,5,4,4,4,4,4,5,3,5,3,4,5,4,4,3,4,4,5,4,3,4,4,3,4,3,5,3,4,4,4,4,4,3,4,4,5,3,6,4,6,4,4,4,5,3,4,4
32,Shane Lowry,5,4,4,3,4,5,5,3,4,4,4,2,4,3,5,3,4,3,5,5,2,4,3,6,3,3,4,4,4,4,3,5,5,5,3,4,4,4,3,4,5,4,5,3,4,3,6,5,4,3,5,3,3,4,5,4,4,3,5,4,5,3,4,5,4,3,4,6,5,3,4,5
33,Joel Dahmen,4,3,5,3,5,4,4,3,3,4,4,3,4,3,5,3,4,5,5,5,3,3,5,7,2,3,4,4,4,4,3,4,5,4,4,4,5,4,4,3,4,5,5,3,4,4,5,3,4,3,5,2,4,4,3,4,4,3,7,4,5,3,4,4,4,5,4,4,5,3,5,5
34,Beau Hossler,5,5,2,4,4,4,3,3,5,4,3,4,3,5,4,6,3,5,4,4,4,4,4,5,4,3,3,5,4,3,4,4,4,3,4,4,4,4,3,3,6,4,5,2,3,4,4,2,4,5,6,3,5,4,4,4,5,3,4,4,3,2,4,4,5,3,3,7,8,5,4,4
35,Abraham Ancer,5,5,3,4,4,4,3,4,4,3,3,3,3,5,4,5,3,4,4,3,6,3,4,4,5,3,3,5,5,3,4,4,5,4,4,3,4,3,4,2,4,4,5,3,4,5,5,3,4,3,4,4,4,6,4,4,4,3,4,5,6,4,3,4,6,4,5,4,4,4,4,5
36,J.T. Poston,4,6,3,5,5,4,3,5,4,6,4,4,5,5,4,4,3,4,4,4,3,2,5,4,5,2,3,5,5,3,3,3,5,3,5,4,4,5,4,3,4,4,4,4,4,5,6,3,4,4,4,3,5,4,4,3,4,3,4,5,4,2,5,5,4,3,4,4,6,3,3,4
37,Wyndham Clark,4,4,3,3,5,3,4,2,4,5,4,3,4,5,5,3,3,4,4,5,4,4,5,3,3,5,5,4,5,4,3,4,4,5,4,5,4,4,3,2,5,4,5,4,4,4,5,5,4,3,5,4,4,4,4,4,3,4,5,4,5,3,4,4,6,3,4,4,4,3,5,4
38,Mackenzie Hughes,3,5,2,5,4,4,2,6,4,3,3,4,4,5,3,4,3,3,4,4,4,3,6,4,5,3,4,4,5,2,5,4,5,3,4,4,4,5,5,3,4,4,5,3,4,5,5,3,4,4,5,4,5,4,4,4,4,4,4,4,5,3,4,5,6,2,4,5,4,3,5,4
39,Martin Laird,4,4,4,4,5,4,5,3,4,4,5,3,3,3,5,4,4,4,4,5,3,4,4,6,2,4,4,4,4,4,2,5,4,5,4,5,4,4,4,2,5,4,5,3,6,3,5,4,4,3,4,3,4,4,4,4,4,3,5,7,4,4,4,4,4,3,4,4,4,3,4,5
40,David Lipsky,5,4,4,5,5,5,4,3,3,4,4,4,3,4,4,3,4,3,4,6,3,3,4,4,3,4,4,3,3,3,4,5,5,4,4,4,5,4,4,4,5,4,5,3,4,4,4,3,4,4,5,3,4,4,4,5,6,3,5,5,5,3,4,3,5,2,5,4,5,4,4,4
41,Keegan Bradley,4,5,2,4,4,4,3,5,3,4,5,3,3,6,3,4,3,4,4,4,4,3,5,4,5,3,4,6,5,3,4,4,5,4,4,4,4,3,3,3,4,5,5,3,4,3,4,2,4,4,6,3,4,5,5,5,6,3,5,4,5,3,4,5,5,3,4,5,4,4,4,3
42,Matthew NeSmith,4,4,4,3,4,5,4,4,4,4,5,2,3,4,5,3,3,4,4,4,3,3,4,5,4,4,4,4,4,5,3,5,5,4,3,4,4,4,4,3,5,4,4,3,5,4,4,3,3,4,5,3,4,4,5,5,5,4,6,3,6,3,4,4,4,3,5,4,6,3,4,5
43,Jhonattan Vegas,5,3,4,3,5,4,4,4,4,4,4,3,3,3,5,3,4,4,5,5,2,4,4,4,2,3,5,4,4,4,3,4,4,5,3,4,4,4,3,3,4,4,6,2,5,4,5,4,3,4,5,3,4,4,4,4,5,4,6,4,5,3,5,4,5,3,4,4,6,4,5,6
44,Adam Svensson,4,4,4,3,3,4,6,3,5,6,4,3,4,3,5,3,4,4,4,5,4,4,4,4,3,5,4,3,4,4,3,4,4,4,3,5,4,4,3,4,6,4,5,3,4,6,6,2,5,3,6,3,5,3,4,3,4,3,5,4,5,2,3,3,5,3,5,6,5,3,5,4
45,Matt Kuchar,4,4,4,2,5,4,4,3,4,4,5,3,4,4,4,3,3,6,5,5,3,5,5,5,3,4,3,4,4,4,3,5,5,4,3,5,3,4,4,4,5,4,5,3,3,5,4,3,5,4,5,3,4,4,4,5,4,3,5,4,6,3,3,3,6,3,3,5,5,3,4,5
46,Sepp Straka,3,5,3,4,4,4,3,4,4,4,4,4,4,5,4,5,4,3,4,3,5,3,4,4,5,3,4,5,5,3,4,4,4,2,4,4,6,4,4,3,4,5,6,3,4,3,5,4,4,3,5,3,4,4,5,5,4,3,6,4,5,3,4,4,4,3,4,4,5,5,4,4
47,David Lingmerth,4,4,4,3,5,5,5,3,5,4,4,3,4,5,5,2,5,4,4,5,3,5,4,5,2,4,3,5,4,4,3,5,4,4,5,3,5,3,3,3,5,4,5,4,5,5,4,2,4,4,4,3,4,6,5,4,4,3,4,3,5,3,4,4,5,4,4,4,4,4,4,5
48,Lucas Herbert,4,5,2,5,4,4,3,5,3,4,3,4,3,4,4,5,3,5,4,4,6,3,5,5,5,2,4,4,5,5,4,4,3,3,5,5,4,4,4,2,6,4,5,3,4,3,5,3,5,4,4,3,4,3,3,4,6,3,5,5,5,4,5,4,5,4,3,3,5,3,5,4
49,Cameron Tringale,5,4,4,3,5,5,5,3,4,4,4,3,3,4,4,4,5,4,5,4,3,4,4,5,2,4,5,4,4,3,4,5,4,4,3,3,4,5,4,3,5,3,5,3,4,4,4,2,5,5,4,3,4,4,5,4,6,3,7,4,5,3,4,5,5,3,5,4,4,3,4,4
50,Viktor Hovland,5,4,3,5,4,5,4,2,4,4,5,2,4,4,4,3,4,5,4,5,3,6,4,4,3,4,4,4,4,4,4,4,4,5,3,4,3,4,3,3,6,6,5,4,6,6,4,2,5,4,4,4,4,5,4,3,4,2,5,4,6,2,4,4,5,3,4,4,5,3,5,4
