,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,Rory McIlroy,4,4,5,3,4,4,2,4,4,4,3,2,5,4,3,4,2,5,4,4,3,4,5,3,4,3,4,4,4,5,3,4,4,3,3,4,4,4,3,3,4,3,3,4,4,4,4,3,3,4,4,3,4,4,3,4,3,3,4,2,3,3,4,3,4,3,4,4,5,4,3,3
1,Tony Finau,4,5,4,3,4,4,3,4,4,4,5,2,3,3,3,4,3,4,4,4,3,5,3,3,5,4,4,4,4,4,3,3,5,4,4,5,3,4,3,4,4,2,4,2,3,3,4,5,3,3,5,3,4,3,4,3,3,4,3,3,4,3,4,4,4,4,2,4,5,3,4,3
2,Justin Thomas,4,5,4,3,3,5,3,4,4,3,4,3,4,4,4,4,3,5,4,5,3,4,4,3,4,3,4,3,5,4,3,3,5,3,4,5,4,4,2,4,4,3,4,3,4,3,4,4,3,3,3,3,4,4,4,3,3,4,4,2,3,2,4,3,4,4,3,3,5,3,5,5
3,Justin Rose,4,4,3,4,4,3,4,3,3,4,5,4,2,4,6,4,3,5,4,3,5,3,4,6,3,4,4,4,4,3,4,4,3,5,3,4,4,4,3,3,5,2,4,3,4,4,5,3,3,4,4,4,4,4,2,3,3,4,3,3,3,3,6,3,3,3,3,3,3,4,3,5
4,Sam Burns,4,4,3,5,4,2,4,3,4,4,4,4,3,3,5,3,3,5,4,4,4,3,3,5,2,4,4,4,5,3,5,4,3,4,3,5,4,3,2,4,5,2,4,3,4,3,5,4,3,4,5,3,3,4,4,4,3,3,4,3,4,3,4,3,4,4,3,3,4,3,5,4
5,Corey Conners,5,4,4,3,4,4,4,4,3,4,4,3,4,4,4,4,3,6,3,4,3,5,4,3,4,3,4,3,5,4,3,4,5,3,5,4,4,4,4,4,4,2,4,3,5,3,4,3,3,4,4,3,4,4,4,4,3,3,3,3,3,3,5,4,3,3,3,3,5,2,4,4
6,Keith Mitchell,4,5,4,3,3,4,3,3,5,5,4,4,4,3,2,4,3,4,4,5,3,5,4,3,4,3,4,4,4,3,3,4,5,2,3,4,4,4,3,4,4,3,4,3,4,3,5,4,3,4,5,3,4,6,5,4,3,4,4,3,3,3,5,3,3,3,3,4,5,3,4,4
7,Chris Kirk,5,4,3,4,4,3,5,2,4,4,4,4,3,4,5,3,4,4,4,4,4,3,5,5,3,5,4,4,4,3,4,4,2,4,3,4,5,5,3,4,4,2,4,3,3,3,4,4,3,4,5,3,3,4,4,4,3,4,3,3,3,3,4,3,5,4,3,4,5,3,4,4
8,Wyndham Clark,3,4,4,3,3,4,3,3,4,4,4,3,3,4,3,3,3,5,4,4,3,4,4,3,4,2,5,4,4,5,3,3,6,4,4,4,4,5,3,4,3,3,4,3,5,5,3,4,3,4,5,3,3,4,3,4,2,4,4,2,3,3,4,4,4,4,3,5,6,3,5,6
9,Danny Lee,4,4,3,5,4,3,4,3,4,4,4,3,3,4,5,3,4,4,3,4,5,3,4,5,3,4,3,4,4,3,5,4,3,4,3,5,5,4,3,4,3,3,4,4,3,5,4,4,2,4,5,3,5,4,3,3,4,4,4,3,4,3,5,4,4,4,2,4,4,3,3,4
10,Shane Lowry,4,4,4,3,4,4,3,4,4,5,3,3,3,4,4,4,3,4,4,5,3,4,4,3,5,3,4,3,4,4,4,4,4,3,4,4,4,4,3,4,4,3,5,2,4,3,5,3,3,5,6,3,4,4,3,4,3,4,4,3,3,3,4,4,3,5,3,5,4,2,5,4
11,Matt Fitzpatrick,3,4,4,2,4,5,3,3,4,4,4,2,5,4,3,4,2,4,4,3,3,4,4,4,3,3,4,3,4,4,3,6,4,4,5,5,4,4,3,4,4,2,4,2,5,3,5,4,3,6,5,3,5,4,4,4,3,4,3,3,3,3,4,4,4,4,3,4,4,3,5,5
12,Kelly Kraft,4,4,3,5,4,3,4,3,4,3,4,4,3,4,5,4,3,5,4,5,4,3,4,4,3,4,5,3,4,3,4,4,3,5,3,4,4,3,3,5,5,3,3,3,4,3,6,4,3,4,6,3,4,4,3,4,4,3,4,5,3,4,4,3,4,3,4,2,3,4,3,4
13,Brendon Todd,4,5,4,2,4,5,3,5,4,4,4,3,4,4,3,4,3,4,3,5,3,4,4,3,4,2,4,4,5,4,3,4,5,3,5,4,4,3,3,4,4,3,3,3,4,5,5,4,2,4,5,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,2,5,4,3,3,4
14,Aaron Rai,3,4,4,3,4,5,3,4,3,5,4,3,4,5,4,4,3,4,4,4,3,5,6,3,3,2,4,4,5,4,4,3,4,3,5,4,4,4,3,5,3,3,4,3,5,4,4,3,3,4,4,3,4,4,3,4,3,4,3,3,5,3,4,4,4,4,3,4,5,2,4,4
15,Harold Varner III,4,4,2,3,4,3,4,3,4,3,3,5,3,4,5,3,4,4,5,5,6,4,4,5,3,4,4,3,4,3,4,4,3,4,3,4,3,5,3,4,4,2,4,3,4,4,5,4,3,4,5,3,4,4,4,4,2,4,4,4,4,3,4,4,4,3,2,4,4,4,4,5
16,Austin Cook,3,5,3,3,5,5,3,4,6,4,4,4,3,4,3,4,3,5,4,4,3,3,3,2,4,2,4,4,5,4,3,4,5,3,4,3,4,4,3,3,4,3,5,3,3,3,4,4,3,4,5,4,5,4,4,4,3,5,5,2,4,3,5,3,5,4,2,4,5,3,4,4
17,Patrick Rodgers,4,4,4,3,3,4,3,4,4,4,3,3,4,4,4,5,3,4,3,4,4,4,3,3,6,4,4,4,5,4,3,3,5,2,5,3,4,5,3,4,4,2,5,4,4,3,5,4,2,4,5,4,4,6,4,4,3,3,4,4,3,4,3,4,5,3,3,4,3,3,3,5
18,Scottie Scheffler,5,5,3,4,4,2,4,3,4,4,4,4,3,4,4,2,5,5,3,4,4,3,4,4,4,4,4,4,4,3,5,3,3,4,3,4,4,3,4,4,4,2,4,3,4,3,6,5,4,4,5,3,4,5,4,4,3,4,4,3,3,3,4,5,4,4,3,4,4,3,4,3
19,Doug Ghim,4,4,2,4,3,3,4,3,5,4,4,3,3,3,5,3,4,4,5,4,5,3,4,5,3,4,4,4,4,4,4,3,3,4,3,5,4,5,3,4,4,3,4,3,4,4,4,4,2,4,4,3,4,5,3,5,3,4,4,3,4,3,5,5,4,4,2,4,4,3,5,4
