,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,Scottie Scheffler,3,4,4,6,3,4,5,3,4,3,3,4,4,4,5,2,5,4,4,4,5,5,4,4,4,4,4,4,4,4,5,2,5,3,3,5,4,3,4,4,3,5,4,5,5,3,4,4,3,3,4,3,3,4,5,2,5,5,3,5,3,4,5,4,4,4,4,3,4,5,3,4
1,Tyrrell Hatton,3,3,4,4,4,5,4,4,4,4,3,5,4,2,5,4,4,3,4,5,3,4,3,4,5,4,3,4,3,4,4,4,4,2,4,4,4,3,5,4,5,5,4,5,5,4,4,5,5,3,4,5,4,4,5,3,3,5,4,6,2,5,3,3,4,4,3,4,4,4,3,4
2,Viktor Hovland,4,3,5,5,4,4,2,4,4,4,5,5,3,4,3,4,3,3,3,4,4,5,3,3,4,2,4,4,3,4,4,4,4,3,4,4,5,4,4,5,4,3,3,3,4,4,5,5,4,4,4,5,4,5,4,3,4,5,4,5,2,5,5,4,3,5,5,3,5,4,4,4
3,Billy Horschel,4,2,4,4,4,5,2,4,5,3,4,5,3,3,5,3,3,4,3,3,4,4,3,4,4,5,3,4,4,5,5,4,4,4,4,4,3,4,4,5,4,5,3,5,4,4,4,4,3,3,5,5,3,3,4,4,5,5,3,7,3,5,4,5,4,4,4,3,3,5,3,4
4,Gary Woodland,4,3,4,5,4,5,3,4,4,4,4,4,4,3,4,5,3,3,3,5,4,5,2,4,4,3,5,5,4,4,4,4,5,3,4,4,3,4,5,5,4,3,3,5,4,4,4,4,4,3,4,5,2,4,4,3,4,5,5,5,3,5,3,3,4,5,4,3,4,3,5,5
5,Chris Kirk,3,2,4,6,3,5,4,4,5,3,4,4,4,4,4,4,3,3,4,4,4,5,3,5,4,3,5,3,4,4,6,5,5,4,4,4,4,3,4,3,4,5,3,4,3,4,4,4,4,4,4,5,3,3,3,3,4,6,4,4,3,5,4,4,4,4,3,4,5,5,3,4
6,Lucas Herbert,4,5,5,4,3,5,4,3,4,5,3,5,5,3,6,3,3,3,4,3,3,4,4,4,4,4,4,4,4,5,4,3,4,5,4,4,4,3,5,6,4,5,3,5,4,4,5,4,4,2,4,5,3,4,3,3,3,4,4,5,3,4,4,5,4,5,5,3,3,3,3,4
7,Talor Gooch,4,3,3,6,4,5,3,4,3,3,4,5,4,3,4,4,2,5,4,4,5,4,2,4,3,3,4,3,3,4,4,4,5,3,4,5,4,4,3,4,4,6,3,5,4,4,4,5,4,3,3,4,3,5,5,4,3,5,6,6,3,6,5,4,4,4,4,2,4,5,3,4
8,Sam Burns,4,4,4,5,3,6,3,5,4,3,4,5,4,3,3,4,3,5,4,3,5,4,3,4,3,4,3,3,3,5,4,4,5,3,5,4,5,3,5,5,5,5,3,3,4,5,4,4,4,4,6,3,3,4,5,3,4,4,4,5,3,4,3,4,5,4,4,3,4,5,3,4
9,Matt Fitzpatrick,4,4,5,4,3,4,3,3,5,4,3,4,6,4,5,3,5,4,4,3,4,5,4,5,3,5,3,4,4,5,4,3,4,4,3,4,4,3,4,5,4,4,3,4,4,4,4,5,4,3,4,5,3,3,4,3,3,5,4,5,3,5,4,5,4,4,4,3,5,4,3,5
10,Keegan Bradley,4,3,5,4,4,5,3,4,4,3,5,4,4,2,5,4,3,5,4,3,5,4,3,4,5,4,4,4,3,4,6,4,6,2,5,5,4,3,4,4,4,4,3,5,5,5,3,4,4,3,4,4,3,4,4,3,5,5,4,4,3,5,4,4,4,4,4,3,4,4,3,5
11,Corey Conners,4,3,4,5,4,6,3,5,3,3,5,5,4,3,4,4,3,4,3,6,5,4,3,4,4,4,5,4,2,4,5,4,5,3,4,4,5,3,4,5,4,4,2,4,4,3,4,4,5,3,4,4,3,4,4,3,4,4,4,5,3,4,4,4,4,6,5,3,4,5,4,4
12,Cameron Young,4,4,3,6,4,4,3,5,4,3,3,4,4,3,5,4,3,4,4,4,5,4,3,4,4,4,5,4,3,3,5,4,4,3,4,4,3,4,4,5,4,5,3,3,6,5,5,4,5,2,4,4,3,7,5,2,4,5,4,4,3,5,4,4,6,4,5,3,4,4,3,3
13,Russell Henley,4,6,5,5,3,3,5,3,4,4,4,3,4,4,4,2,3,4,5,3,3,5,5,4,3,4,4,5,4,4,3,4,3,5,4,4,3,3,4,5,4,5,4,4,4,4,3,5,3,4,5,4,4,4,4,4,5,4,4,6,2,4,4,4,4,4,4,4,5,5,3,5
14,Graeme McDowell,4,4,4,4,3,5,4,2,4,4,2,3,4,4,5,3,4,5,4,4,4,4,4,4,4,4,4,4,7,5,5,3,4,4,3,5,4,3,4,4,4,5,4,4,5,3,4,5,3,2,4,5,3,3,5,4,4,4,4,5,3,4,4,4,4,5,5,2,4,7,3,5
15,Rory McIlroy,4,5,4,3,3,4,3,3,3,4,3,3,4,4,4,3,4,4,5,3,4,4,4,5,2,3,4,4,4,5,4,3,5,5,4,4,5,3,4,5,4,5,3,5,4,4,5,4,3,3,6,4,4,5,4,4,4,5,4,5,5,4,4,4,4,6,5,2,5,4,3,4
16,Jon Rahm,4,4,4,4,5,5,4,4,4,4,4,4,4,3,4,4,2,5,4,4,5,3,2,4,5,3,3,5,3,5,4,5,5,3,3,4,4,4,4,5,4,5,3,4,4,4,5,5,4,4,4,4,3,4,5,3,4,5,4,4,3,4,4,3,5,5,5,3,4,5,3,5
17,Aaron Wise,4,4,4,5,4,5,3,4,4,4,3,4,4,3,4,4,3,3,3,5,5,4,3,3,5,3,6,4,4,5,5,4,4,3,3,4,4,3,4,5,5,5,2,5,5,4,4,4,4,3,6,4,3,4,4,3,4,4,4,6,3,4,4,4,4,5,4,3,4,5,3,6
18,Max Homa,3,4,4,4,3,3,5,2,6,4,3,4,4,4,5,3,4,4,3,3,4,6,5,4,3,5,5,4,5,4,4,4,4,4,3,4,5,3,4,4,4,5,3,4,4,4,6,4,5,1,4,4,4,5,4,3,4,5,4,5,3,5,4,4,4,5,4,3,5,5,3,4
19,Hideki Matsuyama,4,4,4,3,4,7,4,2,4,4,3,4,5,5,5,3,4,4,4,3,4,5,4,5,3,4,5,5,4,5,3,3,4,4,3,4,5,3,4,6,5,4,3,4,5,4,4,5,5,3,3,6,3,4,5,3,3,4,4,4,3,3,5,4,5,4,4,4,4,4,3,4
20,Beau Hossler,4,3,4,4,4,4,4,2,4,4,2,4,5,4,4,3,4,4,4,3,4,6,3,4,3,4,5,4,4,5,4,3,6,4,3,5,3,4,4,4,4,5,3,4,5,5,6,5,4,3,5,4,2,5,4,5,4,4,5,5,3,7,4,3,7,4,3,3,4,5,2,3
21,Tommy Fleetwood,4,3,4,5,3,5,3,5,4,4,5,5,5,4,4,4,3,4,4,3,5,6,3,4,4,4,4,4,3,5,6,3,5,3,3,4,4,3,4,5,4,4,4,4,4,3,6,4,3,3,4,4,3,4,4,3,3,5,5,4,3,4,5,5,4,5,4,3,5,4,3,5
22,Christiaan Bezuidenhout,4,4,4,3,3,4,4,4,5,5,4,4,5,4,5,3,4,4,5,3,3,5,4,5,3,4,4,3,7,5,4,3,4,5,3,4,3,3,4,5,4,4,3,5,4,4,3,5,4,3,4,4,3,4,4,3,5,5,3,6,4,6,3,4,4,4,5,3,4,5,3,4
23,Sungjae Im,4,4,4,4,2,4,4,3,4,4,3,4,4,5,4,3,4,4,4,3,5,4,5,4,3,4,5,3,4,5,5,3,5,5,5,5,3,3,4,5,4,5,3,4,4,4,4,4,3,3,4,6,3,4,4,3,4,5,4,7,2,4,4,4,4,4,4,4,5,6,3,5
