,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,Chad Ramey,4,3,3,5,5,4,4,4,3,4,3,4,5,5,4,3,3,4,4,3,4,3,5,4,4,2,3,4,2,4,5,4,4,4,4,2,4,3,4,4,4,4,4,4,2,4,4,4,5,3,4,4,3,5,4,4,4,4,4,4,4,4,3,4,3,5,3,4,3,3,3,4
1,Alex Smalley,4,3,4,4,4,4,5,3,3,4,2,6,5,5,4,3,3,3,6,2,4,4,4,4,4,3,3,3,3,4,3,4,4,4,4,2,3,3,4,4,5,6,4,4,4,4,3,5,4,4,4,4,3,5,3,2,4,4,3,3,5,4,3,4,2,5,4,5,4,4,2,4
2,Ben Martin,5,3,4,4,5,4,5,3,3,4,2,4,4,4,3,3,2,4,3,2,4,5,5,3,5,3,4,4,3,4,4,4,3,4,3,3,4,3,4,4,5,4,4,5,3,3,3,5,4,4,3,5,3,4,6,3,3,4,4,3,4,4,3,4,3,6,4,4,4,4,3,4
3,Jhonattan Vegas,4,3,3,3,4,4,4,5,2,4,4,6,3,5,4,4,4,4,4,4,5,4,6,4,4,3,4,3,2,4,4,3,4,5,4,3,4,3,4,4,4,4,3,3,3,4,3,4,3,5,3,4,3,4,3,3,4,4,4,3,4,5,3,4,3,5,4,4,4,4,3,4
4,Cameron Percy,4,3,5,4,5,5,4,4,4,4,3,4,4,4,4,4,4,2,3,3,3,4,5,4,4,4,3,3,4,5,4,5,4,4,3,3,3,4,4,4,3,4,4,3,3,4,4,4,4,3,4,5,3,4,4,2,3,4,4,4,3,4,3,5,3,5,4,5,4,3,3,4
5,Rasmus Hojgaard,5,3,4,4,4,4,6,4,3,4,3,5,4,5,4,4,3,4,3,3,5,4,5,4,4,3,4,4,2,4,4,4,3,5,4,2,3,3,4,4,4,4,3,4,2,4,4,5,4,4,4,4,2,5,4,2,3,5,4,4,4,4,3,4,3,4,4,5,3,4,3,4
6,Adam Schenk,4,3,4,4,5,4,4,2,4,4,3,3,5,4,3,4,4,3,4,4,4,3,4,4,4,4,3,4,3,4,4,5,4,4,2,4,4,3,5,5,4,4,6,5,3,3,3,4,4,5,4,5,3,4,3,3,4,4,5,3,5,4,3,3,3,5,4,4,3,3,3,4
7,Brian Stuard,4,3,4,5,3,4,5,4,3,3,3,5,4,4,4,4,3,5,4,3,5,4,5,4,4,3,3,4,3,4,4,4,4,4,4,2,5,3,4,5,4,4,5,3,2,5,3,5,4,4,4,3,2,4,4,2,3,5,4,4,5,3,3,4,2,5,4,5,4,3,3,5
8,David Lipsky,5,3,4,4,5,5,3,4,3,4,3,4,4,6,4,5,4,3,3,3,4,4,5,3,4,4,4,3,3,3,5,3,4,4,4,2,3,3,4,6,4,4,3,3,2,4,4,6,4,5,3,4,2,4,4,3,4,4,4,3,4,4,3,5,3,5,4,4,4,4,3,4
9,Martin Trainer,4,3,4,3,4,4,5,4,3,4,3,5,4,4,4,4,3,4,5,3,5,4,6,4,3,4,3,3,3,4,4,3,4,5,4,3,4,3,3,4,4,4,4,5,3,5,3,4,4,4,3,5,2,3,4,3,4,5,4,4,5,4,3,4,3,4,4,3,4,4,3,4
10,Bryson Nimmer,4,3,3,4,4,5,4,6,2,3,3,4,4,5,3,5,3,5,4,3,5,5,6,4,5,3,4,3,3,4,5,3,4,4,3,4,4,3,3,5,4,5,4,4,2,4,3,5,4,4,4,4,3,4,4,3,4,4,3,3,5,3,3,4,3,4,4,4,3,4,3,4
11,Andrew Novak,3,3,4,4,5,5,4,3,4,5,3,4,5,3,4,4,4,3,4,3,4,4,4,5,4,4,2,4,3,5,3,5,4,4,2,5,4,2,4,5,4,3,4,5,2,4,4,5,3,5,4,4,3,4,4,3,4,4,5,4,4,3,3,5,2,5,3,4,4,4,3,4
12,Kramer Hickok,4,4,5,4,5,4,4,3,4,4,3,4,5,4,4,6,4,2,4,4,3,5,4,3,5,3,3,4,4,5,4,4,3,4,2,4,4,3,4,4,3,4,6,5,3,3,3,4,5,5,4,4,3,3,3,3,3,4,4,4,4,4,3,4,3,4,4,4,4,4,3,4
13,Hayden Buckley,4,3,5,4,5,4,4,3,4,3,3,4,5,4,3,4,4,2,5,4,4,5,4,4,5,3,3,4,3,4,6,4,4,4,3,5,4,3,3,5,5,3,4,5,3,4,3,4,3,5,3,4,3,4,3,3,3,3,4,4,5,2,3,4,3,5,4,5,5,4,3,4
14,Kevin Chappell,4,4,5,5,6,4,5,3,4,3,3,4,4,5,4,4,3,3,3,3,4,5,3,4,4,4,2,5,3,4,4,5,3,4,4,3,4,3,6,4,5,4,6,4,2,4,3,4,4,5,4,4,2,4,4,3,4,4,5,3,4,3,2,3,3,4,4,5,4,4,3,4
15,Rick Lamb,4,4,5,3,5,4,4,3,4,4,3,4,5,4,3,4,7,2,4,3,4,4,4,4,4,4,3,4,3,5,3,5,4,4,3,5,4,3,4,5,4,3,5,3,2,5,3,5,4,5,4,3,3,3,4,3,4,3,4,4,4,4,3,5,2,5,4,4,4,4,3,4
16,Ryan Armour,4,3,4,4,4,3,5,6,2,4,4,4,3,5,3,4,3,4,4,3,5,5,5,3,4,3,4,4,3,4,4,4,4,5,4,3,3,2,4,5,4,5,5,4,3,4,2,4,4,5,4,4,3,4,4,3,4,5,4,3,4,5,3,4,3,5,4,4,3,4,3,4
17,Wesley Bryan,4,4,5,4,4,4,4,3,3,5,3,4,4,4,4,4,4,3,4,4,3,5,5,4,5,4,3,4,3,4,4,5,4,4,3,4,4,3,4,4,5,3,4,4,3,4,3,5,3,4,3,4,3,4,4,3,4,4,4,4,4,4,3,4,4,5,4,4,3,4,3,4
18,Justin Lower,5,3,5,4,5,4,4,3,4,4,3,6,5,4,5,4,3,3,4,3,4,4,4,3,4,4,3,4,2,4,4,5,3,3,3,4,4,3,3,5,4,4,5,4,3,4,3,4,3,5,3,5,2,4,4,4,4,4,4,4,5,4,3,4,3,5,3,4,4,4,4,4
19,Nate Lashley,4,3,4,5,4,4,4,3,3,4,2,5,3,5,4,4,3,5,4,3,5,4,5,4,4,3,4,3,3,4,4,4,3,5,3,3,4,3,3,4,4,4,4,4,4,3,3,4,5,5,3,4,4,4,4,3,4,5,6,3,4,4,3,4,3,5,4,5,4,4,4,3
20,Thomas Detry,4,2,4,4,4,4,4,4,2,4,3,5,5,4,4,4,3,5,4,3,5,4,5,4,4,4,3,3,3,4,4,3,4,5,4,3,4,3,3,5,4,3,4,4,4,3,3,5,4,4,3,4,3,5,4,3,3,5,4,4,5,4,3,4,4,4,4,5,4,4,3,5
21,Chase Seiffert,3,4,4,3,5,4,4,3,5,4,4,3,4,4,4,5,4,3,4,4,4,5,4,5,5,4,2,3,3,4,4,5,4,4,3,3,5,4,4,5,4,4,5,3,3,4,4,5,4,5,4,4,3,5,3,2,4,5,3,4,4,4,3,4,3,5,3,4,3,4,2,4
22,Sahith Theegala,5,3,4,4,4,4,4,4,3,4,4,4,4,4,5,4,3,4,4,3,5,4,4,4,3,3,4,4,3,3,5,4,4,5,3,3,3,4,3,4,4,3,4,5,3,5,4,5,4,5,3,4,3,5,5,3,4,5,4,5,5,3,2,4,3,4,3,4,5,3,3,4
23,Wyndham Clark,4,3,5,3,5,4,5,3,4,4,3,3,3,4,4,5,4,4,4,3,4,3,4,4,4,4,2,3,3,4,4,5,6,4,3,4,4,3,4,4,4,3,4,3,4,4,3,6,5,5,3,4,3,4,4,3,4,4,5,4,4,5,3,4,3,5,4,4,4,4,3,4
24,Greyson Sigg,4,3,5,4,5,3,4,3,4,4,3,3,4,4,4,5,4,3,4,2,4,5,5,4,5,3,2,5,4,5,4,5,4,3,2,3,5,3,3,4,3,4,4,4,4,4,3,6,6,5,4,4,3,4,4,3,3,4,4,4,5,3,3,5,3,4,5,4,4,4,3,4
25,Nick Taylor,3,3,5,4,5,4,4,2,5,5,3,4,5,4,4,5,5,2,4,4,3,4,4,4,5,4,3,4,3,4,4,4,4,4,3,3,3,4,3,5,3,3,5,4,4,4,4,5,3,4,4,4,3,4,3,4,5,3,4,4,4,4,4,5,3,5,4,4,4,4,3,4
26,Vaughn Taylor,4,2,4,4,3,4,5,4,3,3,4,5,4,5,4,4,3,3,5,3,4,4,5,4,4,3,4,4,3,4,4,5,4,5,3,3,4,3,5,5,3,4,4,4,3,4,3,4,3,5,4,4,3,4,5,3,4,4,3,4,4,4,3,6,4,6,4,5,3,3,3,4
27,Brandon Wu,4,4,4,3,5,4,4,3,4,3,3,3,5,4,4,5,4,3,5,3,4,5,4,5,5,4,2,5,3,5,4,4,3,4,3,4,4,3,4,4,3,5,5,4,3,5,3,5,6,4,4,4,2,4,3,3,4,4,4,3,4,4,3,4,3,5,5,5,4,4,3,3
28,Tyler Duncan,4,3,4,4,5,4,4,3,3,4,3,5,5,4,4,4,3,5,4,3,6,4,4,4,4,3,4,4,3,4,4,4,5,4,4,3,5,2,3,4,3,4,5,4,3,4,3,5,4,5,4,4,3,4,4,3,5,4,4,3,4,4,3,5,2,5,4,5,4,4,3,4
29,Greg Chalmers,4,3,5,4,5,4,5,4,4,4,3,4,4,4,4,5,4,3,3,3,4,5,3,4,4,4,3,5,3,5,4,5,3,4,3,4,4,4,4,5,5,4,4,4,2,3,3,5,4,4,3,4,3,4,4,4,3,4,5,3,5,4,3,4,3,5,4,4,3,5,3,4
30,Jason Dufner,3,3,3,4,4,4,5,3,3,4,4,5,4,5,4,5,3,4,5,4,6,3,6,4,4,3,4,3,3,4,4,5,4,4,4,3,4,3,3,4,4,3,4,4,3,4,3,4,5,4,4,5,3,3,4,3,4,5,4,4,4,3,3,4,4,5,4,5,4,4,4,3
31,Rafael Campos,5,3,4,4,4,4,5,4,3,4,3,5,4,5,4,4,3,4,4,3,5,4,4,4,4,3,4,3,3,4,4,4,3,5,4,3,3,3,4,4,4,3,4,4,3,5,3,5,4,5,4,4,3,4,4,3,4,4,4,4,5,4,3,4,3,5,4,5,4,4,4,4
32,Scott Brown,4,3,4,4,4,4,4,4,4,4,4,5,3,5,4,4,4,3,3,3,5,4,6,4,4,5,4,4,3,4,4,4,4,3,4,3,4,3,4,4,4,3,4,4,3,4,3,5,5,4,4,4,2,3,4,3,3,4,4,3,4,4,5,4,2,6,4,5,4,5,3,5
33,Ben Kohles,5,3,4,4,4,3,6,4,3,4,3,5,5,5,3,4,3,4,4,3,5,5,4,3,4,3,4,4,3,3,5,4,4,3,4,2,4,3,4,4,4,3,4,3,2,4,3,6,4,5,4,4,3,5,5,3,4,5,4,5,4,4,3,4,3,5,5,5,3,4,3,4
34,Vince Whaley,4,2,3,4,4,4,4,4,4,4,3,5,4,5,4,5,3,4,4,3,4,4,5,4,4,2,4,4,3,4,5,3,4,4,4,3,4,3,4,4,4,3,5,4,3,4,4,5,4,4,5,4,3,3,4,3,4,5,5,4,5,4,3,4,3,5,4,4,4,5,3,4
35,Peter Uihlein,4,4,5,6,5,4,4,4,6,4,4,3,3,4,4,5,3,3,4,3,4,4,5,5,5,4,2,3,4,4,4,4,4,3,2,4,4,4,4,4,4,4,4,4,3,4,3,5,5,5,4,5,3,3,4,3,4,5,4,3,4,3,3,4,3,4,4,5,4,4,2,4
36,Danny Willett,4,3,5,4,5,4,4,3,4,4,4,4,4,4,4,4,4,3,4,2,4,5,3,3,4,4,2,4,3,5,4,5,5,5,3,4,4,4,3,4,4,4,5,4,3,4,3,5,5,7,4,5,3,4,5,3,4,4,3,3,4,3,3,4,4,4,4,5,3,4,3,4
37,Hudson Swafford,5,2,6,5,5,5,4,3,3,4,4,5,3,5,4,4,3,4,4,3,4,4,5,4,4,3,4,4,3,4,4,4,4,4,3,2,4,3,4,4,4,5,5,4,3,4,3,5,4,5,4,4,3,4,3,3,3,3,3,3,5,4,3,5,6,5,5,4,4,3,3,4
38,Robert Garrigus,4,3,5,4,5,4,3,3,3,4,3,4,5,4,4,4,5,3,4,3,4,4,6,4,5,4,4,4,3,4,4,5,4,3,3,4,4,4,4,4,5,4,4,4,3,5,3,4,4,4,4,4,3,4,4,3,5,3,4,4,4,3,3,4,3,6,4,4,4,3,4,4
39,Seung-Yul Noh,4,4,3,5,4,4,4,3,3,4,3,5,5,5,4,4,3,4,4,3,5,4,5,5,4,2,5,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,6,5,4,4,3,3,4,3,5,4,4,4,4,4,2,4,3,5,4,4,4,4,3,4
40,Michael Gligic,4,4,5,4,4,4,4,3,5,4,3,4,4,4,4,5,4,3,4,3,3,6,4,4,4,3,2,4,3,5,4,4,5,4,3,5,4,3,4,5,4,4,5,4,3,4,3,4,3,5,4,3,4,4,4,3,3,5,4,4,4,4,2,5,3,5,5,4,5,3,3,4
41,Hank Lebioda,4,3,4,4,5,4,4,3,4,4,4,4,4,4,4,5,4,3,4,4,3,4,5,4,5,3,4,4,3,5,4,5,4,4,3,3,4,3,4,4,4,4,4,4,3,5,3,5,4,5,4,4,2,4,3,3,5,4,4,4,5,3,3,5,3,5,3,5,3,5,3,4
42,Jonathan Byrd,3,4,4,4,5,3,4,4,5,5,2,4,4,4,3,5,4,3,4,3,4,4,4,4,5,4,3,4,4,5,4,4,4,5,3,4,4,3,4,4,4,4,5,3,3,4,4,4,4,5,4,3,3,3,4,3,3,5,4,4,5,4,3,4,4,5,4,5,4,4,3,4
43,Kiradech Aphibarnrat,4,3,4,4,5,4,3,4,3,4,3,4,3,5,4,3,4,4,4,2,6,4,4,4,4,3,4,4,3,5,4,5,5,6,3,3,4,3,4,5,5,4,5,4,2,4,2,6,4,5,6,4,2,4,3,3,3,4,4,4,5,4,3,4,3,4,5,4,4,5,3,4
44,Curtis Thompson,5,3,4,4,4,4,4,4,3,3,4,5,5,4,5,4,3,4,4,3,5,4,4,6,3,3,4,4,3,4,4,4,4,4,4,2,5,3,4,5,3,4,5,4,3,5,4,5,3,4,4,4,3,4,3,3,3,4,5,3,5,3,3,5,3,7,4,4,4,4,3,4
45,Bill Haas,5,4,5,4,5,4,4,3,4,4,3,4,4,4,4,4,4,3,3,4,3,5,4,3,4,4,3,4,3,5,4,5,3,4,2,4,4,3,4,5,4,4,4,5,3,4,3,4,5,5,4,5,3,4,4,3,4,4,4,5,5,4,3,5,3,4,4,4,4,4,3,4
46,David Lingmerth,4,2,6,4,6,4,3,3,4,4,3,4,3,4,3,6,3,3,4,3,3,5,4,4,5,3,3,4,3,5,4,5,4,4,3,4,5,3,3,4,4,4,6,4,3,3,3,4,4,5,6,4,3,4,4,3,3,4,4,4,4,7,4,4,3,5,5,5,4,4,2,3
47,Brandon Hagy,5,3,4,4,3,5,4,4,3,3,3,4,4,5,4,5,3,4,4,3,5,3,5,4,4,3,4,4,3,4,4,4,4,5,4,3,4,3,4,5,4,5,4,3,4,5,3,4,4,5,4,4,3,3,4,3,4,5,4,4,4,3,4,4,3,5,5,4,4,5,3,4
48,Matthias Schwab,4,3,4,4,5,4,4,6,3,4,4,5,4,5,4,3,3,4,4,3,5,4,4,4,3,4,4,3,3,3,5,5,4,4,4,3,4,4,3,3,4,3,4,4,3,4,4,4,4,5,4,4,4,4,6,3,4,4,5,5,5,3,2,4,3,5,3,5,5,4,3,3
49,D.J. Trahan,4,4,3,5,4,4,4,4,3,4,3,5,4,4,4,4,3,4,3,3,5,4,5,4,4,4,4,4,4,5,4,4,4,5,4,3,3,4,4,6,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3,3,5,5,4,4,3,3,4,3,5,4,5,3,4,4,4
50,Trey Mullinax,5,3,4,4,6,5,4,3,3,4,3,4,4,5,4,5,4,3,4,3,4,4,4,3,5,4,3,5,3,4,4,5,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,4,4,3,3,4,3,4,3,4,4,4,5,3,4,4,5,4,5,4,4,4,3
51,Sean O'Hair,4,3,5,4,4,4,5,3,4,4,3,3,4,4,5,5,4,3,4,3,4,5,5,4,5,3,3,4,2,4,5,5,3,4,3,5,4,3,5,4,3,4,4,4,4,4,3,5,4,6,3,4,2,4,4,4,4,4,4,4,5,4,3,5,2,4,4,5,4,4,4,4
52,Graeme McDowell,4,3,4,4,5,4,3,3,4,4,3,3,4,4,4,5,4,3,4,3,4,4,4,5,5,3,3,4,4,5,4,4,3,4,2,3,4,3,3,4,4,4,4,4,3,4,4,7,4,5,5,4,3,4,5,3,5,5,4,5,6,4,4,4,2,4,5,5,3,4,3,4
