,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,Max Homa,4,4,4,4,4,4,3,4,3,4,4,3,3,3,3,6,3,4,3,5,3,4,3,4,3,4,4,4,4,4,3,3,4,4,4,3,4,5,3,5,3,4,4,4,3,5,5,4,4,3,4,4,3,4,3,5,3,4,3,4,5,4,2,4,4,3,5,4,3,5,3,4
1,Matt Fitzpatrick,5,4,3,4,4,4,4,3,4,3,5,4,4,3,4,4,4,2,4,4,4,4,4,5,4,4,2,4,4,2,4,4,4,4,3,4,4,5,4,4,4,4,3,4,3,5,5,3,4,4,4,4,3,4,4,5,3,4,3,4,4,4,3,5,4,2,4,4,4,4,3,3
2,Cameron Young,5,4,3,4,4,3,4,4,4,5,3,3,4,3,3,4,3,5,5,4,2,5,3,3,4,4,4,3,5,3,4,4,7,4,4,3,4,3,3,5,4,4,5,2,4,4,5,4,4,4,4,4,4,2,3,5,3,4,5,4,3,4,3,4,5,3,3,3,4,3,3,4
3,Keegan Bradley,5,6,3,3,3,4,4,3,4,4,5,4,4,3,4,4,5,2,5,4,3,4,4,3,4,4,3,4,4,2,3,4,5,3,2,4,4,4,3,5,4,5,4,4,2,5,3,2,4,4,4,3,3,4,4,7,3,5,3,4,3,3,3,5,6,3,4,3,5,3,3,5
4,Rory McIlroy,4,5,2,3,3,3,4,4,4,4,5,3,6,3,3,4,4,3,5,5,3,5,4,4,5,4,3,4,4,3,4,3,5,4,4,4,6,5,2,4,3,4,4,2,3,4,5,3,4,4,4,4,4,3,4,5,3,4,3,4,4,3,3,4,5,3,4,3,4,4,3,5
5,Stephan Jaeger,4,6,2,4,4,4,5,3,4,4,4,2,4,4,3,4,4,2,4,5,3,5,3,4,4,5,3,5,5,3,4,4,4,4,2,4,4,5,3,6,4,3,4,4,3,5,6,2,5,3,5,4,3,4,4,5,3,4,4,3,4,4,3,4,4,2,4,3,4,4,3,4
6,Lanto Griffin,5,4,4,4,4,4,4,3,5,3,5,3,5,4,2,4,4,3,4,5,3,4,5,4,4,3,3,4,3,3,3,5,4,3,5,4,4,4,4,4,4,4,3,6,3,4,5,3,4,4,3,4,4,4,4,5,3,5,4,4,3,4,3,4,3,3,4,3,4,4,3,4
7,Anirban Lahiri,4,4,3,3,4,4,4,3,4,4,5,2,4,4,4,5,4,3,4,5,3,4,3,3,4,5,3,4,3,3,5,3,4,3,5,4,4,5,3,4,4,4,4,3,2,5,4,4,4,3,5,4,3,5,5,5,3,4,4,3,5,4,3,4,4,2,4,4,5,5,3,4
8,Stewart Cink,6,3,2,5,3,4,3,3,4,5,7,2,4,3,3,4,3,2,3,5,3,5,4,4,5,4,4,5,3,4,3,4,4,4,4,5,4,5,2,5,3,3,5,5,2,5,5,3,5,4,5,5,3,5,4,5,3,5,3,4,3,3,3,5,3,3,4,4,4,3,2,4
9,J.T. Poston,5,4,3,4,3,4,4,4,4,4,5,3,4,3,4,4,4,2,4,5,3,4,3,4,4,4,3,4,5,2,4,4,4,4,3,5,3,6,3,4,4,3,4,5,5,5,4,3,4,4,4,5,4,4,4,5,3,3,4,4,4,4,3,4,4,3,4,3,4,4,3,4
