,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,Justin Thomas,3,4,4,4,4,3,4,4,5,3,3,4,5,3,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,5,4,4,3,5,4,5,3,4,4,3,4,6,3,5,4,3,5,4,4,5,4,4,4,4,3,3,4,2,3,5,3,4,4,3,4
1,Will Zalatoris,3,3,3,4,3,4,4,4,5,4,4,3,4,5,4,3,3,3,3,4,4,4,5,3,4,3,4,4,2,3,4,3,4,4,3,4,5,4,4,5,5,4,5,3,4,4,3,4,4,3,4,5,3,4,4,4,4,3,4,4,5,3,4,4,3,5,5,3,4,5,3,4
2,Cameron Young,4,3,4,5,4,5,4,3,4,3,4,4,4,5,3,4,4,4,4,4,4,4,5,3,4,3,4,3,2,4,5,2,4,4,4,4,4,5,4,4,4,2,4,3,3,5,3,4,4,3,4,5,2,4,5,3,4,4,4,3,4,4,3,4,3,4,5,4,4,6,3,4
3,Mito Pereira,4,4,4,5,5,2,4,3,4,4,3,5,4,2,4,4,3,4,3,2,5,5,3,4,3,4,4,4,3,4,3,4,3,3,3,4,4,3,4,4,4,3,4,4,5,5,3,5,4,2,4,4,4,3,4,4,5,4,4,3,5,4,4,4,3,5,4,4,4,4,4,6
4,Tommy Fleetwood,4,4,5,4,5,3,4,2,4,3,4,4,5,3,4,5,4,4,3,3,4,4,4,4,4,4,5,3,5,4,4,5,3,4,3,4,5,5,5,3,4,3,5,3,4,4,3,3,4,3,3,5,3,4,4,4,4,3,4,3,5,4,5,5,3,3,5,2,3,3,3,4
5,Chris Kirk,4,4,4,4,5,2,4,3,3,4,3,4,5,3,4,4,4,4,4,3,4,5,3,4,4,3,5,5,5,4,4,5,3,3,3,3,4,4,4,3,6,4,4,4,5,5,3,4,4,3,3,4,3,4,4,5,4,4,4,3,5,3,4,4,3,4,4,3,4,4,2,4
6,Matt Fitzpatrick,3,3,5,4,5,2,5,3,4,4,2,4,5,3,4,4,4,4,4,2,4,5,3,4,4,4,4,4,4,4,5,5,3,3,3,4,5,5,4,4,4,2,5,3,3,4,3,4,4,3,4,4,3,3,5,4,4,3,5,4,4,3,4,5,4,4,5,3,3,4,5,4
7,Rory McIlroy,4,3,3,4,2,3,4,4,4,4,3,4,4,4,4,4,4,3,4,5,4,4,5,3,5,3,4,4,3,3,5,3,4,4,4,4,4,4,4,4,5,5,5,4,3,4,6,4,4,2,4,3,4,5,4,3,3,3,4,4,4,3,4,4,3,4,5,3,4,4,5,4
8,Brendan Steele,5,5,4,4,5,3,3,3,3,3,3,4,5,3,5,4,4,4,5,3,5,5,2,4,4,3,4,4,4,3,3,7,4,5,3,4,4,4,4,4,5,3,4,2,5,4,3,4,5,4,4,4,2,4,5,4,5,5,4,3,4,3,4,4,2,4,4,3,4,3,3,4
9,Tom Hoge,3,4,5,4,4,3,4,3,3,3,3,4,5,3,3,4,4,4,5,3,5,4,2,3,6,4,4,5,4,4,4,6,3,5,3,4,3,6,4,4,5,4,4,2,4,3,3,5,4,3,5,4,4,3,4,4,4,5,5,3,4,3,4,3,3,4,4,4,4,4,3,4
10,Abraham Ancer,4,5,3,4,4,3,3,3,4,3,4,4,5,3,3,5,3,4,4,3,3,4,4,4,5,3,4,4,4,4,4,5,3,4,3,4,4,4,4,4,4,3,5,3,4,5,3,4,5,3,4,4,3,4,5,4,4,4,4,3,5,4,5,4,3,4,5,3,4,4,4,4
11,Seamus Power,5,3,3,5,4,3,4,4,4,4,4,4,4,6,3,4,3,4,4,3,5,4,5,3,4,3,4,3,3,4,4,3,5,4,4,4,4,4,5,3,4,3,4,4,4,4,4,3,4,3,3,4,3,4,4,6,4,3,5,3,4,3,4,5,3,4,5,3,4,4,4,4
12,Tyrrell Hatton,4,3,4,5,4,3,4,5,3,4,4,4,4,5,3,4,4,3,4,4,4,4,5,2,4,4,4,4,3,3,4,2,3,5,4,5,3,7,4,4,5,5,4,3,4,4,3,3,5,4,5,4,3,4,4,4,5,3,5,3,4,3,4,4,2,4,5,3,4,4,3,4
13,Justin Rose,4,3,4,4,2,3,4,5,5,4,5,4,5,4,3,5,3,4,4,6,4,4,4,2,4,2,3,4,4,4,6,3,4,4,4,4,5,4,4,4,5,3,5,3,4,5,3,4,4,3,3,5,3,4,5,4,4,3,5,3,3,3,4,4,4,4,4,2,4,4,4,4
14,Cameron Smith,4,2,6,4,3,4,5,5,4,3,3,3,4,4,3,3,4,4,3,4,4,4,5,3,4,3,3,5,3,4,5,3,5,4,4,4,5,4,4,4,5,4,5,3,3,5,2,4,5,3,4,4,4,5,4,4,4,3,4,3,5,3,4,3,4,4,5,3,5,4,3,4
15,Xander Schauffele,3,3,4,4,4,3,4,4,5,4,4,4,4,5,2,4,3,4,4,4,4,4,5,3,4,3,5,4,3,4,4,4,4,5,4,5,4,5,4,3,5,3,4,3,5,4,3,4,5,3,3,4,3,4,4,4,4,5,4,4,3,3,4,4,3,4,5,3,4,4,3,5
16,Davis Riley,4,3,3,4,3,3,4,4,5,5,4,4,4,4,4,3,3,4,4,4,4,3,6,3,4,3,4,3,3,4,4,3,4,4,4,4,5,4,4,3,5,3,5,3,3,5,3,5,5,4,4,4,4,4,4,4,5,3,5,2,4,3,4,5,5,3,4,3,4,4,3,6
17,Lucas Herbert,3,3,4,4,2,5,4,4,4,3,5,3,4,4,4,4,3,5,4,5,5,4,6,3,5,3,4,4,3,4,5,2,4,4,4,4,4,4,3,4,5,3,4,4,4,4,3,3,5,3,3,5,3,4,3,4,4,3,5,3,4,3,4,4,4,5,5,4,4,6,3,3
18,Max Homa,4,3,3,4,2,4,4,4,6,4,4,4,5,6,3,4,2,4,5,4,4,4,5,3,4,3,4,4,3,3,4,3,4,4,4,4,5,4,4,3,5,3,4,3,4,4,3,3,4,4,5,4,3,5,4,4,4,4,4,3,5,3,4,5,4,3,5,3,4,4,5,3
19,Talor Gooch,4,3,4,5,3,4,4,5,4,3,4,4,4,4,3,5,3,3,4,4,4,4,4,3,4,3,4,4,3,5,5,3,4,4,4,4,4,4,4,4,5,5,4,5,4,4,2,3,5,4,6,4,3,4,4,4,3,4,4,3,4,3,5,3,4,4,5,2,4,4,4,4
20,Sam Burns,4,3,5,5,3,4,4,3,4,5,4,4,4,5,3,4,3,4,4,4,3,3,5,4,4,3,4,4,2,3,4,3,5,4,4,4,4,4,4,4,5,4,4,3,3,4,3,4,5,3,4,4,4,5,5,4,3,5,4,3,5,4,4,4,3,4,4,3,3,4,5,5
21,Webb Simpson,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,3,5,4,4,4,4,5,4,4,3,4,4,4,5,4,4,4,5,4,5,4,4,3,3,5,4,4,4,4,4,3,3,3,2,4,4,3,4,4,4,4,3,4,3,4,4,5,4,4,4,5,4,4,4,3,5
22,Shane Lowry,4,5,4,3,5,3,4,3,4,5,3,3,5,4,4,4,3,4,4,3,4,4,2,4,4,4,4,4,5,4,6,5,3,4,4,4,4,4,4,4,5,3,4,4,4,4,3,3,5,3,5,5,3,4,4,4,4,4,5,3,4,3,4,4,2,4,5,3,4,4,4,4
23,Aaron Wise,5,4,4,3,4,3,3,3,5,4,4,5,4,3,3,4,4,4,4,2,4,4,4,4,4,4,4,3,6,4,5,5,3,4,3,5,4,5,3,5,5,3,4,3,3,5,4,3,5,4,5,3,3,4,5,3,5,4,5,3,4,3,3,4,4,4,5,3,4,4,3,4
