,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,Hideki Matsuyama,3,4,2,4,3,4,3,4,4,4,4,4,2,4,4,3,3,5,4,4,4,2,5,4,3,5,4,4,4,2,4,3,5,3,4,4,4,3,3,4,4,4,3,4,3,4,4,4,3,5,4,2,4,6,4,4,3,4,3,3,3,5,4,4,3,4,2,5,3,3,5,3
1,Brendan Steele,2,3,5,3,4,4,2,4,4,4,6,3,4,3,5,3,4,3,4,3,3,4,3,5,3,3,4,4,5,5,3,5,3,3,4,4,3,4,3,4,3,6,3,3,4,4,5,5,3,5,4,2,4,5,4,3,3,3,3,4,2,4,4,4,4,4,4,4,4,4,4,4
2,Cameron Tringale,5,4,3,4,3,4,3,4,4,4,4,4,2,4,5,2,4,4,4,4,4,2,5,3,3,4,4,4,4,3,5,3,4,3,4,3,3,5,3,4,4,5,2,4,4,4,3,4,3,5,4,3,4,4,4,4,3,4,3,4,3,4,3,3,4,4,3,5,4,3,5,6
3,Mackenzie Hughes,4,4,4,3,5,4,3,5,6,4,3,3,4,3,4,3,4,4,3,4,3,5,3,4,3,4,4,4,4,4,2,6,4,3,4,4,3,3,3,5,3,4,3,4,3,4,5,5,3,5,4,3,5,4,4,5,3,4,2,4,3,4,4,3,4,4,3,5,5,3,3,4
4,Matt Wallace,4,3,5,3,5,3,2,5,5,3,4,2,4,3,4,3,3,4,4,4,3,4,3,5,3,4,5,4,4,4,3,6,4,2,3,4,5,4,3,3,3,4,4,4,4,3,4,5,2,6,4,3,4,5,5,4,3,3,3,5,3,3,3,4,5,4,3,5,5,3,4,5
5,Sebastian Munoz,4,4,4,4,5,4,2,5,5,4,4,3,4,4,4,3,3,4,4,4,3,4,3,4,3,4,3,4,5,4,2,5,3,3,3,5,3,4,2,5,4,4,3,3,4,5,4,5,2,5,4,3,4,4,4,4,2,4,3,5,3,6,4,3,3,3,3,6,4,2,6,5
6,Lanto Griffin,4,4,3,4,3,4,2,4,4,4,4,5,3,5,3,3,5,5,4,3,5,3,4,4,2,4,5,4,4,3,5,3,4,2,4,4,4,4,3,4,5,4,3,4,5,5,4,3,3,6,4,3,4,5,3,4,3,4,2,4,3,4,4,4,4,4,3,4,4,3,4,5
7,Keegan Bradley,4,4,4,3,6,4,2,5,4,4,3,3,4,3,5,3,5,4,3,4,3,5,3,5,3,4,4,5,4,5,3,5,4,3,4,4,4,4,3,4,3,4,3,4,3,5,4,4,3,5,4,4,4,4,4,5,2,3,3,4,2,4,4,4,4,4,2,4,3,3,4,6
8,Takumi Kanaya,5,5,5,3,5,4,3,3,5,4,5,2,3,3,5,3,4,4,4,4,3,5,3,5,3,4,4,4,4,5,3,6,4,2,3,4,4,3,3,4,4,4,3,4,4,3,4,4,3,5,4,3,4,5,3,4,3,4,3,5,2,3,4,4,4,4,3,5,4,3,3,5
9,Luke List,5,3,2,5,3,4,3,4,4,4,4,5,3,6,4,2,4,4,4,4,4,3,5,3,3,5,4,4,4,4,4,4,4,3,3,4,4,3,3,4,4,5,3,4,5,3,5,5,3,4,4,3,4,4,3,3,3,4,3,5,3,3,3,4,4,4,4,6,4,3,4,4
10,Sam Ryder,4,4,3,6,2,5,3,4,4,3,4,3,3,6,4,3,4,3,6,4,4,3,5,3,3,4,5,4,5,3,4,3,4,3,3,5,4,4,3,4,3,4,3,4,4,4,4,5,4,5,4,3,4,3,4,4,3,4,4,5,3,3,4,3,3,4,3,5,4,2,4,5
11,Tommy Fleetwood,4,5,5,3,5,4,3,4,3,5,4,2,4,2,3,3,4,4,5,4,3,4,3,4,3,4,4,3,5,4,2,5,4,3,4,4,3,5,3,5,3,5,3,4,4,4,4,4,3,5,4,3,4,4,4,4,2,5,3,4,3,4,4,3,5,3,3,5,5,5,4,4
12,Collin Morikawa,5,5,4,4,4,4,3,5,5,4,4,3,4,3,4,3,3,4,3,4,4,4,3,4,3,4,3,4,6,4,3,4,4,3,4,4,4,4,2,4,3,6,3,3,4,4,4,4,3,4,4,3,5,3,4,4,3,3,3,5,4,4,4,4,4,4,2,5,5,3,4,4
13,Branden Grace,5,3,5,3,5,4,5,4,5,4,3,3,3,3,6,2,4,5,3,4,3,4,2,4,3,4,4,4,4,4,2,5,4,3,4,5,4,3,3,4,3,5,3,4,5,4,3,4,3,5,3,3,4,4,5,3,3,4,3,5,3,3,4,4,3,5,3,6,4,3,4,5
