,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,Lucas Herbert,4,5,5,3,4,4,2,4,4,4,5,3,4,4,4,4,3,4,4,4,3,4,4,3,4,3,4,4,4,4,3,4,3,4,3,3,4,5,3,4,3,4,4,4,3,3,3,4,3,3,4,3,4,4,4,4,2,4,4,4,5,3,5,4,4,3,4,3,4,3,5,4
1,Patrick Reed,3,4,2,6,3,4,4,4,4,4,4,4,3,3,4,4,3,5,4,4,4,3,3,6,3,4,4,4,5,3,4,3,4,4,3,4,4,4,3,4,4,3,5,3,4,3,3,4,3,3,4,3,7,4,4,4,2,5,4,4,4,3,4,4,4,4,2,3,4,3,4,3
2,Danny Lee,3,4,2,4,4,4,5,3,3,5,4,4,2,4,4,3,5,4,4,3,5,5,3,4,4,4,4,4,5,3,4,2,3,4,2,4,4,4,3,4,3,3,4,3,4,3,3,4,4,5,3,3,4,4,4,4,2,5,4,4,5,3,4,4,4,6,4,5,3,2,4,4
3,Patrick Rodgers,4,6,3,4,3,3,5,3,4,4,3,4,3,4,4,3,4,4,4,3,3,4,4,4,3,4,3,4,4,2,4,4,4,3,3,4,4,4,2,4,4,4,4,3,4,4,6,4,3,4,4,3,5,3,4,5,3,4,4,4,5,3,4,5,4,4,3,4,4,2,4,4
4,Scott Stallings,4,4,4,5,4,8,3,4,4,4,5,4,4,4,3,4,3,3,4,4,2,4,5,4,4,2,4,4,4,4,2,4,5,4,5,3,4,4,3,4,3,4,4,3,4,4,4,4,4,4,4,3,4,4,3,4,3,3,3,4,2,4,4,3,4,3,4,3,3,5,3,4
5,Taylor Pendrith,4,4,3,4,4,3,5,4,4,4,3,5,4,4,5,3,3,4,4,3,3,4,3,4,3,3,4,3,4,2,3,3,4,4,3,4,4,5,3,4,5,4,4,2,3,3,4,4,2,4,4,2,4,4,4,5,3,4,4,5,6,4,4,4,4,4,3,4,4,3,7,4
6,Davis Riley,4,5,2,5,4,4,6,3,5,4,3,3,4,3,4,5,4,3,4,3,4,3,4,4,3,4,3,5,4,3,3,4,4,4,3,4,4,4,3,4,4,3,4,3,4,4,4,4,4,3,4,4,5,4,5,5,3,4,3,3,4,3,4,4,4,4,3,3,3,4,4,4
7,J.J. Spaun,4,5,3,4,4,4,5,3,4,4,4,4,3,4,6,3,6,3,4,4,4,3,4,3,4,4,4,4,4,2,3,4,3,4,3,4,4,5,3,4,3,5,4,3,3,4,3,4,3,4,4,3,4,4,4,5,2,4,3,4,5,3,4,4,4,4,3,4,4,3,4,4
8,Peter Malnati,4,3,4,4,4,6,3,5,3,4,5,3,4,4,3,5,3,3,5,5,3,4,4,4,4,3,3,4,4,3,3,3,4,2,4,3,4,4,3,4,4,4,4,3,3,4,3,3,3,4,4,4,5,4,4,5,3,4,3,4,5,3,4,4,5,4,4,4,3,3,5,4
9,Curtis Thompson,4,3,4,3,4,5,3,5,4,4,4,3,4,4,3,5,3,4,4,4,2,5,4,4,4,4,4,3,4,4,3,3,4,3,5,3,4,4,3,4,4,4,4,2,4,4,3,3,3,6,3,4,4,4,4,4,2,4,4,4,5,4,3,4,4,4,3,4,4,3,5,5
10,Vincent Whaley,4,6,3,4,3,4,4,4,3,4,4,4,3,4,3,2,3,4,3,3,4,3,3,5,4,4,4,4,5,3,3,3,4,5,3,4,3,5,2,4,4,5,5,3,3,4,4,4,3,3,4,3,4,5,5,5,3,3,5,4,4,4,4,4,4,5,2,4,5,3,4,4
11,Seamus Power,3,6,3,4,3,4,4,3,4,4,4,4,3,3,4,3,4,4,4,4,4,3,4,4,4,4,4,6,5,3,4,3,3,3,4,4,4,4,3,4,4,4,4,4,4,3,4,3,4,4,4,3,5,5,4,4,3,4,4,4,4,3,4,3,3,4,2,5,4,4,5,3
12,Alex Smalley,4,6,3,4,3,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,3,3,4,4,3,5,4,4,4,3,4,4,3,4,3,4,4,4,3,4,3,4,6,2,4,3,4,4,4,4,3,6,4,4,4,4,3,4,3,4,5,3,4,3,4,4,3,4,5,3,5,3
13,Russell Knox,3,5,3,4,4,4,5,3,4,5,3,4,4,4,5,4,4,4,4,4,4,4,4,4,3,4,3,4,5,3,4,3,4,4,4,3,4,4,2,4,4,5,5,2,4,3,4,4,2,4,4,3,5,4,4,4,2,3,4,4,5,3,4,4,3,4,3,5,3,3,6,3
14,Brian Gay,5,3,3,3,4,5,5,4,5,6,5,3,4,4,4,5,3,4,4,4,4,4,4,3,4,3,3,4,4,3,4,4,4,4,3,4,4,4,3,4,3,4,4,3,4,3,4,3,3,4,4,3,4,3,4,5,2,4,4,3,4,4,3,5,4,5,3,4,4,3,5,2
15,Graeme McDowell,4,5,3,4,3,4,5,4,3,3,4,5,3,4,4,4,4,4,3,4,3,4,4,4,3,4,3,3,5,3,4,4,4,5,4,3,4,4,3,3,4,3,4,3,4,3,4,4,3,4,4,4,5,4,4,5,3,4,4,4,5,3,4,4,4,4,3,4,4,3,4,4
16,Chad Ramey,4,4,4,3,4,4,3,4,3,3,5,3,4,4,3,4,3,3,4,5,3,4,4,4,4,3,4,4,6,4,3,3,5,3,5,3,4,5,3,5,3,3,5,2,3,4,3,4,4,5,4,3,5,3,4,4,3,4,4,4,4,3,4,5,4,5,4,4,4,3,4,4
17,Patrick Flavin,4,4,5,2,5,4,3,5,5,4,5,3,3,4,4,3,3,3,3,5,3,4,3,3,4,3,5,4,3,3,3,4,5,3,5,3,3,4,3,4,3,4,4,2,5,4,4,4,3,4,4,3,5,5,4,5,3,3,3,3,5,3,5,4,4,5,4,4,4,4,5,4
18,Justin Lower,4,4,4,4,3,4,3,4,3,3,5,3,4,4,3,4,4,4,3,5,3,4,3,4,4,3,4,5,4,3,3,5,4,3,4,4,4,4,3,4,4,4,5,2,4,3,4,4,3,4,3,3,5,4,5,4,3,4,4,4,4,4,5,4,4,4,3,3,5,4,5,4
19,Stephan Jaeger,4,5,3,5,4,4,4,3,5,4,4,3,4,4,3,4,5,4,4,4,4,3,4,3,4,3,4,4,5,3,3,5,4,4,3,3,4,4,3,4,3,4,5,3,4,3,4,4,2,4,3,3,5,4,4,5,3,5,3,4,5,2,4,4,4,4,2,4,6,3,5,4
