,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,Max Homa,3,3,4,4,5,4,2,4,4,3,2,4,4,4,3,4,3,5,3,4,4,4,5,4,3,4,4,4,2,3,4,4,3,3,4,5,4,4,4,4,4,4,3,4,5,4,3,4,4,5,2,5,4,5,4,4,4,3,5,4,3,4,4,3,2,4,4,4,3,5,4,4
1,Danny Willett,4,3,4,4,5,3,3,3,5,4,3,4,4,3,3,4,4,5,4,2,4,4,5,3,3,3,4,4,3,4,3,3,3,5,3,4,4,3,4,4,5,4,3,3,7,4,3,4,4,3,3,5,5,4,3,3,4,3,5,4,3,3,6,3,3,4,4,3,3,5,4,6
2,Taylor Montgomery,4,3,3,3,5,3,3,5,5,4,3,4,4,4,2,4,5,4,4,4,4,3,4,3,3,4,5,4,3,5,4,4,3,4,4,6,4,3,4,4,4,4,4,3,6,4,3,4,4,4,3,5,5,4,4,3,4,3,4,4,3,3,4,3,3,4,4,3,3,4,3,5
3,Byeong Hun An,4,3,4,4,4,3,3,4,5,3,2,3,5,4,3,4,3,5,4,3,4,4,4,4,3,4,3,4,3,4,5,4,3,4,4,4,3,3,4,4,6,3,3,4,4,4,3,4,4,4,2,7,4,5,3,3,4,5,5,4,3,5,4,4,2,4,5,4,3,5,4,4
4,Justin Lower,3,3,3,4,4,4,2,4,4,4,3,4,4,3,3,4,3,4,4,3,4,5,4,4,5,4,4,3,3,3,4,4,4,5,4,4,5,3,4,3,4,4,4,4,4,4,2,4,4,4,3,5,4,4,4,3,4,4,5,4,3,5,4,3,3,5,5,4,3,5,4,5
5,Nick Taylor,4,4,5,3,4,4,4,4,4,3,3,3,4,3,3,3,4,5,5,3,4,4,5,4,3,7,4,3,3,4,5,4,3,5,4,5,3,3,3,3,5,4,2,5,5,4,3,3,4,4,3,5,4,4,4,2,5,4,5,4,3,4,5,4,3,4,4,3,2,4,4,4
6,Rickie Fowler,4,2,4,4,4,4,3,4,4,4,3,4,4,4,3,4,3,5,4,4,4,3,7,4,3,5,4,3,3,4,4,4,3,5,4,4,4,3,4,4,5,4,3,3,5,5,3,4,4,2,3,4,4,5,4,3,4,5,5,3,3,4,5,4,3,3,4,5,3,3,4,4
7,Sahith Theegala,4,3,3,4,4,4,2,4,4,5,2,4,5,3,2,5,5,4,4,3,4,4,4,4,3,3,4,4,3,4,5,5,3,4,4,4,4,3,4,5,4,4,4,4,5,4,2,4,4,4,3,5,3,5,4,3,5,5,5,4,4,3,4,4,4,3,4,3,3,4,4,4
8,Brendon Todd,3,3,3,5,4,4,3,4,5,4,3,4,4,3,5,5,5,4,4,3,7,4,5,3,3,3,4,4,3,4,4,3,4,5,3,5,3,3,4,4,4,4,3,3,4,4,3,4,4,4,3,5,4,5,4,3,3,4,4,4,3,4,5,4,3,4,4,3,3,5,3,5
9,Harris English,5,3,3,4,5,5,3,5,4,4,3,4,3,4,4,4,4,4,4,3,4,4,5,3,3,4,5,4,2,4,4,4,3,5,5,4,4,3,4,4,5,4,3,4,5,4,3,4,4,4,3,5,4,4,3,2,4,3,5,3,3,3,4,5,3,4,5,4,3,4,4,4
10,Davis Thompson,3,3,4,4,5,3,3,4,5,4,3,4,4,4,3,4,4,4,4,4,4,3,4,5,3,4,5,4,3,4,4,4,5,4,4,5,4,2,3,4,4,4,3,4,5,4,3,3,5,3,2,4,4,4,4,3,5,4,5,5,3,4,5,4,3,4,4,4,2,5,4,4
11,Thomas Detry,4,4,3,3,4,4,4,4,6,5,3,3,4,3,3,4,4,4,4,3,3,3,5,4,3,4,4,4,3,4,4,4,3,5,5,5,3,4,4,3,4,4,3,3,5,4,3,4,5,4,3,5,4,6,3,4,4,4,5,3,2,3,4,4,3,5,4,4,4,4,4,5
12,Tom Hoge,4,3,4,3,4,4,3,4,5,4,3,4,4,4,3,5,4,4,4,3,5,4,4,4,2,4,5,4,3,4,4,5,3,4,3,5,4,3,3,4,4,5,4,5,5,4,2,3,4,4,3,5,4,4,5,3,3,3,5,4,3,3,5,3,3,4,4,5,4,5,3,5
13,Joseph Bramlett,3,3,4,5,4,5,2,4,4,4,3,3,4,3,3,4,5,5,4,3,4,4,4,4,3,4,4,5,3,4,4,5,3,4,4,5,4,4,4,5,4,3,3,4,4,4,4,3,5,5,3,4,3,4,4,4,4,4,4,5,3,4,4,4,3,4,4,4,4,4,3,4
14,Brian Stuard,4,3,4,4,4,4,3,3,4,4,3,4,4,4,3,5,3,5,4,3,4,4,4,4,3,4,5,4,3,4,3,4,4,3,4,5,4,4,4,4,6,4,2,5,4,4,3,4,4,3,4,4,4,4,4,3,4,4,4,4,3,3,5,4,5,4,4,4,3,4,4,5
15,Zac Blair,4,3,4,4,5,3,3,5,4,4,3,4,4,4,3,4,4,5,4,3,4,3,4,4,3,3,4,4,3,5,4,4,3,5,4,5,4,3,4,4,5,4,3,3,5,4,3,4,4,5,2,5,3,4,4,3,4,5,5,4,2,3,4,4,3,4,5,4,3,4,5,5
16,Adam Svensson,4,3,4,4,5,4,3,3,5,3,3,3,3,4,3,5,4,5,4,3,4,3,5,4,3,5,5,4,3,4,4,4,3,4,4,5,4,3,4,4,4,4,3,3,4,3,3,4,4,4,3,4,4,5,4,3,5,4,5,4,3,4,5,5,3,4,4,4,3,4,4,5
17,Matt Kuchar,3,3,4,4,4,3,3,4,5,3,3,4,5,4,3,5,4,4,3,3,4,4,3,4,3,4,5,3,3,4,4,4,3,6,4,4,4,3,4,3,5,4,4,4,5,4,3,4,3,4,4,4,4,4,4,3,4,4,5,5,3,3,5,4,3,4,5,4,3,5,4,5
18,Harrison Endycott,4,3,4,4,5,4,3,4,5,4,3,4,4,4,3,5,4,5,4,3,5,4,5,5,3,4,4,3,2,3,4,4,3,4,5,5,3,3,3,4,5,4,3,3,4,4,2,3,4,4,2,5,4,5,4,3,4,4,4,4,4,4,5,5,4,4,4,4,3,4,4,4
